"Longitude","Latitude","Year","Month","Country"
22.23633,65.54835,2023,1,"Sweden"
21.62991,65.23375,2023,1,"Sweden"
21.22362,64.68461,2023,1,"Sweden"
21.62991,65.23375,2023,1,"Sweden"
18.64977,59.29732,2023,1,"Sweden"
17.95371,58.89918,2023,1,"Sweden"
17.6697,59.16755,2023,1,"Sweden"
18.64977,59.29732,2023,1,"Sweden"
17.95371,58.89918,2023,1,"Sweden"
17.6697,59.16755,2023,1,"Sweden"
12.71333,65.645,2022,8,"Norway"
12.65,65.69167,2022,8,"Norway"
12.71333,65.645,2022,10,"Norway"
12.65,65.69167,2022,10,"Norway"
8.164766,53.593417,2019,12,"Germany"
18.5534,54.38347,2018,1,"Poland"
18.5534,54.38347,2018,1,"Poland"
18.66283,54.38598,2018,1,"Poland"
18.66283,54.38598,2018,1,"Poland"
18.66648,54.40428,2018,1,"Poland"
18.66648,54.40428,2018,1,"Poland"
18.50767,54.5455,2018,1,"Poland"
18.50767,54.5455,2018,1,"Poland"
18.52503,54.53372,2018,1,"Poland"
18.52503,54.53372,2018,1,"Poland"
18.50767,54.5455,2018,1,"Poland"
18.50767,54.5455,2018,1,"Poland"
18.41538,54.7959,2018,1,"Poland"
18.41538,54.7959,2018,1,"Poland"
18.41897,54.79487,2018,1,"Poland"
18.41897,54.79487,2018,1,"Poland"
18.42112,54.79668,2018,1,"Poland"
18.42112,54.79668,2018,1,"Poland"
18.5534,54.38347,2018,2,"Poland"
18.5534,54.38347,2018,2,"Poland"
18.66283,54.38598,2018,2,"Poland"
18.66283,54.38598,2018,2,"Poland"
18.66648,54.40428,2018,2,"Poland"
18.66648,54.40428,2018,2,"Poland"
18.50767,54.5455,2018,2,"Poland"
18.50767,54.5455,2018,2,"Poland"
18.52503,54.53372,2018,2,"Poland"
18.52503,54.53372,2018,2,"Poland"
18.50767,54.5455,2018,2,"Poland"
18.50767,54.5455,2018,2,"Poland"
18.41897,54.79487,2018,2,"Poland"
18.41897,54.79487,2018,2,"Poland"
18.42112,54.79668,2018,2,"Poland"
18.42112,54.79668,2018,2,"Poland"
18.50767,54.5455,2018,3,"Poland"
