"","Longitude","Latitude","year","month","country"
"1",5.136604,43.399824,2025,3,"France"
"2",-8.758983,40.559116,2024,3,"Portugal"
"3",-7.975131,36.995899,2024,6,"Portugal"
"4",-7.988183,37.004527,2024,7,"Portugal"
"5",-8.012431,37.020389,2024,10,"Portugal"
"6",3.92994,43.52411,2023,4,"France"
"7",3.7,43.42472,2023,4,"France"
"8",3.7,43.42472,2023,4,"France"
"9",3.7,43.42472,2023,5,"France"
"10",4.20502,51.33748,2023,5,"Netherlands"
"11",3.7,43.42472,2023,6,"France"
"12",3.7,43.42472,2023,6,"France"
"13",6.36259,43.01827,2023,6,"France"
"14",6.77364,43.4064,2023,7,"France"
"15",6.84209,43.40877,2023,7,"France"
"16",-8.756697,40.565436,2023,8,"Portugal"
"17",-7.794993,37.013447,2023,8,"Portugal"
"18",5.076908,43.399335,2023,9,"France"
"19",4.017053,43.554038,2023,10,"France"
"20",12.24729,44.754057,2023,11,"Italy"
"21",12.24729,44.754057,2023,11,"Italy"
"22",4.632,52.684,2023,11,"Netherlands"
"23",4.64,52.76,2023,11,"Netherlands"
"24",3.674873,43.462337,2022,1,"France"
"25",-1.23974,44.64203,2022,1,"France"
"26",3.51196,43.26841,2022,1,"France"
"27",4.39,52.205,2022,1,"Netherlands"
"28",-1.23974,44.64203,2022,3,"France"
"29",3.7,43.42472,2022,3,"France"
"30",3.7,43.42472,2022,3,"France"
"31",-4.59284,48.56514,2022,4,"France"
"32",3.7,43.42472,2022,4,"France"
"33",19.479998,40.950082,2022,5,"Albania"
"34",4.022222,43.555278,2022,5,"France"
"35",3.67842,43.42159,2022,5,"France"
"36",3.6725,43.42972,2022,5,"France"
"37",3.7,43.42472,2022,5,"France"
"38",3.7,43.42472,2022,5,"France"
"39",-1.43881,43.6554,2022,5,"France"
"40",3.7,43.42472,2022,5,"France"
"41",3.7,43.42472,2022,5,"France"
"42",3.6725,43.42972,2022,5,"France"
"43",3.7,43.42472,2022,5,"France"
"44",3.7,43.42472,2022,5,"France"
"45",-9.219703,39.400866,2022,6,"Portugal"
"46",3.15694,42.47635,2022,6,"France"
"47",3.1567,42.47433,2022,6,"France"
"48",5.073329,43.399647,2022,8,"France"
"49",12.259712,44.640962,2022,9,"Italy"
"50",3.22138,42.23522,2022,9,"Spain"
"51",3.25344,42.23891,2022,9,"Spain"
"52",3.085172,43.104783,2022,11,"France"
"53",3.7,43.42472,2022,11,"France"
"54",3.7,43.42472,2022,11,"France"
"55",3.7,43.42472,2022,11,"France"
"56",-2.35163,47.26973,2022,12,"France"
"57",-7.819628,37.029858,2021,2,"Portugal"
