"","Longitude","Latitude","year","month","country"
"1",5.19538,43.437715,2025,3,"France"
"2",-2.004067,48.491216,2024,1,"France"
"3",5.195091,43.438825,2024,6,"France"
"4",5.223977,43.463132,2024,10,"France"
"5",5.223977,43.463132,2024,10,"France"
"6",5.19505,43.437885,2023,11,"France"
"7",-2.84902,47.5628,2022,5,"France"
"8",5.200922,43.489817,2022,8,"France"
"9",5.06819,43.526414,2022,9,"France"
"10",4.16641,43.50727,2022,11,"France"
"11",4.7,53.1,2021,1,"Netherlands"
"12",5.032886,43.535719,2021,4,"France"
"13",5.032106,43.535372,2021,4,"France"
"14",5.00186,43.48906,2020,5,"France"
"15",12.386013,44.221828,2018,2,"Italy"
"16",-4.49269,48.0897,2014,5,"France"
"17",-4.49269,48.0897,2014,5,"France"
"18",1.01218,45.43244,2012,10,"France"
"19",1.01218,45.43244,2012,10,"France"
"20",1.01218,45.43244,2012,10,"France"
"21",1.01218,45.43244,2012,10,"France"
"22",1.01218,45.43244,2012,10,"France"
"23",-1.2146,45.96088,2011,4,"France"
"24",-1.2835,46.2687,2010,3,"France"
"25",23.579903,38.455162,1970,NA,"Greece"
"26",3.50721,43.2746,1952,11,"France"
"27",30.470278,46.063611,2019,9,"Ukraine"
"28",-3.651625,40.36501,NA,NA,"Spain"
