"Longitude","Latitude","Year","Month","Country"
24.925127,60.170408,2024,3,"Finland"
25.105165,60.173105,2024,4,"Finland"
22.868685,60.186887,2024,5,"Finland"
22.248624,60.418421,2024,5,"Finland"
20.893008,59.945715,2024,6,"Åland Islands"
25.641046,60.359437,2023,4,"Finland"
24.739595,60.117492,2022,8,"Finland"
25.836683,60.266906,2021,3,"Finland"
25.742749,60.252518,2021,9,"Finland"
22.088839,60.425794,2016,6,"Finland"
9.676942,54.819667,2025,1,"Germany"
14.554087,53.975686,2025,1,"Poland"
14.555333,53.975958,2025,1,"Poland"
3.2136,51.27184,2025,1,"Belgium"
12.88503,56.64586,2025,1,"Sweden"
12.90754,55.54983,2025,1,"Sweden"
12.81148,55.3677,2025,1,"Sweden"
6.814242,58.261862,2025,1,"Norway"
10.632945,59.901673,2025,1,"Norway"
10.4669,59.37721,2025,1,"Norway"
9.239307,58.721937,2025,1,"Norway"
22.902405,59.817867,2025,2,"Finland"
3.85,51.3,2025,2,"Netherlands"
12.69103,56.37574,2025,2,"Sweden"
12.68768,56.38053,2025,2,"Sweden"
12.92686,55.51054,2025,2,"Sweden"
16.63116,56.87677,2025,2,"Sweden"
12.6908,56.37622,2025,2,"Sweden"
10.634625,59.898934,2025,2,"Norway"
10.634014,59.898105,2025,2,"Norway"
11.614419,54.102086,2025,3,"Germany"
18.79792,54.607843,2025,3,"Poland"
18.817572,54.59525,2025,3,"Poland"
18.79675,54.608392,2025,3,"Poland"
25.18168,60.196821,2025,3,"Finland"
24.393932,59.96573,2025,3,"Finland"
24.986697,60.179733,2025,3,"Finland"
24.765368,60.1524,2025,3,"Finland"
4.32457,51.27286,2025,3,"Belgium"
13.03646,55.63666,2025,3,"Sweden"
12.98395,55.62072,2025,3,"Sweden"
20.012208,60.096263,2025,4,"Åland Islands"
19.6291,63.44838,2025,4,"Sweden"
20.89083,63.68192,2025,4,"Sweden"
12.90348,55.55988,2025,4,"Sweden"
13.03798,55.63582,2025,4,"Sweden"
16.40628,56.57973,2025,4,"Sweden"
12.95631,55.47874,2025,4,"Sweden"
10.614502,59.884897,2025,4,"Norway"
