"Longitude","Latitude","Year","Month","Country"
-9.090513,38.64464,2025,2,"Portugal"
12.506696,44.113164,2025,2,"Italy"
5.19538,43.437715,2025,3,"France"
12.247233,44.751283,2024,1,"Italy"
-8.97429,38.747589,2024,1,"Portugal"
29.629368,45.507804,2024,2,"Ukraine"
-1.181592,44.663615,2024,3,"France"
5.020062,43.470603,2024,4,"France"
5.020062,43.470603,2024,4,"France"
5.116433,43.405751,2024,4,"France"
5.116433,43.405751,2024,4,"France"
5.116433,43.405751,2024,4,"France"
-9.217016,39.39587,2024,5,"Portugal"
37.249859,45.331947,2024,5,"Russian Federation"
-9.232047,39.42514,2024,6,"Portugal"
5.195091,43.438825,2024,6,"France"
5.195091,43.438825,2024,6,"France"
-9.090427,38.790407,2024,6,"Portugal"
37.334057,45.330499,2024,6,"Russian Federation"
-9.234133,39.425919,2024,7,"Portugal"
4.491122,43.557294,2024,7,"France"
37.143999,45.347892,2024,8,"Russian Federation"
-9.084044,38.644826,2024,8,"Portugal"
5.060845,43.526063,2024,9,"France"
5.187367,43.43232,2024,9,"France"
30.750339,46.544091,2024,9,"Ukraine"
-9.089746,38.645064,2024,10,"Portugal"
-9.233355,38.673638,2024,10,"Portugal"
5.195468,43.438547,2024,10,"France"
4.491281,43.55755,2024,11,"France"
5.153554,43.455526,2024,11,"France"
5.154005,43.455467,2024,11,"France"
30.752093,46.545288,2024,12,"Ukraine"
5.122968,43.489469,2024,12,"France"
30.786933,46.55688,2024,12,"Ukraine"
30.744038,46.537938,2024,12,"Ukraine"
5.242819,43.447511,2024,12,"France"
-1.04536,44.69896,2023,2,"France"
5.225813,43.458338,2023,3,"France"
-1.233089,50.81612,2023,4,"United Kingdom of Great Britain and Northern Ireland"
-1.233144,50.816103,2023,4,"United Kingdom of Great Britain and Northern Ireland"
-1.233144,50.816103,2023,4,"United Kingdom of Great Britain and Northern Ireland"
4.999972,43.496163,2023,8,"France"
4.999972,43.496163,2023,8,"France"
4.999972,43.496163,2023,8,"France"
5.11389,43.40506,2023,8,"France"
5.11389,43.40506,2023,8,"France"
5.11389,43.40506,2023,8,"France"
12.489294,44.128082,2023,8,"Italy"
12.493608,44.125302,2023,8,"Italy"
4.64742,43.473105,2023,8,"France"
5.068474,43.527116,2023,9,"France"
5.11317,43.404642,2023,10,"France"
37.273863,45.330745,2023,10,"Russian Federation"
31.168797,46.708225,2023,11,"Ukraine"
5.195422,43.438104,2023,11,"France"
5.195422,43.438104,2023,11,"France"
4.63369,43.541685,2023,11,"France"
-9.084707,38.644703,2023,12,"Portugal"
-1.07757,44.72121,2022,2,"France"
-1.041,44.65324,2022,2,"France"
-1.17958,44.66416,2022,2,"France"
-1.23974,44.64203,2022,3,"France"
12.24506,44.67887,2022,4,"Italy"
3.9,51.5,2022,5,"Netherlands"
5.200922,43.489817,2022,8,"France"
3.03074,42.93711,2022,8,"France"
3.03074,42.93711,2022,8,"France"
5.225436,43.457311,2022,9,"France"
5.225436,43.457311,2022,9,"France"
5.06819,43.526414,2022,9,"France"
5.06819,43.526414,2022,9,"France"
-1.394496,50.874424,2022,10,"United Kingdom of Great Britain and Northern Ireland"
-1.315268,50.849706,2022,10,"United Kingdom of Great Britain and Northern Ireland"
4.58153,43.565621,2022,11,"France"
-1.17708,44.74368,2022,11,"France"
3.80205,43.42982,2022,11,"France"
3.9,51.5,2022,12,"Netherlands"
5.196096,43.438097,2021,2,"France"
5.114975,43.521778,2021,2,"France"
-9.080915,38.633794,2021,2,"Portugal"
5.2272,43.462705,2021,3,"France"
3.7,43.42472,2021,3,"France"
5.032997,43.535879,2021,4,"France"
-1.161075,50.734492,2021,6,"United Kingdom of Great Britain and Northern Ireland"
5.001835,43.489148,2021,6,"France"
5.001788,43.489048,2021,6,"France"
5.112533,43.506826,2021,8,"France"
5.137579,43.401499,2021,8,"France"
3.909,51.521,2021,8,"Netherlands"
-3.455138,43.39993,2021,9,"Spain"
-1.372067,50.912094,2021,9,"United Kingdom of Great Britain and Northern Ireland"
5.227263,43.462833,2021,11,"France"
5.074026,43.407517,2021,11,"France"
30.771441,46.553825,2021,12,"Ukraine"
3.9,51.5,2020,1,"Netherlands"
3.9,51.5,2020,1,"Netherlands"
3.9,51.5,2020,1,"Netherlands"
3.673675,43.423364,2020,2,"France"
5.00186,43.48906,2020,5,"France"
3.909,51.521,2020,5,"Netherlands"
5.195721,43.438328,2020,7,"France"
