"Longitude","Latitude","Year","Month","Country"
3.695051,43.441772,2025,1,"France"
3.695051,43.441772,2025,1,"France"
3.695051,43.441772,2025,1,"France"
4.11836,43.513782,2025,1,"France"
-1.969881,48.537126,2025,2,"France"
-4.501135,52.819728,2025,2,"United Kingdom of Great Britain and Northern Ireland"
3.700209,43.424299,2025,2,"France"
4.938376,43.428536,2025,3,"France"
-8.967006,53.173217,2025,3,"Ireland"
-9.231061,51.492962,2024,1,"Ireland"
-5.056692,50.147945,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-5.057915,50.147738,2024,2,"United Kingdom of Great Britain and Northern Ireland"
-5.657108,54.670253,2024,2,"United Kingdom of Great Britain and Northern Ireland"
-5.657108,54.670253,2024,2,"United Kingdom of Great Britain and Northern Ireland"
3.122651,43.111769,2024,3,"France"
-5.897285,54.664674,2024,3,"United Kingdom of Great Britain and Northern Ireland"
5.116433,43.405751,2024,4,"France"
5.116433,43.405751,2024,4,"France"
-6.594976,52.176001,2024,6,"Ireland"
-9.358321,53.239208,2024,6,"Ireland"
-10.3347,51.891325,2024,6,"Ireland"
-2.100143,49.175746,2024,6,"Jersey"
5.595164,58.979668,2024,6,"Norway"
-10.371647,51.886287,2024,7,"Ireland"
-5.895538,54.672009,2024,7,"United Kingdom of Great Britain and Northern Ireland"
3.699976,43.425009,2024,8,"France"
3.699976,43.425009,2024,8,"France"
-10.348122,51.893193,2024,8,"Ireland"
-10.329047,51.891599,2024,8,"Ireland"
-1.179646,44.664317,2024,9,"France"
-10.357409,51.8914,2024,9,"Ireland"
-5.895353,54.672267,2024,9,"United Kingdom of Great Britain and Northern Ireland"
-5.574794,54.391321,2024,9,"United Kingdom of Great Britain and Northern Ireland"
-10.367309,51.888507,2024,9,"Ireland"
3.020283,42.809938,2024,11,"France"
-9.076121,53.157585,2024,11,"Ireland"
-5.056502,50.147998,2024,11,"United Kingdom of Great Britain and Northern Ireland"
-5.058906,50.147066,2024,11,"United Kingdom of Great Britain and Northern Ireland"
1.2848,51.934542,2024,12,"United Kingdom of Great Britain and Northern Ireland"
-5.615467,54.675913,2024,12,"United Kingdom of Great Britain and Northern Ireland"
-2.09579,48.63543,2023,1,"France"
-1.23419,44.68667,2023,1,"France"
-1.21064,44.71395,2023,1,"France"
4.113171,43.512006,2023,2,"France"
-1.38355,46.05232,2023,2,"France"
-1.40158,45.97874,2023,2,"France"
3.699912,43.424684,2023,3,"France"
3.695011,43.441871,2023,3,"France"
3.695011,43.441871,2023,3,"France"
3.69986,43.425,2023,3,"France"
-1.21064,44.71395,2023,4,"France"
4.13913,43.52746,2023,4,"France"
3.69986,43.425,2023,4,"France"
2.36981,51.04325,2023,4,"France"
3.66253,43.4468,2023,4,"France"
-1.23743,44.65511,2023,4,"France"
18.008203,69.637108,2023,4,"Norway"
4.935159,43.430447,2023,5,"France"
-1.21064,44.71395,2023,5,"France"
3.7,43.42472,2023,5,"France"
4.20502,51.33748,2023,5,"Netherlands"
-1.21064,44.71395,2023,5,"France"
-3.47593,48.83609,2023,5,"France"
3.7,43.42472,2023,5,"France"
4.20502,51.33748,2023,5,"Netherlands"
4.20502,51.33748,2023,5,"Netherlands"
-3.20879,47.66271,2023,5,"France"
-1.21064,44.71395,2023,5,"France"
-1.23743,44.65511,2023,5,"France"
-1.21064,44.71395,2023,6,"France"
-2.91667,47.56611,2023,6,"France"
-1.24306,44.62848,2023,6,"France"
-1.21064,44.71395,2023,6,"France"
11.587719,58.345442,2023,6,"Sweden"
3.971971,43.556319,2023,6,"France"
-1.24306,44.62848,2023,6,"France"
-4.56195,48.35343,2023,6,"France"
3.7,43.42472,2023,6,"France"
-4.35804,48.28273,2023,6,"France"
-1.22856,44.69716,2023,6,"France"
-1.898,48.69673,2023,6,"France"
-1.21064,44.71395,2023,6,"France"
2.36981,51.04325,2023,6,"France"
5.214268,59.372132,2023,6,"Norway"
-7.514263,55.107749,2023,7,"Ireland"
-5.056024,50.147914,2023,7,"United Kingdom of Great Britain and Northern Ireland"
-10.281604,51.910173,2023,7,"Ireland"
-0.2702,49.34041,2023,7,"France"
-5.056024,50.147914,2023,7,"United Kingdom of Great Britain and Northern Ireland"
-1.24306,44.62848,2023,7,"France"
18.761054,69.663202,2023,7,"Norway"
-6.031707,52.981195,2023,8,"Ireland"
4.000537,51.707148,2023,8,"Netherlands"
4.000537,51.707148,2023,8,"Netherlands"
3.914446,51.628865,2023,8,"Netherlands"
-1.98474,48.576641,2023,8,"France"
3.995632,51.713218,2023,8,"Netherlands"
3.995632,51.713218,2023,8,"Netherlands"
3.881189,51.744217,2023,8,"Netherlands"
24.388364,40.922095,2023,8,"Greece"
4,51.5,2023,8,"Netherlands"
3.2566,42.23813,2023,8,"Spain"
4.914171,60.423669,2023,8,"Norway"
-7.797421,55.192983,2023,9,"Ireland"
-5.4694,56.441555,2023,9,"United Kingdom of Great Britain and Northern Ireland"
3.70003,43.424697,2023,9,"France"
4.6,52.45,2023,9,"Netherlands"
3.85,51.7,2023,9,"Netherlands"
4.00028,51.7079,2023,9,"Netherlands"
11.10687,58.87968,2023,9,"Sweden"
11.09701,58.89225,2023,9,"Sweden"
-5.727649,54.669708,2023,10,"United Kingdom of Great Britain and Northern Ireland"
-10.333803,51.898787,2023,10,"Ireland"
9.247338,58.712104,2023,10,"Norway"
4.114492,43.51151,2022,1,"France"
4.938995,43.428089,2022,1,"France"
4.114081,43.510546,2022,1,"France"
4.114081,43.510546,2022,1,"France"
-4.39306,48.32548,2022,1,"France"
18.002346,69.636786,2022,1,"Norway"
-5.057851,50.147299,2022,2,"United Kingdom of Great Britain and Northern Ireland"
4.114161,43.510978,2022,2,"France"
3.700075,43.424991,2022,2,"France"
3.700075,43.424991,2022,2,"France"
3.700075,43.424991,2022,2,"France"
3.70003,43.424697,2022,2,"France"
3.558727,43.318564,2022,2,"France"
4.939688,43.428452,2022,2,"France"
4.15,51.5,2022,2,"Netherlands"
2.36981,51.04325,2022,2,"France"
-2.01798,48.59619,2022,2,"France"
3.69986,43.425,2022,2,"France"
4.1108,43.50921,2022,3,"France"
3.667694,43.420748,2022,3,"France"
3.667694,43.420748,2022,3,"France"
3.703656,43.430413,2022,3,"France"
3.699392,43.42463,2022,3,"France"
0.11775,49.48892,2022,3,"France"
3.7,43.42472,2022,3,"France"
4.1108,43.50921,2022,3,"France"
-5.061596,50.145796,2022,3,"United Kingdom of Great Britain and Northern Ireland"
11.58791,58.34623,2022,3,"Sweden"
5.752182,58.926747,2022,3,"Norway"
-1.631408,55.640915,2022,4,"United Kingdom of Great Britain and Northern Ireland"
4.939352,43.428328,2022,4,"France"
4.939352,43.428328,2022,4,"France"
4.939352,43.428328,2022,4,"France"
-1.631408,55.640915,2022,4,"United Kingdom of Great Britain and Northern Ireland"
-5.532099,50.115336,2022,4,"United Kingdom of Great Britain and Northern Ireland"
6.39705,42.98886,2022,4,"France"
4.93935,43.42836,2022,4,"France"
-1.23743,44.65511,2022,4,"France"
4.1108,43.50921,2022,4,"France"
3.7,43.42472,2022,4,"France"
2.36981,51.04325,2022,4,"France"
18.002346,69.636786,2022,4,"Norway"
3.70003,43.424697,2022,5,"France"
3.87943,51.74289,2022,5,"Netherlands"
-2.01798,48.59619,2022,5,"France"
-1.81665,49.69857,2022,5,"France"
3.87954,51.74283,2022,5,"Netherlands"
3.7,43.42472,2022,5,"France"
3.7,43.42472,2022,5,"France"
-2.0182,48.62791,2022,5,"France"
-4.55105,48.35916,2022,6,"France"
5.126165,43.440021,2022,6,"France"
2.36981,51.04325,2022,6,"France"
-1.23891,44.67294,2022,6,"France"
-1.17958,44.66416,2022,6,"France"
-1.24306,44.62848,2022,6,"France"
18.963885,69.650963,2022,6,"Norway"
14.672936,45.145271,2022,7,"Croatia"
-1.22856,44.69716,2022,7,"France"
-2.03509,48.62705,2022,7,"France"
-2.01473,48.62295,2022,7,"France"
-2.22064,48.64891,2022,7,"France"
-1.21064,44.71395,2022,7,"France"
-4.55105,48.35916,2022,7,"France"
-1.96325,48.68763,2022,7,"France"
-4.52521,48.36454,2022,7,"France"
-1.23891,44.67294,2022,7,"France"
-1.23891,44.67294,2022,8,"France"
3.977584,51.731971,2022,8,"Netherlands"
-5.575059,54.670966,2022,8,"United Kingdom of Great Britain and Northern Ireland"
-10.325547,51.892154,2022,8,"Ireland"
-4.52206,48.36349,2022,8,"France"
-1.22266,44.70529,2022,8,"France"
-1.17958,44.66416,2022,8,"France"
-4.71775,48.59288,2022,8,"France"
-4.36086,48.28335,2022,8,"France"
-1.23974,44.64203,2022,8,"France"
-1.17958,44.66416,2022,8,"France"
-4.52206,48.36349,2022,8,"France"
7.603002,58.010866,2022,8,"Norway"
8.581778,58.316602,2022,8,"Norway"
10.5268,59.0267,2022,8,"Norway"
8.944219,58.5132,2022,8,"Norway"
9.753881,59.02325,2022,8,"Norway"
9.267662,58.74279,2022,8,"Norway"
10.58157,59.43692,2022,8,"Norway"
10.58422,59.673757,2022,8,"Norway"
-4.45164,48.29654,2022,9,"France"
-4.45359,48.29332,2022,9,"France"
2.36981,51.04325,2022,9,"France"
-1.21064,44.71395,2022,9,"France"
3.84578,51.74068,2022,9,"Netherlands"
-5.057851,50.147299,2022,9,"United Kingdom of Great Britain and Northern Ireland"
-1.27952,45.88349,2022,9,"France"
5.71851,59.05966,2022,9,"Norway"
6.50283,58.22833,2022,9,"Norway"
11.14641,58.87664,2022,9,"Sweden"
-4.36086,48.28335,2022,10,"France"
3.705953,43.422043,2022,10,"France"
-1.22266,44.70529,2022,10,"France"
-1.068789,50.77921,2022,10,"United Kingdom of Great Britain and Northern Ireland"
-0.2702,49.34041,2022,10,"France"
-4.45493,48.29294,2022,10,"France"
-1.23974,44.64203,2022,10,"France"
-1.21064,44.71395,2022,10,"France"
-1.068789,50.77921,2022,10,"United Kingdom of Great Britain and Northern Ireland"
-4.59793,48.28428,2022,10,"France"
-1.57369,48.75046,2022,10,"France"
-1.068789,50.77921,2022,10,"United Kingdom of Great Britain and Northern Ireland"
18.002346,69.636786,2022,10,"Norway"
3.685515,43.413691,2022,11,"France"
3.685515,43.413691,2022,11,"France"
-1.22856,44.69716,2022,11,"France"
3.70003,43.424697,2022,12,"France"
3.69986,43.425,2022,12,"France"
3.69986,43.425,2022,12,"France"
-5.371935,56.51302,2021,1,"United Kingdom of Great Britain and Northern Ireland"
-5.538893,56.2424,2021,1,"United Kingdom of Great Britain and Northern Ireland"
-5.538893,56.2424,2021,1,"United Kingdom of Great Britain and Northern Ireland"
-4.39306,48.32548,2021,1,"France"
-4.39306,48.32548,2021,1,"France"
-5.33815,56.47021,2021,2,"United Kingdom of Great Britain and Northern Ireland"
-5.33815,56.47021,2021,2,"United Kingdom of Great Britain and Northern Ireland"
-5.27459,56.54504,2021,2,"United Kingdom of Great Britain and Northern Ireland"
-5.33815,56.47021,2021,2,"United Kingdom of Great Britain and Northern Ireland"
3.691,51.633,2021,2,"Netherlands"
18.963885,69.650963,2021,2,"Norway"
5.179327,59.23206,2021,2,"Norway"
-5.373218,56.58941,2021,3,"United Kingdom of Great Britain and Northern Ireland"
-5.537896,56.2428,2021,3,"United Kingdom of Great Britain and Northern Ireland"
-3.096282,59.00383,2021,3,"United Kingdom of Great Britain and Northern Ireland"
-5.530237,50.114283,2021,3,"United Kingdom of Great Britain and Northern Ireland"
-5.538893,56.2424,2021,3,"United Kingdom of Great Britain and Northern Ireland"
-5.530237,50.114283,2021,3,"United Kingdom of Great Britain and Northern Ireland"
3.700291,43.424848,2021,3,"France"
-5.595832,56.03578,2021,4,"United Kingdom of Great Britain and Northern Ireland"
-4.960939,50.14679,2021,4,"United Kingdom of Great Britain and Northern Ireland"
-2.450823,50.57209,2021,4,"United Kingdom of Great Britain and Northern Ireland"
-5.573825,54.39118,2021,4,"United Kingdom of Great Britain and Northern Ireland"
-2.450823,50.57209,2021,4,"United Kingdom of Great Britain and Northern Ireland"
-5.538947,56.24281,2021,4,"United Kingdom of Great Britain and Northern Ireland"
-5.497351,55.81528,2021,4,"United Kingdom of Great Britain and Northern Ireland"
12.310409,45.308415,2021,4,"Italy"
-5.573825,54.39118,2021,4,"United Kingdom of Great Britain and Northern Ireland"
-5.502684,56.2692,2021,4,"United Kingdom of Great Britain and Northern Ireland"
-5.656206,54.67017,2021,4,"United Kingdom of Great Britain and Northern Ireland"
-5.538947,56.24281,2021,4,"United Kingdom of Great Britain and Northern Ireland"
-2.450823,50.57209,2021,4,"United Kingdom of Great Britain and Northern Ireland"
-5.656203,54.67014,2021,4,"United Kingdom of Great Britain and Northern Ireland"
11.4069,58.2164,2021,4,"Sweden"
18.962834,69.650298,2021,4,"Norway"
5.250249,59.419894,2021,4,"Norway"
-5.373554,56.58935,2021,5,"United Kingdom of Great Britain and Northern Ireland"
-5.110401,50.1026,2021,5,"United Kingdom of Great Britain and Northern Ireland"
-2.535,48.64167,2021,5,"France"
-5.559122,54.38797,2021,5,"United Kingdom of Great Britain and Northern Ireland"
-4.769773,56.1945,2021,5,"United Kingdom of Great Britain and Northern Ireland"
-5.067415,56.70239,2021,5,"United Kingdom of Great Britain and Northern Ireland"
-5.573286,54.389302,2021,5,"United Kingdom of Great Britain and Northern Ireland"
-5.067415,56.70239,2021,5,"United Kingdom of Great Britain and Northern Ireland"
-4.773598,54.08235,2021,5,"Isle of Man"
-5.452665,50.113376,2021,5,"United Kingdom of Great Britain and Northern Ireland"
3.7,43.42472,2021,5,"France"
-5.573286,54.389302,2021,5,"United Kingdom of Great Britain and Northern Ireland"
-5.463791,55.83514,2021,6,"United Kingdom of Great Britain and Northern Ireland"
-5.470477,55.83584,2021,6,"United Kingdom of Great Britain and Northern Ireland"
-5.220183,51.71642,2021,6,"United Kingdom of Great Britain and Northern Ireland"
-5.220183,51.71643,2021,6,"United Kingdom of Great Britain and Northern Ireland"
3.7,43.42472,2021,6,"France"
-2.02725,48.6278,2021,6,"France"
1.163597,51.94786,2021,6,"United Kingdom of Great Britain and Northern Ireland"
-4.776216,56.1915,2021,6,"United Kingdom of Great Britain and Northern Ireland"
1.163982,51.94806,2021,6,"United Kingdom of Great Britain and Northern Ireland"
-1.574719,50.66536,2021,6,"United Kingdom of Great Britain and Northern Ireland"
-5.463791,55.83514,2021,6,"United Kingdom of Great Britain and Northern Ireland"
-5.12889,48.44806,2021,6,"France"
1.270406,51.99553,2021,6,"United Kingdom of Great Britain and Northern Ireland"
-2.191844,49.29342,2021,6,"Jersey"
11.20751,58.36088,2021,6,"Sweden"
18.752655,69.67441,2021,6,"Norway"
18.752655,69.67441,2021,6,"Norway"
-2.291254,50.61811,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-2.207523,49.17522,2021,7,"Jersey"
-4.915987,55.94075,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-5.979397,56.66787,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-4.860174,56.08282,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-5.911432,56.53851,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-6.244233,55.29235,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-5.466042,55.82524,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-4.917654,55.9416,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-5.650911,56.50788,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-9.663193,53.34124,2021,7,"Ireland"
-4.860174,56.08282,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-4.348914,54.71554,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-4.901022,56.1505,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-4.857633,56.0865,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-4.889776,56.12642,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-6.704074,57.95319,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-1.888722,50.65701,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-4.915987,55.94075,2021,7,"United Kingdom of Great Britain and Northern Ireland"
