"","Longitude","Latitude","year","month","country"
"1",3.1842,39.938,2020,7,"Spain"
"2",-4.08,43.4358,2018,7,"Spain"
"3",3.2093,42.0525,2017,3,"Spain"
"4",3.1581,42.1181,2017,4,"Spain"
"5",3.1581,42.1181,2017,4,"Spain"
"6",12.2787,37.9245,2017,4,"Italy"
"7",3.2323,41.957,2017,5,"Spain"
"8",2.6655,39.7758,2017,7,"Spain"
"9",3.1656,42.3732,2016,4,"Spain"
"10",3.1135,41.8482,2015,6,"Spain"
"11",-5.3138,36.225,2014,7,"Spain"
"12",-5.3138,36.225,2014,7,"Spain"
"13",9.4564,42.7122,2008,9,"France"
"14",5.352272,43.211503,2025,2,"France"
"15",-2.549253,43.374823,2025,2,"Spain"
"16",-2.84977,36.695645,2025,2,"Spain"
"17",-8.941469,42.464505,2025,2,"Spain"
"18",-9.136246,53.150978,2025,2,"Ireland"
"19",-2.868625,43.432792,2025,3,"Spain"
"20",-5.764399,36.083049,2025,3,"Spain"
"21",-5.76435,36.083008,2025,3,"Spain"
"22",3.205231,42.239874,2025,3,"Spain"
"23",5.391441,43.186079,2025,3,"France"
"24",-8.397383,43.380161,2025,3,"Spain"
"25",5.352117,43.211283,2025,3,"France"
"26",-2.720665,43.424336,2025,3,"Spain"
"27",5.427243,43.205365,2025,3,"France"
"28",-3.787539,43.479662,2025,4,"Spain"
"29",-3.787539,43.479662,2025,4,"Spain"
"30",-3.787539,43.479662,2025,4,"Spain"
"31",-3.787539,43.479662,2025,4,"Spain"
"32",-5.05935,50.146373,2024,1,"United Kingdom of Great Britain and Northern Ireland"
"33",-5.057829,50.147326,2024,1,"United Kingdom of Great Britain and Northern Ireland"
"34",-5.068448,50.142347,2024,2,"United Kingdom of Great Britain and Northern Ireland"
"35",-5.068442,50.142369,2024,2,"United Kingdom of Great Britain and Northern Ireland"
"36",-5.068524,50.142202,2024,2,"United Kingdom of Great Britain and Northern Ireland"
"37",-5.069063,50.141999,2024,2,"United Kingdom of Great Britain and Northern Ireland"
"38",-5.056418,50.147679,2024,2,"United Kingdom of Great Britain and Northern Ireland"
"39",-5.057821,50.147731,2024,2,"United Kingdom of Great Britain and Northern Ireland"
"40",5.230654,43.199653,2024,2,"France"
"41",-9.260117,42.904396,2024,2,"Spain"
"42",-2.033147,48.648142,2024,2,"France"
"43",5.385471,43.188623,2024,2,"France"
"44",-3.003926,43.386531,2024,2,"Spain"
"45",-3.004124,43.386426,2024,2,"Spain"
"46",-5.056418,50.147679,2024,2,"United Kingdom of Great Britain and Northern Ireland"
"47",-5.057821,50.147731,2024,2,"United Kingdom of Great Britain and Northern Ireland"
"48",-5.044075,50.143487,2024,3,"United Kingdom of Great Britain and Northern Ireland"
"49",-2.721078,43.423736,2024,3,"Spain"
"50",-2.721101,43.42403,2024,3,"Spain"
"51",-9.358297,38.687501,2024,3,"Portugal"
"52",-9.361163,38.688317,2024,3,"Portugal"
"53",-5.764354,36.083416,2024,3,"Spain"
"54",-3.003956,43.386377,2024,3,"Spain"
"55",-5.751998,36.07335,2024,3,"Spain"
"56",5.24224,43.331574,2024,3,"France"
"57",3.156703,42.460447,2024,4,"France"
"58",-2.869653,43.433268,2024,4,"Spain"
"59",-9.379025,39.368879,2024,4,"Portugal"
"60",-9.379288,39.369012,2024,4,"Portugal"
"61",3.16817,42.441766,2024,4,"France"
"62",3.16823,42.441572,2024,4,"France"
"63",3.168038,42.44158,2024,4,"France"
"64",-3.773215,43.467152,2024,4,"Spain"
"65",3.180613,42.247016,2024,4,"Spain"
"66",-5.074928,50.14046,2024,4,"United Kingdom of Great Britain and Northern Ireland"
"67",-5.075161,50.140492,2024,4,"United Kingdom of Great Britain and Northern Ireland"
"68",-5.074085,50.140761,2024,4,"United Kingdom of Great Britain and Northern Ireland"
"69",-3.835484,43.482096,2024,4,"Spain"
"70",-3.835103,43.482271,2024,4,"Spain"
"71",-5.074664,50.140662,2024,4,"United Kingdom of Great Britain and Northern Ireland"
"72",5.372465,43.177661,2024,4,"France"
"73",5.32613,43.215062,2024,4,"France"
"74",5.37271,43.177719,2024,4,"France"
"75",5.372332,43.177208,2024,4,"France"
"76",5.37271,43.177719,2024,4,"France"
"77",5.325333,43.213914,2024,4,"France"
"78",5.325577,43.213722,2024,4,"France"
"79",5.325582,43.214031,2024,4,"France"
"80",5.361392,43.197234,2024,4,"France"
"81",5.325234,43.214279,2024,4,"France"
"82",5.325183,43.215091,2024,4,"France"
"83",5.347958,43.228902,2024,4,"France"
"84",5.326428,43.215056,2024,4,"France"
"85",5.326428,43.215056,2024,4,"France"
"86",5.391312,43.186332,2024,4,"France"
"87",-5.074664,50.140662,2024,4,"United Kingdom of Great Britain and Northern Ireland"
"88",3.224722,42.041389,2024,5,"Spain"
"89",3.227762,42.041496,2024,5,"Spain"
"90",-9.373056,39.366615,2024,5,"Portugal"
"91",-8.945664,37.104116,2024,5,"Portugal"
"92",-8.906057,37.198605,2024,5,"Portugal"
"93",-8.891713,37.198387,2024,5,"Portugal"
"94",-8.905809,37.198165,2024,5,"Portugal"
"95",-8.945415,37.100771,2024,5,"Portugal"
"96",-8.945449,37.099926,2024,5,"Portugal"
"97",-9.421687,38.691455,2024,5,"Portugal"
"98",-8.905766,37.198554,2024,5,"Portugal"
"99",-8.944847,37.103011,2024,5,"Portugal"
"100",-8.85312,37.341281,2024,5,"Portugal"
"101",3.243252,42.248091,2024,5,"Spain"
"102",-8.906095,37.19864,2024,5,"Portugal"
"103",-8.926396,37.008412,2024,5,"Portugal"
"104",-8.930018,37.012293,2024,5,"Portugal"
"105",5.370761,43.176849,2024,5,"France"
"106",-8.905739,37.198392,2024,5,"Portugal"
"107",-8.905696,37.198242,2024,5,"Portugal"
"108",-9.378157,39.36979,2024,5,"Portugal"
"109",-8.94493,37.102592,2024,5,"Portugal"
"110",-9.188664,38.41435,2024,5,"Portugal"
"111",-8.946006,37.099716,2024,5,"Portugal"
"112",-8.906101,37.198395,2024,5,"Portugal"
"113",-8.905722,37.198527,2024,5,"Portugal"
"114",-8.853214,37.340685,2024,5,"Portugal"
"115",5.044477,43.328636,2024,5,"France"
"116",-8.855755,37.340073,2024,5,"Portugal"
"117",-8.94627,37.099832,2024,5,"Portugal"
"118",5.398524,43.174412,2024,5,"France"
"119",-8.82261,37.450828,2024,5,"Portugal"
"120",5.325365,43.213942,2024,5,"France"
"121",-8.852222,37.338598,2024,5,"Portugal"
"122",5.320923,43.216549,2024,5,"France"
"123",-8.898322,37.198823,2024,5,"Portugal"
"124",-8.905749,37.198302,2024,5,"Portugal"
"125",-9.360407,38.687786,2024,5,"Portugal"
"126",-9.369528,38.693398,2024,5,"Portugal"
"127",-9.361183,38.6883,2024,5,"Portugal"
"128",-9.361793,38.688206,2024,5,"Portugal"
"129",-9.361623,38.68832,2024,5,"Portugal"
"130",-0.28,39.38,2024,5,"Spain"
"131",-0.29,39.37,2024,5,"Spain"
"132",-0.29,39.38,2024,5,"Spain"
"133",-0.26,39.33,2024,5,"Spain"
"134",-0.26,39.32,2024,5,"Spain"
"135",-0.25,39.32,2024,5,"Spain"
"136",-5.061726,50.145948,2024,6,"United Kingdom of Great Britain and Northern Ireland"
"137",5.099967,43.329115,2024,6,"France"
"138",5.391687,43.186212,2024,6,"France"
"139",-10.383198,51.88417,2024,6,"Ireland"
"140",5.350595,43.280064,2024,6,"France"
"141",5.350303,43.280233,2024,6,"France"
"142",-5.061726,50.145948,2024,6,"United Kingdom of Great Britain and Northern Ireland"
"143",-2.958567,43.413644,2024,6,"Spain"
"144",-5.140284,48.446506,2024,6,"France"
"145",-2.201953,49.248934,2024,6,"Jersey"
"146",-8.790823,37.710695,2024,6,"Portugal"
"147",-5.064959,50.144786,2024,7,"United Kingdom of Great Britain and Northern Ireland"
"148",5.289474,43.260563,2024,7,"France"
"149",-5.068197,50.144437,2024,7,"United Kingdom of Great Britain and Northern Ireland"
"150",-5.068326,50.142131,2024,7,"United Kingdom of Great Britain and Northern Ireland"
"151",-5.068853,50.142083,2024,7,"United Kingdom of Great Britain and Northern Ireland"
"152",-2.973662,43.406015,2024,7,"Spain"
"153",-5.103961,50.101035,2024,7,"United Kingdom of Great Britain and Northern Ireland"
"154",-2.959086,43.41343,2024,7,"Spain"
"155",-3.98784,48.730584,2024,7,"France"
"156",-4.003834,48.730081,2024,7,"France"
"157",-8.414076,43.370248,2024,7,"Spain"
"158",-8.41388,43.370288,2024,7,"Spain"
"159",-5.065034,50.144844,2024,7,"United Kingdom of Great Britain and Northern Ireland"
