"Longitude","Latitude","Year","Month","Country"
2.3888,39.5328,2020,6,"Spain"
2.3893,39.5322,2020,6,"Spain"
2.6199,39.756,2020,6,"Spain"
3.1489,39.8676,2020,7,"Spain"
3.1837,39.9381,2020,7,"Spain"
2.4724,39.4626,2020,7,"Spain"
3.1503,39.9205,2020,7,"Spain"
3.1837,39.938,2020,7,"Spain"
3.1837,39.9381,2020,7,"Spain"
1.2192,38.9552,2020,7,"Spain"
4.0299,39.9162,2020,8,"Spain"
2.3084,39.5733,2020,11,"Spain"
3.99,39.929,2019,6,"Spain"
-1.8464,37.099,2019,6,"Spain"
4.0994,40.0845,2019,7,"Spain"
1.518,39.1151,2019,7,"Spain"
-3.2685,36.7487,2019,8,"Spain"
4.1001,40.084,2019,8,"Spain"
2.3766,39.536,2018,4,"Spain"
2.3766,39.536,2018,4,"Spain"
2.3766,39.536,2018,4,"Spain"
2.3079,39.5738,2018,5,"Spain"
1.2851,38.996,2018,5,"Spain"
2.4724,39.4621,2018,5,"Spain"
2.6191,39.755,2018,6,"Spain"
2.917,39.161,2018,7,"Spain"
-4.3819,36.7199,2018,8,"Spain"
-4.3821,36.7199,2018,8,"Spain"
-1.754,37.2653,2018,8,"Spain"
-3.7776,36.7376,2018,9,"Spain"
-3.7121,36.7307,2018,9,"Spain"
-3.7777,36.7375,2018,9,"Spain"
4.282,39.8016,2018,9,"Spain"
-4.3822,36.7204,2018,9,"Spain"
-3.7289,36.7208,2017,1,"Spain"
2.4393,39.529,2017,1,"Spain"
3.1546,39.8721,2017,1,"Spain"
-3.4049,36.7044,2017,2,"Spain"
-3.7356,36.7272,2017,2,"Spain"
2.4715,39.462,2017,4,"Spain"
2.4715,39.462,2017,5,"Spain"
3.1946,39.9409,2017,5,"Spain"
1.6731,41.1973,2017,5,"Spain"
3.2002,39.9433,2017,5,"Spain"
1.6731,41.1973,2017,6,"Spain"
3.2204,39.358,2017,6,"Spain"
3.2655,39.417,2017,6,"Spain"
3.2204,39.358,2017,6,"Spain"
3.2655,39.417,2017,6,"Spain"
3.2655,39.417,2017,6,"Spain"
12.6316,35.515,2017,7,"Italy"
2.3103,39.572,2017,8,"Spain"
3.3709,39.5563,2017,11,"Spain"
2.4715,39.462,2017,12,"Spain"
2.5927,39.539,2016,4,"Spain"
-2.565,36.8121,2016,4,"Spain"
