"Longitude","Latitude","Year","Month","Country"
-3.557176,50.420518,2025,1,"United Kingdom of Great Britain and Northern Ireland"
-4.126933,50.357242,2025,1,"United Kingdom of Great Britain and Northern Ireland"
-2.470238,48.631008,2025,1,"France"
-3.557176,50.420518,2025,1,"United Kingdom of Great Britain and Northern Ireland"
2.906,51.22991,2025,1,"Belgium"
2.92645,51.23966,2025,1,"Belgium"
3.22691,51.34454,2025,1,"Belgium"
2.9277,51.23864,2025,1,"Belgium"
3.11377,51.31475,2025,1,"Belgium"
3.11377,51.31474,2025,1,"Belgium"
3.11379,51.31472,2025,1,"Belgium"
4.850431,53.036619,2025,2,"Netherlands"
-4.567936,48.351301,2025,2,"France"
-2.070472,48.640153,2025,2,"France"
4,51.55,2025,2,"Netherlands"
3.65,51.6,2025,2,"Netherlands"
4.05,51.5,2025,2,"Netherlands"
3.13665,51.32153,2025,2,"Belgium"
2.62509,51.12036,2025,2,"Belgium"
2.85978,51.20896,2025,2,"Belgium"
2.92949,51.24126,2025,2,"Belgium"
2.93015,51.24052,2025,2,"Belgium"
2.92949,51.24126,2025,2,"Belgium"
3.23491,51.34499,2025,2,"Belgium"
3.2347,51.34487,2025,2,"Belgium"
2.92632,51.23967,2025,2,"Belgium"
2.65625,51.13068,2025,2,"Belgium"
3.13616,51.32127,2025,2,"Belgium"
2.784,51.17597,2025,2,"Belgium"
2.78995,51.18069,2025,2,"Belgium"
3.12227,51.31707,2025,2,"Belgium"
-4.126621,50.356813,2025,3,"United Kingdom of Great Britain and Northern Ireland"
1.706544,50.92531,2025,3,"France"
-4.126138,50.357141,2025,3,"United Kingdom of Great Britain and Northern Ireland"
-4.126188,50.357062,2025,3,"United Kingdom of Great Britain and Northern Ireland"
3.13678,51.32156,2025,3,"Belgium"
4.73548,51.0845,2025,3,"Belgium"
2.91438,51.23756,2025,3,"Belgium"
2.65814,51.13051,2025,3,"Belgium"
2.71836,51.15501,2025,3,"Belgium"
2.72783,51.15654,2025,3,"Belgium"
3.35151,51.36014,2025,4,"Belgium"
3.35149,51.36015,2025,4,"Belgium"
3.34863,51.36735,2025,4,"Belgium"
-9.75035,52.264743,2024,1,"Ireland"
-4.570843,48.349979,2024,1,"France"
3.9,51.5,2024,1,"Netherlands"
3.65,51.55,2024,1,"Netherlands"
3.95,51.5,2024,1,"Netherlands"
1.33311,52.923652,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-1.316373,50.808036,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-6.192822,55.292948,2024,1,"United Kingdom of Great Britain and Northern Ireland"
2.85378,51.2056,2024,1,"Belgium"
2.85416,51.20579,2024,1,"Belgium"
2.85305,51.20817,2024,1,"Belgium"
2.96938,51.25562,2024,1,"Belgium"
3.586246,51.378345,2024,1,"Netherlands"
-8.311974,51.845926,2024,2,"Ireland"
-9.74247,51.460852,2024,2,"Ireland"
-1.969618,48.536564,2024,2,"France"
-1.972639,50.710608,2024,2,"United Kingdom of Great Britain and Northern Ireland"
-1.983958,48.576872,2024,2,"France"
3.85,51.3,2024,2,"Netherlands"
3.95,51.5,2024,2,"Netherlands"
4.05,51.5,2024,2,"Netherlands"
4,51.5,2024,2,"Netherlands"
3.75,51.65,2024,2,"Netherlands"
0.499859,50.84137,2024,2,"United Kingdom of Great Britain and Northern Ireland"
2.9255,51.23844,2024,2,"Belgium"
3.15682,51.32498,2024,2,"Belgium"
3.31532,51.35987,2024,2,"Belgium"
2.92967,51.24048,2024,2,"Belgium"
8.438766,54.693764,2024,2,"Germany"
6.753759,53.568527,2024,2,"Germany"
-1.913705,48.692659,2024,3,"France"
