"Longitude","Latitude","Year","Month","Country"
-2.863261,36.704123,2025,1,"Spain"
-9.201119,38.580132,2025,3,"Portugal"
-0.26,39.29,2024,3,"Spain"
-9.112523,38.436984,2024,5,"Portugal"
-5.159444,36.41335,2024,7,"Spain"
-6.976469,37.181094,2024,8,"Spain"
4.016667,43.556111,2023,6,"France"
-8.614991,40.438492,2023,12,"Portugal"
-7.447209,37.182149,2022,2,"Portugal"
22.833557,40.579548,2022,2,"Greece"
-8.780214,40.525872,2022,2,"Portugal"
-8.78778,40.502481,2022,2,"Portugal"
22.652125,40.340985,2022,3,"Greece"
-6.688363,37.069922,2022,4,"Spain"
6.92321,43.46198,2022,7,"France"
2.08397,41.280252,2022,11,"Spain"
-8.765833,40.573333,2022,12,"Portugal"
6.32,53.5,2021,3,"Netherlands"
3.604443,43.395377,2021,4,"France"
3.645791,43.428849,2021,4,"France"
-8.888869,38.470421,2021,7,"Portugal"
-8.880833,38.464167,2021,7,"Portugal"
3.69986,43.425,2021,8,"France"
3.7,43.42472,2021,10,"France"
3.7,43.42472,2021,10,"France"
3.69986,43.425,2021,10,"France"
3.7,43.42472,2021,10,"France"
3.7,43.42472,2021,11,"France"
3.69986,43.425,2021,11,"France"
3.7,43.42472,2021,11,"France"
-8.776556,40.535031,2021,12,"Portugal"
-2.16602,46.89871,2020,8,"France"
-8.739797,40.63068,2019,6,"Portugal"
-5.590518,36.012276,2018,1,"Spain"
-5.567493,36.017795,2018,1,"Spain"
5.324,53.417,2018,1,"Netherlands"
-5.604444,36.014286,2017,1,"Spain"
-5.443424,36.092372,2017,2,"Spain"
-5.583544,36.016164,2017,3,"Spain"
-5.433281,36.08476,2017,3,"Spain"
-5.346856,36.192735,2016,1,"Spain"
-6.193775,36.375578,2016,3,"Spain"
-3.441905,40.302453,2016,5,"Spain"
-3.441905,40.302453,2016,5,"Spain"
-3.441905,40.302453,2016,5,"Spain"
-3.441905,40.302453,2016,5,"Spain"
-3.441905,40.302453,2016,5,"Spain"
-3.441905,40.302453,2016,5,"Spain"
-3.441905,40.302453,2016,5,"Spain"
-3.441962,40.30243,2016,5,"Spain"
-8.693413,42.71638,2016,5,"Spain"
-5.643196,43.55029,2016,11,"Spain"
-5.643196,43.55029,2016,11,"Spain"
-3.441858,40.302403,2015,2,"Spain"
-3.441837,40.3024,2015,2,"Spain"
-3.441847,40.302475,2015,2,"Spain"
-3.441967,40.30243,2015,3,"Spain"
-3.442053,40.302478,2015,3,"Spain"
-3.442033,40.302475,2015,3,"Spain"
-3.44202,40.302495,2015,3,"Spain"
-3.44207,40.302503,2015,3,"Spain"
2.375708,41.493819,2015,3,"Spain"
13.751039,45.61402,2015,3,"Italy"
-0.520048,38.2864,2015,5,"Spain"
-5.60445,36.014321,2015,6,"Spain"
0.852911,40.937963,2015,7,"Spain"
-5.595882,36.011703,2014,8,"Spain"
2.249324,41.443385,2014,8,"Spain"
2.249324,41.443385,2014,8,"Spain"
2.249324,41.443385,2014,8,"Spain"
13.7844,45.6114,2013,6,"Italy"
13.7753,45.6178,2013,6,"Italy"
13.7625,45.6081,2013,6,"Italy"
-5.431596,36.070461,2013,7,"Spain"
-5.431601,36.070359,2013,7,"Spain"
