"Longitude","Latitude","Year","Month","Country"
3.22344,51.34913,2024,6,"Belgium"
3.20807,51.36083,2024,12,"Belgium"
-2.02169,49.2108,2021,1,"Jersey"
-2.0223,49.2104,2021,1,"Jersey"
-2.0223,49.2104,2021,1,"Jersey"
-2.022,49.1665,2021,2,"Jersey"
2.84963,51.20608,2021,7,"Belgium"
-2.018469,49.2068,2020,12,"Jersey"
-5.542911,50.109625,2018,4,"United Kingdom of Great Britain and Northern Ireland"
-5.527224,50.124588,2018,4,"United Kingdom of Great Britain and Northern Ireland"
-5.542911,50.109625,2018,5,"United Kingdom of Great Britain and Northern Ireland"
-10.0689,54.134678,2018,9,"Ireland"
-10.066738,54.143011,2018,9,"Ireland"
1.45258,51.37738,2016,8,"United Kingdom of Great Britain and Northern Ireland"
-1.391399,50.73008,2015,8,"United Kingdom of Great Britain and Northern Ireland"
-1.391399,50.73008,2015,8,"United Kingdom of Great Britain and Northern Ireland"
-1.397124,50.725613,2015,8,"United Kingdom of Great Britain and Northern Ireland"
-5.533878,50.114436,2019,9,"United Kingdom of Great Britain and Northern Ireland"
-5.533878,50.114436,2019,9,"United Kingdom of Great Britain and Northern Ireland"
-5.543032,50.109568,2018,4,"United Kingdom of Great Britain and Northern Ireland"
-5.527345,50.124531,2018,4,"United Kingdom of Great Britain and Northern Ireland"
-5.527345,50.124531,2018,4,"United Kingdom of Great Britain and Northern Ireland"
-5.543032,50.109568,2018,4,"United Kingdom of Great Britain and Northern Ireland"
-5.543032,50.109568,2018,5,"United Kingdom of Great Britain and Northern Ireland"
-5.543032,50.109568,2018,5,"United Kingdom of Great Britain and Northern Ireland"
-10.06967,54.134832,2018,9,"Ireland"
-10.067507,54.143164,2018,9,"Ireland"
-10.067507,54.143164,2018,9,"Ireland"
-10.06967,54.134832,2018,9,"Ireland"
-3.860005,50.262335,2017,3,"United Kingdom of Great Britain and Northern Ireland"
-3.860005,50.262335,2017,3,"United Kingdom of Great Britain and Northern Ireland"
-1.537651,55.23843,2017,9,"United Kingdom of Great Britain and Northern Ireland"
-1.537651,55.23843,2017,9,"United Kingdom of Great Britain and Northern Ireland"
-2.971292,58.956486,2014,7,"United Kingdom of Great Britain and Northern Ireland"
-2.971292,58.956486,2014,7,"United Kingdom of Great Britain and Northern Ireland"
