"Longitude","Latitude","Year","Month","Country"
4.972923,43.41729,2025,1,"France"
3.695051,43.441772,2025,1,"France"
3.695051,43.441772,2025,1,"France"
4.11836,43.513782,2025,1,"France"
22.899397,40.400782,2025,2,"Greece"
3.700209,43.424299,2025,2,"France"
3.700209,43.424299,2025,2,"France"
4.938376,43.428536,2025,3,"France"
-4.127133,50.356458,2025,3,"United Kingdom of Great Britain and Northern Ireland"
2.94429,51.22699,2025,3,"Belgium"
2.94367,51.22625,2025,3,"Belgium"
-2.246017,48.639821,2025,4,"France"
3.122651,43.111769,2024,3,"France"
12.339233,45.434645,2024,4,"Italy"
12.339233,45.434645,2024,4,"Italy"
4.15,51.5,2024,4,"Netherlands"
4.15,51.5,2024,4,"Netherlands"
-5.6725,54.665278,2024,6,"United Kingdom of Great Britain and Northern Ireland"
-5.6725,54.665278,2024,6,"United Kingdom of Great Britain and Northern Ireland"
-2.100143,49.175746,2024,6,"Jersey"
-2.100143,49.175746,2024,6,"Jersey"
-2.100143,49.175746,2024,6,"Jersey"
-2.100143,49.175746,2024,6,"Jersey"
-2.100143,49.175746,2024,6,"Jersey"
-2.100143,49.175746,2024,6,"Jersey"
4.05,51.7,2024,6,"Netherlands"
3.8,51.55,2024,6,"Netherlands"
-5.6725,54.665278,2024,6,"United Kingdom of Great Britain and Northern Ireland"
-5.6725,54.665278,2024,6,"United Kingdom of Great Britain and Northern Ireland"
4.002105,51.708259,2024,7,"Netherlands"
-1.934718,49.292062,2024,7,"Jersey"
-2.02209,49.232459,2024,7,"Jersey"
-2.02209,49.232459,2024,7,"Jersey"
4.15,51.5,2024,7,"Netherlands"
4.05,51.45,2024,7,"Netherlands"
4,51.5,2024,7,"Netherlands"
4,51.5,2024,7,"Netherlands"
3.9,51.7,2024,7,"Netherlands"
4.1,51.6,2024,7,"Netherlands"
4.05,51.5,2024,7,"Netherlands"
4.2,51.45,2024,7,"Netherlands"
-1.969964,48.538148,2024,8,"France"
-1.9365,49.291661,2024,8,"Jersey"
-2.893408,47.544844,2024,8,"France"
-2.892872,47.544994,2024,8,"France"
-5.653525,54.522347,2024,8,"United Kingdom of Great Britain and Northern Ireland"
3.85,51.75,2024,8,"Netherlands"
3.85,51.75,2024,8,"Netherlands"
3.85,51.75,2024,8,"Netherlands"
-5.653525,54.522347,2024,8,"United Kingdom of Great Britain and Northern Ireland"
-1.179646,44.664317,2024,9,"France"
3.8,51.7,2024,9,"Netherlands"
3.75,51.65,2024,9,"Netherlands"
-5.671622,54.664658,2024,10,"United Kingdom of Great Britain and Northern Ireland"
-2.018409,48.596436,2024,10,"France"
-5.671622,54.664658,2024,10,"United Kingdom of Great Britain and Northern Ireland"
2.95138,51.23159,2024,10,"Belgium"
2.61125,51.11386,2024,10,"Belgium"
5.292227,60.424302,2024,10,"Norway"
3.020387,42.810192,2024,11,"France"
-1.99618,48.576701,2024,11,"France"
-1.610153,48.839469,2024,11,"France"
3.020523,42.809511,2024,11,"France"
12.293034,45.222147,2024,11,"Italy"
3.00807,51.27073,2024,12,"Belgium"
4.930511,60.499652,2024,12,"Norway"
3.85,51.75,2023,1,"Netherlands"
8.63728,56.884445,2023,2,"Denmark"
3.69986,43.425,2023,2,"France"
3.700322,43.424711,2023,3,"France"
3.695143,43.441681,2023,3,"France"
3.695143,43.441681,2023,3,"France"
3.695011,43.441871,2023,3,"France"
3.695011,43.441871,2023,3,"France"
3.695011,43.441871,2023,3,"France"
3.69986,43.425,2023,3,"France"
4.15,51.5,2023,4,"Netherlands"
4.15,51.5,2023,4,"Netherlands"
-5.670856,54.664551,2023,4,"United Kingdom of Great Britain and Northern Ireland"
-6.306714,36.528314,2023,5,"Spain"
-1.930384,49.28721,2023,5,"Jersey"
3.85,51.75,2023,5,"Netherlands"
4,51.55,2023,5,"Netherlands"
3.7,43.42472,2023,5,"France"
-2.029933,49.159541,2023,6,"Jersey"
-2.606059,47.793258,2023,6,"France"
4.15,51.5,2023,6,"Netherlands"
