"Longitude","Latitude","Year","Month","Country"
3.695003,43.441923,2025,1,"France"
3.695003,43.441923,2025,1,"France"
3.694929,43.429866,2025,2,"France"
3.689436,43.429866,2025,2,"France"
3.700209,43.424299,2025,2,"France"
3.55967,43.31723,2024,1,"France"
-0.768513,37.647499,2024,2,"Spain"
-0.768513,37.647499,2024,2,"Spain"
-0.800796,37.798978,2024,2,"Spain"
-0.800796,37.798978,2024,2,"Spain"
-0.800796,37.798978,2024,2,"Spain"
-5.672805,54.665478,2024,5,"United Kingdom of Great Britain and Northern Ireland"
-9.17246,38.511403,2024,5,"Portugal"
-5.672805,54.665478,2024,5,"United Kingdom of Great Britain and Northern Ireland"
-2.100143,49.175746,2024,6,"Jersey"
5.15,53.35,2024,6,"Netherlands"
2.94365,51.22624,2024,7,"Belgium"
12.316763,45.31677,2024,8,"Italy"
3.699976,43.425009,2024,8,"France"
12.316763,45.31677,2024,8,"Italy"
12.316763,45.31677,2024,8,"Italy"
3.60323,43.420072,2024,8,"France"
-2.893042,47.544953,2024,8,"France"
3.85,51.75,2024,8,"Netherlands"
-1.179646,44.664317,2024,9,"France"
2.93167,51.23761,2024,9,"Belgium"
2.74939,51.16381,2024,9,"Belgium"
2.95127,51.23159,2024,10,"Belgium"
3.023084,42.836422,2024,11,"France"
3.023176,42.83657,2024,11,"France"
3.023176,42.83657,2024,11,"France"
3.020387,42.810192,2024,11,"France"
3.020283,42.809938,2024,11,"France"
3.020283,42.809938,2024,11,"France"
3.020975,42.809647,2024,11,"France"
3.020523,42.809511,2024,11,"France"
4.15,52.05,2024,11,"Netherlands"
-8.705741,41.186714,2024,12,"Portugal"
3.85,51.7,2023,1,"Netherlands"
3.85,51.7,2023,1,"Netherlands"
3.7,43.42472,2023,1,"France"
3.7,43.42472,2023,3,"France"
3.695258,43.441568,2023,3,"France"
3.7,43.42472,2023,3,"France"
3.7,43.42472,2023,3,"France"
3.7,43.42472,2023,3,"France"
3.7,43.42472,2023,4,"France"
3.66253,43.4468,2023,4,"France"
-8.929992,37.01138,2023,5,"Portugal"
4.938148,43.42956,2023,5,"France"
3.7,43.42472,2023,5,"France"
-4.5265,48.36427,2023,5,"France"
-1.43762,43.65601,2023,5,"France"
3.7,43.42472,2023,5,"France"
-1.43762,43.65601,2023,5,"France"
-1.24306,44.62848,2023,5,"France"
3.69986,43.425,2023,5,"France"
3.69986,43.425,2023,5,"France"
3.7,43.42472,2023,5,"France"
-1.43762,43.65601,2023,5,"France"
3.7,43.42472,2023,6,"France"
-1.24306,44.62848,2023,6,"France"
-1.24306,44.62848,2023,6,"France"
-1.24306,44.62848,2023,6,"France"
-5.812887,54.710406,2023,6,"United Kingdom of Great Britain and Northern Ireland"
-1.24306,44.62848,2023,6,"France"
3.7,43.42472,2023,6,"France"
3.20622,51.33463,2023,6,"Belgium"
3.20412,51.33404,2023,6,"Belgium"
3.20224,51.33328,2023,6,"Belgium"
3.20224,51.33328,2023,6,"Belgium"
3.20224,51.33328,2023,6,"Belgium"
3.7,51.6,2023,7,"Netherlands"
-5.67026,54.664343,2023,7,"United Kingdom of Great Britain and Northern Ireland"
-1.24306,44.62848,2023,7,"France"
-1.23891,44.67294,2023,7,"France"
3.7,43.42472,2023,7,"France"
-1.24306,44.62848,2023,7,"France"
2.96099,51.22969,2023,7,"Belgium"
2.96166,51.22977,2023,7,"Belgium"
2.96166,51.22977,2023,7,"Belgium"
2.96103,51.22974,2023,7,"Belgium"
2.96103,51.22974,2023,7,"Belgium"
4,51.5,2023,8,"Netherlands"
-5.672105,54.665056,2023,8,"United Kingdom of Great Britain and Northern Ireland"
-5.672105,54.665056,2023,8,"United Kingdom of Great Britain and Northern Ireland"
4.004,51.52,2023,8,"Netherlands"
5.076908,43.399335,2023,9,"France"
5.076908,43.399335,2023,9,"France"
-5.812919,54.71053,2023,9,"United Kingdom of Great Britain and Northern Ireland"
-5.67026,54.664343,2023,9,"United Kingdom of Great Britain and Northern Ireland"
-5.606476,54.261825,2023,9,"United Kingdom of Great Britain and Northern Ireland"
2.93159,51.23751,2023,9,"Belgium"
2.93157,51.23735,2023,9,"Belgium"
2.93157,51.23733,2023,9,"Belgium"
5.11317,43.404642,2023,10,"France"
4.1,51.65,2023,10,"Netherlands"
3.70637,43.4227,2023,10,"France"
2.9514,51.23169,2023,10,"Belgium"
18.710239,42.472514,2023,11,"Montenegro"
3.705652,43.422246,2023,11,"France"
3.85,51.8,2023,11,"Netherlands"
-5.812919,54.71053,2023,11,"United Kingdom of Great Britain and Northern Ireland"
-1.23891,44.67294,2022,1,"France"
3.703458,43.430412,2022,3,"France"
-1.24306,44.62848,2022,3,"France"
4.1108,43.50921,2022,3,"France"
3.7,43.42472,2022,4,"France"
3.88565,43.49809,2022,4,"France"
3.7,43.42472,2022,4,"France"
3.7,43.42472,2022,4,"France"
6.24127,43.03027,2022,4,"France"
6.36228,43.01977,2022,4,"France"
3.7,43.42472,2022,5,"France"
9.5558,42.142423,2022,5,"France"
9.5558,42.142423,2022,5,"France"
3.7,43.42472,2022,5,"France"
3.7,43.42472,2022,5,"France"
3.7,43.42472,2022,5,"France"
3.7,43.42472,2022,5,"France"
-2.91411,47.5687,2022,5,"France"
3.7,43.42472,2022,5,"France"
3.80942,43.4186,2022,5,"France"
3.7,43.42472,2022,5,"France"
3.80942,43.4186,2022,5,"France"
3.7,43.42472,2022,5,"France"
3.7,43.42472,2022,5,"France"
3.7,43.42472,2022,5,"France"
-1.43881,43.6554,2022,5,"France"
3.6725,43.42972,2022,5,"France"
-4.51829,48.19652,2022,5,"France"
-1.24306,44.62848,2022,6,"France"
3.8,51.7,2022,6,"Netherlands"
3.7,43.42472,2022,6,"France"
-4.45412,48.32236,2022,6,"France"
-1.24306,44.62848,2022,6,"France"
-1.23891,44.67294,2022,6,"France"
12.288433,44.497522,2022,7,"Italy"
12.288433,44.497522,2022,7,"Italy"
-1.24306,44.62848,2022,7,"France"
4,51.75,2022,7,"Netherlands"
4,51.5,2022,7,"Netherlands"
-1.24306,44.62848,2022,7,"France"
-1.23891,44.67294,2022,7,"France"
