"Longitude","Latitude","Year","Month","Country"
3.7,51.4,2025,1,"Netherlands"
3.7,51.4,2025,1,"Netherlands"
3.7,51.4,2025,1,"Netherlands"
3.7,51.4,2025,1,"Netherlands"
3.7,51.4,2025,1,"Netherlands"
3.7,51.4,2025,1,"Netherlands"
3.7,51.4,2025,1,"Netherlands"
3.7,51.4,2025,1,"Netherlands"
3.7,51.4,2025,1,"Netherlands"
3.7,51.4,2025,1,"Netherlands"
3.7,51.4,2025,1,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
-1.185472,54.697008,2025,3,"United Kingdom of Great Britain and Northern Ireland"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
8.296067,63.147468,2025,4,"Norway"
2.94343,51.22636,2024,1,"Belgium"
3.879825,51.743195,2024,2,"Netherlands"
3.879825,51.743195,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
2.95003,51.2248,2024,2,"Belgium"
-8.805423,40.452674,2024,3,"Portugal"
-8.827738,42.251113,2024,3,"Spain"
3.7,51.4,2024,3,"Netherlands"
3.7,51.4,2024,3,"Netherlands"
3.7,51.4,2024,3,"Netherlands"
3.7,51.4,2024,3,"Netherlands"
3.7,51.4,2024,3,"Netherlands"
3.7,51.4,2024,3,"Netherlands"
14.626091,67.227284,2024,4,"Norway"
3.7,51.4,2024,4,"Netherlands"
3.7,51.4,2024,4,"Netherlands"
3.7,51.4,2024,4,"Netherlands"
3.7,51.4,2024,4,"Netherlands"
3.7,51.4,2024,4,"Netherlands"
3.7,51.4,2024,4,"Netherlands"
3.7,51.4,2024,4,"Netherlands"
3.7,51.4,2024,4,"Netherlands"
3.7,51.4,2024,4,"Netherlands"
3.7,51.4,2024,4,"Netherlands"
3.7,51.4,2024,4,"Netherlands"
3.7,51.4,2024,4,"Netherlands"
3.7,51.4,2024,4,"Netherlands"
3.7,51.4,2024,4,"Netherlands"
3.19994,51.33057,2024,4,"Belgium"
11.22105,58.64412,2024,4,"Sweden"
11.21822,58.70013,2024,4,"Sweden"
11.2179,58.69964,2024,4,"Sweden"
11.21884,58.69893,2024,4,"Sweden"
11.21756,58.69967,2024,4,"Sweden"
18.948973,69.642631,2024,4,"Norway"
-4.164847,53.221014,2024,5,"United Kingdom of Great Britain and Northern Ireland"
4.931544,60.499771,2024,5,"Norway"
3.995657,51.711457,2024,6,"Netherlands"
-5.058319,50.146867,2024,6,"United Kingdom of Great Britain and Northern Ireland"
-5.672583,54.66551,2024,6,"United Kingdom of Great Britain and Northern Ireland"
-5.672723,54.665479,2024,6,"United Kingdom of Great Britain and Northern Ireland"
-5.672723,54.665479,2024,6,"United Kingdom of Great Britain and Northern Ireland"
-5.672583,54.66551,2024,6,"United Kingdom of Great Britain and Northern Ireland"
-3.914585,47.869778,2024,7,"France"
-3.91472,47.870112,2024,7,"France"
12.0779,67.505705,2024,7,"Norway"
3.85,51.75,2024,7,"Netherlands"
2.96067,51.22962,2024,7,"Belgium"
18.002346,69.636786,2024,7,"Norway"
1.285756,51.948347,2024,8,"United Kingdom of Great Britain and Northern Ireland"
1.268792,51.995453,2024,8,"United Kingdom of Great Britain and Northern Ireland"
