"Longitude","Latitude","Year","Month","Country"
-4.126947,50.35603,2025,2,"United Kingdom of Great Britain and Northern Ireland"
-4.12591,50.35591,2025,2,"United Kingdom of Great Britain and Northern Ireland"
-5.8656,54.635372,2025,3,"United Kingdom of Great Britain and Northern Ireland"
-5.879478,54.681474,2025,3,"United Kingdom of Great Britain and Northern Ireland"
-4.124061,50.356817,2025,3,"United Kingdom of Great Britain and Northern Ireland"
-4.126611,50.356056,2025,3,"United Kingdom of Great Britain and Northern Ireland"
-5.570492,54.524995,2025,3,"United Kingdom of Great Britain and Northern Ireland"
-4.1275,50.356173,2024,2,"United Kingdom of Great Britain and Northern Ireland"
-1.581658,49.65641,2024,2,"France"
-1.969686,48.53653,2024,2,"France"
-2.157536,48.618713,2024,2,"France"
-2.031924,48.626661,2024,2,"France"
-1.913796,48.692765,2024,3,"France"
-5.895607,54.671801,2024,3,"United Kingdom of Great Britain and Northern Ireland"
-1.264338,49.578788,2024,3,"France"
-5.54095,50.111484,2024,3,"United Kingdom of Great Britain and Northern Ireland"
-5.895607,54.671801,2024,3,"United Kingdom of Great Britain and Northern Ireland"
-5.567958,54.52615,2024,4,"United Kingdom of Great Britain and Northern Ireland"
-5.879253,54.681026,2024,4,"United Kingdom of Great Britain and Northern Ireland"
-5.879795,54.68057,2024,4,"United Kingdom of Great Britain and Northern Ireland"
-5.818496,54.653015,2024,4,"United Kingdom of Great Britain and Northern Ireland"
-5.818167,54.653697,2024,4,"United Kingdom of Great Britain and Northern Ireland"
-5.567958,54.52615,2024,4,"United Kingdom of Great Britain and Northern Ireland"
-5.880505,54.68042,2024,4,"United Kingdom of Great Britain and Northern Ireland"
-5.880505,54.68042,2024,4,"United Kingdom of Great Britain and Northern Ireland"
-5.818496,54.653015,2024,4,"United Kingdom of Great Britain and Northern Ireland"
-5.879253,54.681026,2024,4,"United Kingdom of Great Britain and Northern Ireland"
-5.818167,54.653697,2024,4,"United Kingdom of Great Britain and Northern Ireland"
-5.879795,54.68057,2024,4,"United Kingdom of Great Britain and Northern Ireland"
