"Longitude","Latitude","Year","Month","Country"
11.192457,55.460163,2024,9,"Denmark"
5.71851,59.05966,2023,8,"Norway"
4.914171,60.423669,2023,8,"Norway"
-6.145058,53.98107,2022,8,"Ireland"
4.914171,60.423669,2022,8,"Norway"
9.808552,58.99358,2022,8,"Norway"
9.267662,58.74279,2022,8,"Norway"
5.71851,59.05966,2022,9,"Norway"
6.50283,58.22833,2022,9,"Norway"
5.878673,58.968962,2022,9,"Norway"
-2.157895,55.91576,2021,5,"United Kingdom of Great Britain and Northern Ireland"
-2.157895,55.91576,2021,5,"United Kingdom of Great Britain and Northern Ireland"
0.324752,50.791236,2021,5,"United Kingdom of Great Britain and Northern Ireland"
-5.120186,50.09648,2021,6,"United Kingdom of Great Britain and Northern Ireland"
-2.451991,50.54659,2021,6,"United Kingdom of Great Britain and Northern Ireland"
-3.081793,58.81487,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-3.081793,58.81487,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-4.889776,56.12642,2021,7,"United Kingdom of Great Britain and Northern Ireland"
1.276604,52.94035,2021,8,"United Kingdom of Great Britain and Northern Ireland"
-3.858967,50.2607,2021,8,"United Kingdom of Great Britain and Northern Ireland"
1.220272,52.94824,2021,8,"United Kingdom of Great Britain and Northern Ireland"
1.277675,52.94035,2021,9,"United Kingdom of Great Britain and Northern Ireland"
1.277675,52.94035,2021,9,"United Kingdom of Great Britain and Northern Ireland"
-2.050429,55.8377,2021,9,"United Kingdom of Great Britain and Northern Ireland"
5.878673,58.968962,2021,9,"Norway"
6.50283,58.22833,2021,9,"Norway"
4.914171,60.423669,2021,9,"Norway"
8.537156,58.273133,2021,9,"Norway"
1.207159,52.94792,2021,10,"United Kingdom of Great Britain and Northern Ireland"
1.206679,52.94838,2021,11,"United Kingdom of Great Britain and Northern Ireland"
1.207528,52.94828,2021,11,"United Kingdom of Great Britain and Northern Ireland"
-5.471516,57.24958,2021,12,"United Kingdom of Great Britain and Northern Ireland"
-2.418208,50.58595,2020,6,"United Kingdom of Great Britain and Northern Ireland"
4.914171,60.423669,2020,6,"Norway"
6.50283,58.22833,2020,6,"Norway"
-2.087655,50.59109,2020,7,"United Kingdom of Great Britain and Northern Ireland"
-2.076993,50.58593,2020,7,"United Kingdom of Great Britain and Northern Ireland"
-0.773667,50.7305,2020,8,"United Kingdom of Great Britain and Northern Ireland"
-0.774724,50.72867,2020,9,"United Kingdom of Great Britain and Northern Ireland"
1.315238,52.93159,2020,9,"United Kingdom of Great Britain and Northern Ireland"
1.217671,52.9467,2020,9,"United Kingdom of Great Britain and Northern Ireland"
1.256914,52.94421,2020,9,"United Kingdom of Great Britain and Northern Ireland"
1.215718,52.94687,2020,9,"United Kingdom of Great Britain and Northern Ireland"
1.298336,52.9352,2020,9,"United Kingdom of Great Britain and Northern Ireland"
10.5268,59.0267,2020,9,"Norway"
9.808552,58.99358,2020,9,"Norway"
9.753881,59.02325,2020,9,"Norway"
1.207207,52.94897,2020,10,"United Kingdom of Great Britain and Northern Ireland"
1.207207,52.94897,2020,10,"United Kingdom of Great Britain and Northern Ireland"
1.208476,52.94661,2020,10,"United Kingdom of Great Britain and Northern Ireland"
1.224652,52.94697,2020,11,"United Kingdom of Great Britain and Northern Ireland"
1.277846,52.94044,2020,11,"United Kingdom of Great Britain and Northern Ireland"
1.224652,52.94697,2020,11,"United Kingdom of Great Britain and Northern Ireland"
1.221227,52.94727,2020,11,"United Kingdom of Great Britain and Northern Ireland"
1.208898,52.94949,2020,11,"United Kingdom of Great Britain and Northern Ireland"
1.223027,52.94754,2020,11,"United Kingdom of Great Britain and Northern Ireland"
1.221227,52.94727,2020,11,"United Kingdom of Great Britain and Northern Ireland"
1.223027,52.94754,2020,11,"United Kingdom of Great Britain and Northern Ireland"
1.208898,52.94949,2020,11,"United Kingdom of Great Britain and Northern Ireland"
1.277846,52.94044,2020,11,"United Kingdom of Great Britain and Northern Ireland"
10.296316,59.043072,2019,6,"Norway"
4.914171,60.423669,2019,6,"Norway"
6.50283,58.22833,2019,6,"Norway"
1.276541,52.93913,2019,7,"United Kingdom of Great Britain and Northern Ireland"
-8.802683,37.880817,2019,7,"Portugal"
1.215711,52.94758,2019,8,"United Kingdom of Great Britain and Northern Ireland"
1.276515,52.93968,2019,8,"United Kingdom of Great Britain and Northern Ireland"
1.207995,52.94846,2019,8,"United Kingdom of Great Britain and Northern Ireland"
1.216293,52.94721,2019,8,"United Kingdom of Great Britain and Northern Ireland"
1.277275,52.939,2019,8,"United Kingdom of Great Britain and Northern Ireland"
-8.8147,37.626967,2019,8,"Portugal"
1.206723,52.94918,2019,9,"United Kingdom of Great Britain and Northern Ireland"
1.272249,52.94125,2019,9,"United Kingdom of Great Britain and Northern Ireland"
1.206723,52.94918,2019,9,"United Kingdom of Great Britain and Northern Ireland"
1.272249,52.94125,2019,9,"United Kingdom of Great Britain and Northern Ireland"
9.753881,59.02325,2019,9,"Norway"
-8.793533,37.543367,2019,9,"Portugal"
-8.798467,37.53605,2019,9,"Portugal"
-8.802967,37.479467,2019,9,"Portugal"
-8.799817,37.490017,2019,9,"Portugal"
-8.80285,37.680383,2019,9,"Portugal"
-8.801083,37.694933,2019,9,"Portugal"
-8.805317,37.902317,2019,9,"Portugal"
-8.805067,37.899883,2019,9,"Portugal"
1.275798,52.94034,2019,10,"United Kingdom of Great Britain and Northern Ireland"
1.213134,52.94747,2019,10,"United Kingdom of Great Britain and Northern Ireland"
10.5268,59.0267,2019,10,"Norway"
1.211444,52.94867,2019,11,"United Kingdom of Great Britain and Northern Ireland"
-25.5019,37.7069,2019,NA,"Portugal"
-25.373,37.7129,2019,NA,"Portugal"
-25.2953,37.7332,2019,NA,"Portugal"
-25.5019,37.7069,2019,NA,"Portugal"
-25.4445,37.7044,2019,NA,"Portugal"
-25.4485,37.8371,2019,NA,"Portugal"
-25.4336,37.8334,2019,NA,"Portugal"
-25.3104,37.7268,2019,NA,"Portugal"
-25.3999,37.8456,2019,NA,"Portugal"
-25.47,37.7086,2019,NA,"Portugal"
-25.3999,37.8456,2019,NA,"Portugal"
-25.4981,37.8428,2019,NA,"Portugal"
-25.5375,37.7195,2019,NA,"Portugal"
-25.4436,37.7001,2019,NA,"Portugal"
-25.4981,37.8428,2019,NA,"Portugal"
-25.3999,37.8456,2019,NA,"Portugal"
-25.2953,37.7332,2019,NA,"Portugal"
-25.4445,37.7044,2019,NA,"Portugal"
-25.47,37.7086,2019,NA,"Portugal"
-25.5375,37.7195,2019,NA,"Portugal"
-25.5144,37.7058,2019,NA,"Portugal"
-25.5144,37.7058,2019,NA,"Portugal"
-25.3104,37.7268,2019,NA,"Portugal"
-25.4336,37.8334,2019,NA,"Portugal"
-25.2953,37.7332,2019,NA,"Portugal"
-25.2953,37.7332,2019,NA,"Portugal"
-5.547066,50.10338,2018,2,"United Kingdom of Great Britain and Northern Ireland"
-5.547066,50.10338,2018,3,"United Kingdom of Great Britain and Northern Ireland"
-5.547066,50.10338,2018,4,"United Kingdom of Great Britain and Northern Ireland"
-5.547644,50.103632,2018,4,"United Kingdom of Great Britain and Northern Ireland"
-5.547066,50.10338,2018,5,"United Kingdom of Great Britain and Northern Ireland"
-5.547066,50.10338,2018,5,"United Kingdom of Great Britain and Northern Ireland"
-5.547066,50.10338,2018,5,"United Kingdom of Great Britain and Northern Ireland"
-5.547066,50.10338,2018,6,"United Kingdom of Great Britain and Northern Ireland"
-2.55511,49.42028,2018,6,"Guernsey"
8.537156,58.273133,2018,6,"Norway"
8.522821,58.25454,2018,6,"Norway"
-2.073062,48.95749,2018,7,"Jersey"
1.208099,52.94735,2018,7,"United Kingdom of Great Britain and Northern Ireland"
-1.912654,49.2739,2018,7,"Jersey"
1.278297,52.9403,2018,7,"United Kingdom of Great Britain and Northern Ireland"
-2.799371,50.70642,2018,7,"United Kingdom of Great Britain and Northern Ireland"
-2.148518,49.17439,2018,7,"Jersey"
4,51.51,2018,7,"Netherlands"
-2.188236,50.61554,2018,8,"United Kingdom of Great Britain and Northern Ireland"
9.753881,59.02325,2018,8,"Norway"
10.87016,59.04749,2018,8,"Norway"
10.5268,59.0267,2018,8,"Norway"
-9.95685,54.27141,2018,9,"Ireland"
1.276376,52.94099,2018,9,"United Kingdom of Great Britain and Northern Ireland"
1.276376,52.94099,2018,9,"United Kingdom of Great Britain and Northern Ireland"
1.210722,52.94878,2018,11,"United Kingdom of Great Britain and Northern Ireland"
-28.625752,38.517182,2018,NA,"Portugal"
-28.638241,38.521169,2018,NA,"Portugal"
-28.625924,38.516906,2018,NA,"Portugal"
-28.625954,38.516696,2018,NA,"Portugal"
-28.619061,38.519339,2018,NA,"Portugal"
-28.619061,38.519339,2018,NA,"Portugal"
-25.07045,36.928067,2018,NA,"Portugal"
-28.631,38.52125,2018,NA,"Portugal"
-28.638241,38.521169,2018,NA,"Portugal"
-28.61945,38.5189,2018,NA,"Portugal"
-28.638706,38.520994,2018,NA,"Portugal"
-28.625954,38.516696,2018,NA,"Portugal"
-28.6205,38.527283,2018,NA,"Portugal"
-28.619189,38.519211,2018,NA,"Portugal"
-28.620167,38.518567,2018,NA,"Portugal"
-28.63885,38.52085,2018,NA,"Portugal"
-28.63885,38.52085,2018,NA,"Portugal"
-28.619151,38.519249,2018,NA,"Portugal"
-28.620859,38.527851,2018,NA,"Portugal"
-28.638706,38.520994,2018,NA,"Portugal"
-28.6205,38.527283,2018,NA,"Portugal"
-28.61945,38.5189,2018,NA,"Portugal"
-28.620859,38.527851,2018,NA,"Portugal"
-28.6309,38.521267,2018,NA,"Portugal"
-31.238744,39.520461,2018,NA,"Portugal"
-28.626077,38.516753,2018,NA,"Portugal"
-28.620988,38.527722,2018,NA,"Portugal"
-28.625752,38.517182,2018,NA,"Portugal"
-28.619151,38.519249,2018,NA,"Portugal"
-28.620167,38.518567,2018,NA,"Portugal"
-28.631118,38.521012,2018,NA,"Portugal"
-28.626077,38.516753,2018,NA,"Portugal"
-28.625924,38.516906,2018,NA,"Portugal"
-28.631118,38.521012,2018,NA,"Portugal"
-28.620988,38.527722,2018,NA,"Portugal"
-28.631,38.52125,2018,NA,"Portugal"
-31.112482,39.668229,2018,NA,"Portugal"
-28.6309,38.521267,2018,NA,"Portugal"
-28.619189,38.519211,2018,NA,"Portugal"
-28.638592,38.520708,2018,NA,"Portugal"
-28.638592,38.520708,2018,NA,"Portugal"
-5.709654,56.86623,2017,4,"United Kingdom of Great Britain and Northern Ireland"
-7.357969,56.981,2017,5,"United Kingdom of Great Britain and Northern Ireland"
-7.269176,57.04385,2017,5,"United Kingdom of Great Britain and Northern Ireland"
-4.77889,54.09482,2017,6,"Isle of Man"
6.50283,58.22833,2017,6,"Norway"
4.914171,60.423669,2017,6,"Norway"
-1.933584,50.62896,2017,7,"United Kingdom of Great Britain and Northern Ireland"
-1.933584,50.62896,2017,7,"United Kingdom of Great Britain and Northern Ireland"
-4.127198,50.31902,2017,7,"United Kingdom of Great Britain and Northern Ireland"
-5.649322,57.36253,2017,8,"United Kingdom of Great Britain and Northern Ireland"
-5.551766,57.35804,2017,8,"United Kingdom of Great Britain and Northern Ireland"
1.206348,52.94833,2017,9,"United Kingdom of Great Britain and Northern Ireland"
9.260193,58.718084,2017,10,"Norway"
-4.7944,50.21227,2017,11,"United Kingdom of Great Britain and Northern Ireland"
6.77775,58.069881,2017,NA,"Norway"
-7.356434,56.98573,2016,4,"United Kingdom of Great Britain and Northern Ireland"
-7.364579,56.98779,2016,4,"United Kingdom of Great Britain and Northern Ireland"
-7.388332,56.95863,2016,4,"United Kingdom of Great Britain and Northern Ireland"
-7.358274,56.98878,2016,4,"United Kingdom of Great Britain and Northern Ireland"
-7.359872,56.98602,2016,4,"United Kingdom of Great Britain and Northern Ireland"
-7.316977,57.00154,2016,4,"United Kingdom of Great Britain and Northern Ireland"
-7.385035,56.95872,2016,4,"United Kingdom of Great Britain and Northern Ireland"
-7.206763,57.10813,2016,4,"United Kingdom of Great Britain and Northern Ireland"
-7.307083,57.01952,2016,4,"United Kingdom of Great Britain and Northern Ireland"
-7.324699,56.9999,2016,4,"United Kingdom of Great Britain and Northern Ireland"
5.878673,58.968962,2016,6,"Norway"
5.71851,59.05966,2016,6,"Norway"
5.426855,59.255626,2016,6,"Norway"
6.094391,59.251089,2016,6,"Norway"
6.405344,59.322629,2016,6,"Norway"
8.944219,58.5132,2016,6,"Norway"
8.537156,58.273133,2016,6,"Norway"
10.703994,59.254302,2016,6,"Norway"
9.267662,58.74279,2016,6,"Norway"
8.581778,58.316602,2016,6,"Norway"
8.522821,58.25454,2016,6,"Norway"
8.06625,58.1323,2016,6,"Norway"
7.603002,58.010866,2016,6,"Norway"
6.50283,58.22833,2016,6,"Norway"
4.914171,60.423669,2016,6,"Norway"
1.218386,52.94691,2016,7,"United Kingdom of Great Britain and Northern Ireland"
-0.289855,50.82262,2016,7,"United Kingdom of Great Britain and Northern Ireland"
-6.166131,56.43686,2016,9,"United Kingdom of Great Britain and Northern Ireland"
-6.166131,56.43686,2016,9,"United Kingdom of Great Britain and Northern Ireland"
-6.166131,56.43686,2016,9,"United Kingdom of Great Britain and Northern Ireland"
-6.243192,56.46135,2016,9,"United Kingdom of Great Britain and Northern Ireland"
5.878673,58.968962,2016,9,"Norway"
5.71851,59.05966,2016,9,"Norway"
6.34303,61.1207,2016,9,"Norway"
5.689676,61.141224,2016,9,"Norway"
5.286622,61.109189,2016,9,"Norway"
5.02891,61.023149,2016,9,"Norway"
4.88605,60.998039,2016,9,"Norway"
4.721201,60.990909,2016,9,"Norway"
-25.4855,37.8429,2016,NA,"Portugal"
-25.09881,37.03565,2016,NA,"Portugal"
-25.04341,36.98472,2016,NA,"Portugal"
-5.241652,57.91819,2015,6,"United Kingdom of Great Britain and Northern Ireland"
-6.352423,49.88222,2015,6,"United Kingdom of Great Britain and Northern Ireland"
-3.91391,57.72866,2015,6,"United Kingdom of Great Britain and Northern Ireland"
8.944219,58.5132,2015,6,"Norway"
8.537156,58.273133,2015,6,"Norway"
8.581778,58.316602,2015,6,"Norway"
8.06625,58.1323,2015,6,"Norway"
7.603002,58.010866,2015,6,"Norway"
5.878673,58.968962,2015,6,"Norway"
5.71851,59.05966,2015,6,"Norway"
-5.997538,57.18213,2015,7,"United Kingdom of Great Britain and Northern Ireland"
-2.260766,55.92569,2015,7,"United Kingdom of Great Britain and Northern Ireland"
-7.17639,57.62709,2015,7,"United Kingdom of Great Britain and Northern Ireland"
-7.175624,57.62807,2015,7,"United Kingdom of Great Britain and Northern Ireland"
-7.372523,57.01653,2015,9,"United Kingdom of Great Britain and Northern Ireland"
-7.294194,57.10109,2015,9,"United Kingdom of Great Britain and Northern Ireland"
-7.361747,57.09172,2015,9,"United Kingdom of Great Britain and Northern Ireland"
-7.383955,57.01572,2015,9,"United Kingdom of Great Britain and Northern Ireland"
-7.383955,57.01572,2015,9,"United Kingdom of Great Britain and Northern Ireland"
-7.383955,57.01572,2015,9,"United Kingdom of Great Britain and Northern Ireland"
-7.383955,57.01572,2015,9,"United Kingdom of Great Britain and Northern Ireland"
-5.930533,56.67779,2015,9,"United Kingdom of Great Britain and Northern Ireland"
1.220473,52.94635,2015,9,"United Kingdom of Great Britain and Northern Ireland"
-7.361747,57.09172,2015,9,"United Kingdom of Great Britain and Northern Ireland"
-7.286048,57.0987,2015,9,"United Kingdom of Great Britain and Northern Ireland"
-5.801077,56.69317,2015,10,"United Kingdom of Great Britain and Northern Ireland"
1.223675,52.94616,2015,10,"United Kingdom of Great Britain and Northern Ireland"
1.255363,52.9427,2015,10,"United Kingdom of Great Britain and Northern Ireland"
1.223675,52.94616,2015,10,"United Kingdom of Great Britain and Northern Ireland"
-3.247599,58.93156,2015,10,"United Kingdom of Great Britain and Northern Ireland"
1.220031,52.94601,2015,10,"United Kingdom of Great Britain and Northern Ireland"
1.219815,52.94681,2015,11,"United Kingdom of Great Britain and Northern Ireland"
-5.502203,57.25134,2015,11,"United Kingdom of Great Britain and Northern Ireland"
1.219815,52.94681,2015,11,"United Kingdom of Great Britain and Northern Ireland"
-10.05519,51.76925,2015,11,"Ireland"
1.211008,52.94772,2015,11,"United Kingdom of Great Britain and Northern Ireland"
1.276603,52.93858,2015,11,"United Kingdom of Great Britain and Northern Ireland"
1.211008,52.94772,2015,11,"United Kingdom of Great Britain and Northern Ireland"
-28.657067,38.519783,2015,NA,"Portugal"
-28.657383,38.521383,2015,NA,"Portugal"
-1.929922,49.27428,2014,6,"Jersey"
-4.282137,51.025008,2014,6,"United Kingdom of Great Britain and Northern Ireland"
5.71851,59.05966,2014,6,"Norway"
5.878673,58.968962,2014,6,"Norway"
8.581778,58.316602,2014,6,"Norway"
8.035953,58.144695,2014,6,"Norway"
8.522821,58.25454,2014,6,"Norway"
7.603002,58.010866,2014,6,"Norway"
8.944219,58.5132,2014,6,"Norway"
-5.726539,56.84701,2014,8,"United Kingdom of Great Britain and Northern Ireland"
-5.087438,55.54604,2014,9,"United Kingdom of Great Britain and Northern Ireland"
-5.060974,55.5108,2014,9,"United Kingdom of Great Britain and Northern Ireland"
-5.076446,55.53871,2014,9,"United Kingdom of Great Britain and Northern Ireland"
-5.087192,55.49761,2014,9,"United Kingdom of Great Britain and Northern Ireland"
-5.071182,55.53567,2014,9,"United Kingdom of Great Britain and Northern Ireland"
-5.123809,55.43637,2014,9,"United Kingdom of Great Britain and Northern Ireland"
-5.076446,55.53871,2014,9,"United Kingdom of Great Britain and Northern Ireland"
-5.599414,56.03285,2013,4,"United Kingdom of Great Britain and Northern Ireland"
8.522821,58.25454,2013,6,"Norway"
8.581778,58.316602,2013,6,"Norway"
8.035953,58.144695,2013,6,"Norway"
8.06625,58.1323,2013,6,"Norway"
10.703994,59.254302,2013,6,"Norway"
-9.338757,51.46386,2013,7,"Ireland"
-0.71,37.91,2013,7,"Spain"
-0.2,39.09,2013,7,"Spain"
-0.21,39.11,2013,7,"Spain"
-0.21,39.12,2013,7,"Spain"
-0.21,39.13,2013,7,"Spain"
-0.21,39.14,2013,7,"Spain"
-0.18,39.13,2013,7,"Spain"
-0.17,39.17,2013,7,"Spain"
-0.17,39.18,2013,7,"Spain"
-9.918688,51.62126,2013,8,"Ireland"
0.17,38.83,2013,8,"Spain"
0.09,38.89,2013,8,"Spain"
-2.452025,50.57234,2013,11,"United Kingdom of Great Britain and Northern Ireland"
-6.270817,55.29094,2012,5,"United Kingdom of Great Britain and Northern Ireland"
-6.173798,55.27868,2012,5,"United Kingdom of Great Britain and Northern Ireland"
-1.935394,50.62871,2012,5,"United Kingdom of Great Britain and Northern Ireland"
-6.181189,55.25893,2012,5,"United Kingdom of Great Britain and Northern Ireland"
-6.210454,55.21729,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-10.25313,53.55073,2012,8,"Ireland"
-5.761455,54.8605,2012,9,"United Kingdom of Great Britain and Northern Ireland"
-5.094288,50.45661,2011,5,"United Kingdom of Great Britain and Northern Ireland"
-6.241576,49.9444,2011,5,"United Kingdom of Great Britain and Northern Ireland"
-6.28625,49.97773,2011,5,"United Kingdom of Great Britain and Northern Ireland"
-6.241576,49.9444,2011,5,"United Kingdom of Great Britain and Northern Ireland"
-2.984735,50.69511,2011,7,"United Kingdom of Great Britain and Northern Ireland"
-4.24287,47.75254,2011,7,"France"
-2.982407,50.70095,2011,7,"United Kingdom of Great Britain and Northern Ireland"
9.960278,64.041876,2011,7,"Norway"
-5.6688,54.66426,2011,8,"United Kingdom of Great Britain and Northern Ireland"
-6.969157,57.74005,2011,8,"United Kingdom of Great Britain and Northern Ireland"
-1.06684,50.69422,2011,10,"United Kingdom of Great Britain and Northern Ireland"
3.61272,43.39791,2011,NA,"France"
-4.777377,51.6356,2010,8,"United Kingdom of Great Britain and Northern Ireland"
-5.384157,57.90044,2010,8,"United Kingdom of Great Britain and Northern Ireland"
1.230851,51.09823,2010,8,"United Kingdom of Great Britain and Northern Ireland"
-4.05838,51.21331,2010,9,"United Kingdom of Great Britain and Northern Ireland"
-4.05838,51.21331,2010,9,"United Kingdom of Great Britain and Northern Ireland"
-4.045284,51.21185,2010,9,"United Kingdom of Great Britain and Northern Ireland"
-4.247833,51.14611,2010,9,"United Kingdom of Great Britain and Northern Ireland"
1.348162,51.132007,2009,2,"United Kingdom of Great Britain and Northern Ireland"
1.354213,51.133039,2009,2,"United Kingdom of Great Britain and Northern Ireland"
1.354219,51.133129,2009,2,"United Kingdom of Great Britain and Northern Ireland"
1.354206,51.132949,2009,2,"United Kingdom of Great Britain and Northern Ireland"
-4.659496,51.18763,2009,6,"United Kingdom of Great Britain and Northern Ireland"
0.31,40.27,2009,6,"Spain"
-4.659781,51.18638,2009,6,"United Kingdom of Great Britain and Northern Ireland"
-4.415641,52.86769,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-4.415641,52.86769,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-5.314445,51.88775,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-4.415641,52.86769,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-4.415641,52.86769,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-4.415641,52.86769,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-4.415641,52.86769,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-4.415641,52.86769,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-4.415641,52.86769,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-5.314445,51.88775,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-4.415641,52.86769,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-4.415641,52.86769,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-5.123998,51.96358,2009,8,"United Kingdom of Great Britain and Northern Ireland"
-5.133755,51.96296,2009,8,"United Kingdom of Great Britain and Northern Ireland"
-5.12219,58.40662,2009,8,"United Kingdom of Great Britain and Northern Ireland"
-5.122087,51.96793,2009,8,"United Kingdom of Great Britain and Northern Ireland"
-5.070458,58.39072,2009,8,"United Kingdom of Great Britain and Northern Ireland"
1.285413,51.10696,2009,9,"United Kingdom of Great Britain and Northern Ireland"
-5.232076,51.73756,2008,7,"United Kingdom of Great Britain and Northern Ireland"
-5.159512,51.77234,2008,7,"United Kingdom of Great Britain and Northern Ireland"
-4.084533,50.30659,2008,7,"United Kingdom of Great Britain and Northern Ireland"
-5.282974,51.74133,2008,7,"United Kingdom of Great Britain and Northern Ireland"
-4.084533,50.30659,2008,7,"United Kingdom of Great Britain and Northern Ireland"
-5.276422,51.73969,2008,7,"United Kingdom of Great Britain and Northern Ireland"
1.409887,51.325546,2007,3,"United Kingdom of Great Britain and Northern Ireland"
3.705,51.641,2007,4,"Netherlands"
-6.424395,56.499345,2007,8,"United Kingdom of Great Britain and Northern Ireland"
-6.424395,56.499345,2007,8,"United Kingdom of Great Britain and Northern Ireland"
-6.424395,56.499345,2007,8,"United Kingdom of Great Britain and Northern Ireland"
-6.424395,56.499345,2007,8,"United Kingdom of Great Britain and Northern Ireland"
-6.424395,56.499345,2007,8,"United Kingdom of Great Britain and Northern Ireland"
-6.424395,56.499345,2007,8,"United Kingdom of Great Britain and Northern Ireland"
-28.549904,38.535844,2007,NA,"Portugal"
-28.511449,38.448621,2007,NA,"Portugal"
-28.549904,38.535844,2007,NA,"Portugal"
-28.44759,38.556193,2007,NA,"Portugal"
-28.312802,38.52502,2007,NA,"Portugal"
-28.312802,38.52502,2007,NA,"Portugal"
-28.284707,38.412468,2007,NA,"Portugal"
-28.288709,38.509128,2007,NA,"Portugal"
-28.284707,38.412468,2007,NA,"Portugal"
-28.549904,38.535844,2007,NA,"Portugal"
-28.44759,38.556193,2007,NA,"Portugal"
-28.511449,38.448621,2007,NA,"Portugal"
-28.549904,38.535844,2007,NA,"Portugal"
-28.288709,38.509128,2007,NA,"Portugal"
-7.253201,57.19478,2006,7,"United Kingdom of Great Britain and Northern Ireland"
-7.263669,57.21527,2006,7,"United Kingdom of Great Britain and Northern Ireland"
-5.979747,56.670429,2006,7,"United Kingdom of Great Britain and Northern Ireland"
-7.253201,57.19478,2006,7,"United Kingdom of Great Britain and Northern Ireland"
-5.979747,56.670429,2006,7,"United Kingdom of Great Britain and Northern Ireland"
11.04855,58.83398,2006,7,"Sweden"
-5.674784,56.191051,2005,8,"United Kingdom of Great Britain and Northern Ireland"
-5.296573,51.730261,2005,8,"United Kingdom of Great Britain and Northern Ireland"
1.310552,51.118273,2005,11,"United Kingdom of Great Britain and Northern Ireland"
-7.096675,57.60569,2004,7,"United Kingdom of Great Britain and Northern Ireland"
-7.117892,57.61278,2004,7,"United Kingdom of Great Britain and Northern Ireland"
-7.096675,57.60569,2004,7,"United Kingdom of Great Britain and Northern Ireland"
-7.096569,57.5937,2004,8,"United Kingdom of Great Britain and Northern Ireland"
-7.096569,57.5937,2004,8,"United Kingdom of Great Britain and Northern Ireland"
-7.145466,57.62218,2004,8,"United Kingdom of Great Britain and Northern Ireland"
-4.253419,51.649703,2004,9,"United Kingdom of Great Britain and Northern Ireland"
-6.506769,56.68784,2003,6,"United Kingdom of Great Britain and Northern Ireland"
-4.112662,50.305083,2003,8,"United Kingdom of Great Britain and Northern Ireland"
-4.133796,50.337976,2003,8,"United Kingdom of Great Britain and Northern Ireland"
-5.599572,54.44595,2003,8,"United Kingdom of Great Britain and Northern Ireland"
-4.133796,50.337976,2003,8,"United Kingdom of Great Britain and Northern Ireland"
-5.80759,56.83783,2003,8,"United Kingdom of Great Britain and Northern Ireland"
-4.133796,50.337976,2003,8,"United Kingdom of Great Britain and Northern Ireland"
-4.133796,50.337976,2003,8,"United Kingdom of Great Britain and Northern Ireland"
-4.384992,54.326961,2003,NA,"Isle of Man"
-4.674729,54.051168,2003,NA,"Isle of Man"
-4.686334,54.23072,2003,NA,"Isle of Man"
-4.680516,54.140945,2003,NA,"Isle of Man"
-4.379807,54.237167,2003,NA,"Isle of Man"
-4.827286,54.047676,2003,NA,"Isle of Man"
-4.374652,54.147371,2003,NA,"Isle of Man"
-4.725342,52.11578,2002,7,"United Kingdom of Great Britain and Northern Ireland"
-0.48,38.17,2002,7,"Spain"
-1.594224,55.626355,2002,8,"United Kingdom of Great Britain and Northern Ireland"
-5.265224,51.737433,2001,7,"United Kingdom of Great Britain and Northern Ireland"
-5.337911,51.879167,2001,7,"United Kingdom of Great Britain and Northern Ireland"
-5.030547,50.162421,2001,10,"United Kingdom of Great Britain and Northern Ireland"
-9.522678,51.472461,2000,1,"Ireland"
-9.498485,51.480862,2000,1,"Ireland"
-9.491002,51.427925,2000,1,"Ireland"
-9.468874,51.500113,2000,1,"Ireland"
-9.466742,51.478567,2000,1,"Ireland"
-9.459462,51.475961,2000,1,"Ireland"
-9.456634,51.522737,2000,1,"Ireland"
-9.453193,51.45986,2000,1,"Ireland"
-9.442898,51.452796,2000,1,"Ireland"
-9.439431,51.479804,2000,1,"Ireland"
-9.410098,51.462184,2000,1,"Ireland"
-10.076099,53.458373,2000,1,"Ireland"
-10.059494,54.138905,2000,1,"Ireland"
-7.401896,57.008113,2000,5,"United Kingdom of Great Britain and Northern Ireland"
-7.40206,57.008106,2000,5,"United Kingdom of Great Britain and Northern Ireland"
