"Longitude","Latitude","Year","Month","Country"
3.65,51.6,2025,1,"Netherlands"
4,51.5,2025,1,"Netherlands"
4.55,52.45,2025,1,"Netherlands"
3.65,51.6,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
4,51.55,2025,2,"Netherlands"
3.65,51.6,2025,2,"Netherlands"
3.7,51.6,2025,2,"Netherlands"
4.6,52.6,2025,2,"Netherlands"
3.9,51.5,2025,2,"Netherlands"
5.05,53.3,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
4.05,51.5,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
4,51.5,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.5,51.55,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
4,51.5,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.95,51.5,2024,1,"Netherlands"
3.65,51.6,2024,1,"Netherlands"
3.8,51.65,2024,1,"Netherlands"
5.5,53.2,2024,2,"Netherlands"
3.95,51.5,2024,2,"Netherlands"
4.05,51.5,2024,2,"Netherlands"
4,51.5,2024,2,"Netherlands"
4,51.5,2024,2,"Netherlands"
4,51.5,2024,2,"Netherlands"
3.75,51.65,2024,2,"Netherlands"
4.05,51.6,2024,3,"Netherlands"
4.05,51.6,2024,3,"Netherlands"
4.75,53,2024,3,"Netherlands"
3.9,51.5,2024,4,"Netherlands"
3.85,51.55,2024,4,"Netherlands"
4.15,51.5,2024,4,"Netherlands"
4,51.55,2024,5,"Netherlands"
4,51.55,2024,5,"Netherlands"
4.05,51.6,2024,5,"Netherlands"
4,51.6,2024,5,"Netherlands"
4.05,51.6,2024,5,"Netherlands"
4,51.6,2024,5,"Netherlands"
4.85,53.15,2024,5,"Netherlands"
5.681523,59.850346,2024,8,"Norway"
4.2,52.05,2024,10,"Netherlands"
4.2,52.05,2024,10,"Netherlands"
3.95,51.5,2024,11,"Netherlands"
3.7,51.4,2024,11,"Netherlands"
3.95,51.6,2024,11,"Netherlands"
4.1,51.65,2024,11,"Netherlands"
3.65,51.55,2024,11,"Netherlands"
3.95,51.5,2024,11,"Netherlands"
3.95,51.5,2024,11,"Netherlands"
3.95,51.5,2024,11,"Netherlands"
3.7,51.4,2024,11,"Netherlands"
3.6,51.4,2024,11,"Netherlands"
4.4,52.2,2024,11,"Netherlands"
3.7,51.4,2024,12,"Netherlands"
3.55,51.55,2024,12,"Netherlands"
3.7,51.4,2024,12,"Netherlands"
3.6,51.4,2024,12,"Netherlands"
5.4,53.1,2024,12,"Netherlands"
3.9,51.5,2024,12,"Netherlands"
3.7,51.4,2024,12,"Netherlands"
3.7,51.4,2024,12,"Netherlands"
3.7,51.4,2024,12,"Netherlands"
3.7,51.4,2024,12,"Netherlands"
3.7,51.4,2024,12,"Netherlands"
3.7,51.4,2024,12,"Netherlands"
3.7,51.4,2024,12,"Netherlands"
3.7,51.4,2024,12,"Netherlands"
3.9,51.5,2023,1,"Netherlands"
3.9,51.5,2023,1,"Netherlands"
3.9,51.5,2023,1,"Netherlands"
3.95,51.5,2023,1,"Netherlands"
3.9,51.5,2023,1,"Netherlands"
3.85,51.55,2023,1,"Netherlands"
4.6,52.6,2023,2,"Netherlands"
3.9,51.5,2023,2,"Netherlands"
3.55,51.4,2023,2,"Netherlands"
4,51.5,2023,2,"Netherlands"
4.616,52.609,2023,2,"Netherlands"
3.9,51.6,2023,3,"Netherlands"
3.95,51.5,2023,3,"Netherlands"
5.31,53.37,2023,3,"Netherlands"
4.05,51.5,2023,4,"Netherlands"
3.85,51.6,2023,4,"Netherlands"
4.15,51.5,2023,4,"Netherlands"
4.05,51.6,2023,4,"Netherlands"
4.65,52.8,2023,4,"Netherlands"
3.69,51.63,2023,4,"Netherlands"
4,51.55,2023,5,"Netherlands"
4.05,51.6,2023,5,"Netherlands"
4.05,51.6,2023,5,"Netherlands"
4,51.5,2023,5,"Netherlands"
3.9,51.5,2023,5,"Netherlands"
3.9,51.5,2023,6,"Netherlands"
-6.239275,55.206659,2023,6,"United Kingdom of Great Britain and Northern Ireland"
12.09097,57.24968,2023,6,"Sweden"
10.284867,56.59996,2023,7,"Denmark"
3.95,51.7,2023,7,"Netherlands"
3.95,51.6,2023,7,"Netherlands"
3.95,51.6,2023,7,"Netherlands"
3.85,51.75,2023,7,"Netherlands"
3.95,51.7,2023,7,"Netherlands"
3.85,51.75,2023,7,"Netherlands"
3.976,51.731,2023,7,"Netherlands"
3.709,51.642,2023,7,"Netherlands"
11.37204,58.299,2023,7,"Sweden"
-6.255874,54.100322,2023,8,"United Kingdom of Great Britain and Northern Ireland"
4.85,53.05,2023,8,"Netherlands"
4,51.5,2023,8,"Netherlands"
-6.190804,54.051718,2023,8,"Ireland"
4.914171,60.423669,2023,8,"Norway"
5.71851,59.05966,2023,8,"Norway"
5.806831,59.284049,2023,9,"Norway"
4.05,51.6,2023,11,"Netherlands"
4.05,51.6,2023,11,"Netherlands"
3.95,51.5,2023,12,"Netherlands"
3.95,51.5,2023,12,"Netherlands"
3.95,51.5,2023,12,"Netherlands"
3.95,51.5,2023,12,"Netherlands"
3.95,51.5,2023,12,"Netherlands"
5.45,53.2,2022,1,"Netherlands"
3.85,51.75,2022,1,"Netherlands"
4.71,52.93,2022,1,"Netherlands"
4.81,53.154,2022,1,"Netherlands"
3.66,51.59,2022,1,"Netherlands"
3.66,51.59,2022,1,"Netherlands"
3.95,51.9,2022,2,"Netherlands"
4.1,51.65,2022,2,"Netherlands"
4.9,53.1,2022,2,"Netherlands"
4.85,53.1,2022,2,"Netherlands"
4.85,53.1,2022,2,"Netherlands"
3.7,51.4,2022,3,"Netherlands"
3.9,51.6,2022,3,"Netherlands"
4.1,51.65,2022,3,"Netherlands"
4.63,52.71,2022,3,"Netherlands"
10.473638,59.044591,2022,5,"Norway"
3.7,51.65,2022,6,"Netherlands"
4,51.75,2022,6,"Netherlands"
5.983885,58.932367,2022,7,"Norway"
5.006639,60.822233,2022,8,"Norway"
4.914171,60.423669,2022,8,"Norway"
7.603002,58.010866,2022,8,"Norway"
8.522821,58.25454,2022,8,"Norway"
8.581778,58.316602,2022,8,"Norway"
10.703994,59.254302,2022,8,"Norway"
10.5268,59.0267,2022,8,"Norway"
10.87016,59.04749,2022,8,"Norway"
8.944219,58.5132,2022,8,"Norway"
11.115303,59.038457,2022,8,"Norway"
9.808552,58.99358,2022,8,"Norway"
8.06625,58.1323,2022,8,"Norway"
10.296316,59.043072,2022,8,"Norway"
10.58157,59.43692,2022,8,"Norway"
4.2,52.05,2022,9,"Netherlands"
5.95,59.20945,2022,9,"Norway"
6.50283,58.22833,2022,9,"Norway"
5.878673,58.968962,2022,9,"Norway"
5.71851,59.05966,2022,9,"Norway"
8.537156,58.273133,2022,9,"Norway"
5.598445,58.930679,2022,9,"Norway"
4.55,52.45,2022,10,"Netherlands"
4,51.6,2022,10,"Netherlands"
4.55,52.45,2022,12,"Netherlands"
3.85,51.55,2022,12,"Netherlands"
3.85,51.55,2022,12,"Netherlands"
3.85,51.55,2022,12,"Netherlands"
3.85,51.55,2022,12,"Netherlands"
4.709,53.025,2022,12,"Netherlands"
4.85,53.15,2021,1,"Netherlands"
4.8,53.15,2021,1,"Netherlands"
4.85,53.15,2021,1,"Netherlands"
4.85,53.15,2021,1,"Netherlands"
4.85,53.15,2021,1,"Netherlands"
4.65,52.8,2021,1,"Netherlands"
3.7,51.4,2021,1,"Netherlands"
3.6,51.55,2021,1,"Netherlands"
4.1,51.65,2021,1,"Netherlands"
3.691,51.633,2021,1,"Netherlands"
3.69,51.63,2021,1,"Netherlands"
4.85,53.15,2021,2,"Netherlands"
-1.07859,49.39152,2021,2,"France"
3.691,51.633,2021,2,"Netherlands"
4,51.95,2021,3,"Netherlands"
3.65,51.6,2021,3,"Netherlands"
4.6,52.65,2021,3,"Netherlands"
3.691,51.633,2021,3,"Netherlands"
4.977646,60.807186,2021,3,"Norway"
5.007299,60.639382,2021,3,"Norway"
4.985812,60.657783,2021,3,"Norway"
3.7,51.4,2021,4,"Netherlands"
5.250249,59.419894,2021,4,"Norway"
4.05,51.45,2021,5,"Netherlands"
3.7,51.4,2021,5,"Netherlands"
4,51.6,2021,7,"Netherlands"
-5.05439,51.61164,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-5.979397,56.66787,2021,7,"United Kingdom of Great Britain and Northern Ireland"
-4.917654,55.9416,2021,7,"United Kingdom of Great Britain and Northern Ireland"
5.42293,59.180099,2021,7,"Norway"
3.691,51.633,2021,7,"Netherlands"
4.7,53.1,2021,7,"Netherlands"
11.49319,58.27087,2021,7,"Sweden"
11.46619,58.25933,2021,7,"Sweden"
11.44154,58.25283,2021,7,"Sweden"
-3.858967,50.2607,2021,8,"United Kingdom of Great Britain and Northern Ireland"
11.08492,58.95245,2021,8,"Sweden"
11.42528,58.18615,2021,8,"Sweden"
11.42068,58.19169,2021,8,"Sweden"
11.4343,58.19109,2021,8,"Sweden"
11.25358,58.34452,2021,8,"Sweden"
11.23589,58.33081,2021,8,"Sweden"
11.24351,58.34547,2021,8,"Sweden"
11.23129,58.38491,2021,8,"Sweden"
11.23012,58.3868,2021,8,"Sweden"
11.24119,58.37773,2021,8,"Sweden"
-5.027431,50.18494,2021,9,"United Kingdom of Great Britain and Northern Ireland"
-1.355437,50.74154,2021,9,"United Kingdom of Great Britain and Northern Ireland"
-4.824127,50.59434,2021,9,"United Kingdom of Great Britain and Northern Ireland"
5.806831,59.284049,2021,9,"Norway"
5.86175,59.28055,2021,9,"Norway"
4.914171,60.423669,2021,9,"Norway"
6.50283,58.22833,2021,9,"Norway"
5.878673,58.968962,2021,9,"Norway"
10.703994,59.254302,2021,9,"Norway"
11.115303,59.038457,2021,9,"Norway"
10.87016,59.04749,2021,9,"Norway"
9.267662,58.74279,2021,9,"Norway"
10.296316,59.043072,2021,9,"Norway"
11.07058,58.82282,2021,9,"Sweden"
11.03961,58.8341,2021,9,"Sweden"
11.88768,57.5601,2021,9,"Sweden"
4.57,52.48,2021,10,"Netherlands"
5,53.3,2021,11,"Netherlands"
3.9,51.5,2021,12,"Netherlands"
4.6,52.65,2021,12,"Netherlands"
3.65,51.7,2021,12,"Netherlands"
4.1,51.65,2021,12,"Netherlands"
3.7,51.4,2020,1,"Netherlands"
3.7,51.4,2020,1,"Netherlands"
-2.446446,50.56926,2020,1,"United Kingdom of Great Britain and Northern Ireland"
-2.446446,50.56926,2020,1,"United Kingdom of Great Britain and Northern Ireland"
4.75,52.95,2020,2,"Netherlands"
-4.248254,53.175546,2020,4,"United Kingdom of Great Britain and Northern Ireland"
-2.441694,50.5701,2020,5,"United Kingdom of Great Britain and Northern Ireland"
-2.418208,50.58595,2020,6,"United Kingdom of Great Britain and Northern Ireland"
4.914171,60.423669,2020,6,"Norway"
10.296316,59.043072,2020,6,"Norway"
6.50283,58.22833,2020,6,"Norway"
-5.638792,54.49573,2020,7,"United Kingdom of Great Britain and Northern Ireland"
-1.462423,50.71309,2020,7,"United Kingdom of Great Britain and Northern Ireland"
11.23061,58.51472,2020,7,"Sweden"
11.25622,58.49773,2020,7,"Sweden"
-5.308479,55.44918,2020,8,"United Kingdom of Great Britain and Northern Ireland"
-5.308479,55.44918,2020,8,"United Kingdom of Great Britain and Northern Ireland"
-4.957391,55.71183,2020,8,"United Kingdom of Great Britain and Northern Ireland"
-5.644797,54.4889,2020,8,"United Kingdom of Great Britain and Northern Ireland"
11.16612,58.5441,2020,8,"Sweden"
11.19989,58.60531,2020,8,"Sweden"
11.51696,57.94645,2020,8,"Sweden"
-5.456842,54.388447,2020,9,"United Kingdom of Great Britain and Northern Ireland"
10.703994,59.254302,2020,9,"Norway"
10.5268,59.0267,2020,9,"Norway"
