"Longitude","Latitude","Year","Month","Country"
11.69999,58.00655,2023,6,"Sweden"
11.69999,58.00655,2023,9,"Sweden"
5.8,59.066669,2023,10,"Norway"
3.7,51.45,2019,8,"Netherlands"
-3.94992,47.83341,2016,7,"France"
-2.47915,47.43228,2013,8,"France"
-2.49219,47.50156,2013,8,"France"
-2.52518,47.50615,2013,8,"France"
-2.49717,47.46283,2013,8,"France"
-4.29819,48.10991,2010,8,"France"
-4.29819,48.10991,2008,9,"France"
-4.44852,48.30941,2008,9,"France"
-3.94992,47.83341,2008,10,"France"
-3.94992,47.83341,2008,10,"France"
-4.44852,48.30941,2007,3,"France"
-1.20527,45.79981,2004,5,"France"
-1.20527,45.79981,2004,5,"France"
-3.94992,47.83341,2004,9,"France"
-1.20527,45.79981,2004,9,"France"
-1.20527,45.79981,2003,6,"France"
-1.20844,45.96864,2003,7,"France"
-1.20527,45.79981,2003,7,"France"
-1.20527,45.79981,2003,8,"France"
-1.20527,45.79981,2003,8,"France"
-1.20844,45.96864,2003,8,"France"
-1.20844,45.96864,2003,9,"France"
-1.20844,45.96864,2003,9,"France"
-1.20844,45.96864,2003,10,"France"
-1.20527,45.79981,2003,11,"France"
-1.20527,45.79981,2002,8,"France"
-1.20844,45.96864,2002,10,"France"
-1.20527,45.79981,2002,10,"France"
-1.20527,45.79981,2001,8,"France"
-3.84003,47.77332,2001,9,"France"
-4.45889,48.29283,2001,9,"France"
0.15016,49.65042,2000,8,"France"
-1.23785,46.2703,1999,7,"France"
-1.20011,46.22998,1999,7,"France"
-1.20527,45.79981,1999,8,"France"
-1.20527,45.79981,1999,8,"France"
-1.20844,45.96864,1999,8,"France"
-1.20527,45.79981,1999,8,"France"
-1.20844,45.96864,1998,5,"France"
-1.20011,46.22998,1998,7,"France"
-1.13061,46.05515,1998,7,"France"
-1.20844,45.96864,1998,7,"France"
-1.23785,46.2703,1998,7,"France"
-1.20844,45.96864,1998,7,"France"
-1.20844,45.96864,1998,8,"France"
-1.20844,45.96864,1998,8,"France"
-1.20527,45.79981,1998,8,"France"
-1.20844,45.96864,1998,8,"France"
-1.20527,45.79981,1998,9,"France"
-1.20844,45.96864,1998,9,"France"
-1.20844,45.96864,1997,6,"France"
-1.20527,45.79981,1997,6,"France"
-1.20527,45.79981,1997,8,"France"
-1.20527,45.79981,1997,9,"France"
-1.17894,45.85347,1997,9,"France"
-1.20527,45.79981,1997,9,"France"
-1.20527,45.79981,1997,9,"France"
-1.20844,45.96864,1997,9,"France"
-1.20844,45.96864,1997,9,"France"
-1.20527,45.79981,1997,10,"France"
4.84573,43.37815,1997,11,"France"
-1.20527,45.79981,1996,6,"France"
-1.20844,45.96864,1996,7,"France"
-1.20527,45.79981,1996,7,"France"
-1.20527,45.79981,1996,8,"France"
-1.20844,45.96864,1996,8,"France"
-1.20844,45.96864,1996,8,"France"
-1.20844,45.96864,1996,9,"France"
-1.20527,45.79981,1996,9,"France"
-1.20527,45.79981,1996,9,"France"
-1.20844,45.96864,1996,10,"France"
-4.49422,48.22199,1995,9,"France"
-3.9867,47.73332,1993,10,"France"
-3.84003,47.77332,1993,11,"France"
-4.34906,47.8526,1992,11,"France"
-4.34906,47.8526,1992,11,"France"
-4.34906,47.8526,1992,12,"France"
-3.9867,47.73332,1992,12,"France"
-1.205604,45.80764,NA,NA,"France"
-1.208441,45.968643,NA,NA,"France"
-1.208441,45.968643,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.208441,45.968643,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.208441,45.968643,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
4.845728,43.378147,NA,NA,"France"
-1.208441,45.968643,NA,NA,"France"
-1.130608,46.055145,NA,NA,"France"
-1.208441,45.968643,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.208441,45.968643,NA,NA,"France"
-1.233948,46.273151,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.208441,45.968643,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-4.458891,48.292828,NA,NA,"France"
-3.840033,47.773323,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-3.95137,47.832321,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.208441,45.968643,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-4.45,48.308331,NA,NA,"France"
-1.208441,45.968643,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.208441,45.968643,NA,NA,"France"
-1.208441,45.968643,NA,NA,"France"
-1.208441,45.968643,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
-1.205604,45.80764,NA,NA,"France"
12.095,54.174444,2023,8,"Germany"
11.702511,58.005253,2022,9,"Sweden"
2.60694,51.15651,2022,10,"Belgium"
2.60694,51.15651,2022,10,"Belgium"
2.60694,51.15651,2022,10,"Belgium"
2.60694,51.15651,2022,10,"Belgium"
2.60694,51.15651,2022,10,"Belgium"
2.60694,51.15651,2022,10,"Belgium"
