"Longitude","Latitude","Year","Month","Country"
3.09928,51.31001,2025,2,"Belgium"
5.136604,43.399824,2025,3,"France"
5.136604,43.399824,2025,3,"France"
12.99626,55.61627,2024,1,"Sweden"
12.99781,55.6157,2024,1,"Sweden"
12.99465,55.62468,2024,1,"Sweden"
12.99614,55.62317,2024,1,"Sweden"
12.99448,55.62316,2024,1,"Sweden"
-8.430028,51.900376,2024,2,"Ireland"
4.25,52.1,2024,2,"Netherlands"
3.7,51.5,2024,3,"Netherlands"
12.99391,55.60685,2024,3,"Sweden"
5.020062,43.470603,2024,4,"France"
-1.030298,44.643956,2024,4,"France"
12.335395,45.094754,2024,4,"Italy"
3.85,51.3,2024,5,"Netherlands"
13.605026,45.489661,2024,6,"Slovenia"
4.75,52.95,2024,6,"Netherlands"
4.05,51.7,2024,6,"Netherlands"
2.93298,51.2423,2024,6,"Belgium"
12.91185,55.58263,2024,6,"Sweden"
-9.716243,52.265102,2024,7,"Ireland"
-9.716243,52.265102,2024,7,"Ireland"
-7.994677,37.031561,2024,7,"Portugal"
3.7,51.5,2024,7,"Netherlands"
3.11482,51.30768,2024,7,"Belgium"
-6.164394,36.433613,2024,8,"Spain"
4.9,53.05,2024,8,"Netherlands"
3.912537,43.557467,2024,9,"France"
-2.56179,48.579758,2024,9,"France"
8.044404,53.635645,2024,9,"Germany"
12.99956,55.60821,2024,9,"Sweden"
5.223977,43.463132,2024,10,"France"
3.8059,51.2082,2024,10,"Belgium"
3.8059,51.2082,2024,10,"Belgium"
3.8059,51.2082,2024,10,"Belgium"
3.23517,51.34548,2024,12,"Belgium"
12.114444,54.094852,2023,1,"Germany"
11.370235,42.406043,2023,2,"Italy"
11.359779,42.40196,2023,2,"Italy"
4.13368,43.53735,2023,2,"France"
2.93182,51.2409,2023,2,"Belgium"
0.233804,49.424042,2023,3,"France"
9.447998,42.658696,2023,3,"France"
19.286313,41.926479,2023,4,"Montenegro"
19.284589,41.931718,2023,4,"Montenegro"
19.284552,41.93174,2023,4,"Montenegro"
19.284621,41.931688,2023,4,"Montenegro"
19.260563,41.92172,2023,4,"Montenegro"
3.6,51.5,2023,4,"Netherlands"
12.99747,55.61205,2023,4,"Sweden"
12.99789,55.60896,2023,4,"Sweden"
3.98083,43.49926,2023,5,"France"
4.20502,51.33748,2023,5,"Netherlands"
4.20502,51.33748,2023,5,"Netherlands"
4.28968,51.30628,2023,5,"Belgium"
4.2405,51.28768,2023,5,"Belgium"
2.36981,51.04325,2023,6,"France"
4.65,52.45,2023,6,"Netherlands"
2.92147,51.22714,2023,6,"Belgium"
4.093654,43.612641,2023,7,"France"
2.96076,51.22962,2023,7,"Belgium"
2.96079,51.22975,2023,7,"Belgium"
2.96079,51.22975,2023,7,"Belgium"
2.96118,51.23024,2023,7,"Belgium"
5.11389,43.40506,2023,8,"France"
4.6,52.45,2023,9,"Netherlands"
4.6,52.45,2023,9,"Netherlands"
2.92032,51.22765,2023,9,"Belgium"
2.74391,51.14581,2023,9,"Belgium"
19.274063,41.917688,2023,10,"Montenegro"
4.24093,51.28791,2023,10,"Belgium"
-1.03007,44.64532,2023,11,"France"
4.632,52.684,2023,11,"Netherlands"
12.93416,55.59673,2023,11,"Sweden"
12.93556,55.59675,2023,11,"Sweden"
12.93765,55.59739,2023,11,"Sweden"
12.93621,55.59678,2023,11,"Sweden"
12.93644,55.59774,2023,11,"Sweden"
12.93497,55.59684,2023,11,"Sweden"
12.93515,55.59794,2023,11,"Sweden"
12.91068,55.58312,2023,11,"Sweden"
12.91221,55.58346,2023,11,"Sweden"
12.91326,55.58407,2023,11,"Sweden"
12.91446,55.58432,2023,11,"Sweden"
12.91568,55.5845,2023,11,"Sweden"
12.91793,55.58416,2023,11,"Sweden"
12.91686,55.58365,2023,11,"Sweden"
12.91494,55.58316,2023,11,"Sweden"
12.91393,55.58254,2023,11,"Sweden"
12.9121,55.58273,2023,11,"Sweden"
12.99792,55.60899,2023,11,"Sweden"
12.99761,55.6101,2023,11,"Sweden"
12.99698,55.61221,2023,11,"Sweden"
12.99593,55.61155,2023,11,"Sweden"
12.99705,55.60951,2023,11,"Sweden"
12.99715,55.60761,2023,11,"Sweden"
13.05823,55.67444,2023,11,"Sweden"
13.05852,55.67604,2023,11,"Sweden"
13.06026,55.67584,2023,11,"Sweden"
13.06129,55.67576,2023,11,"Sweden"
13.06264,55.67562,2023,11,"Sweden"
13.0635,55.67548,2023,11,"Sweden"
13.05982,55.67403,2023,11,"Sweden"
13.05774,55.67543,2023,11,"Sweden"
13.05994,55.67507,2023,11,"Sweden"
13.05851,55.67492,2023,11,"Sweden"
13.05891,55.67466,2023,11,"Sweden"
13.0056,55.60247,2023,11,"Sweden"
13.01018,55.60387,2023,11,"Sweden"
13.01415,55.60615,2023,11,"Sweden"
13.00457,55.60217,2023,11,"Sweden"
12.98666,55.60261,2023,11,"Sweden"
12.99139,55.60346,2023,11,"Sweden"
12.99147,55.60345,2023,11,"Sweden"
19.278174,41.923792,2023,12,"Montenegro"
4.6,52.6,2023,12,"Netherlands"
13.00643,55.60284,2023,12,"Sweden"
12.9846,55.61981,2023,12,"Sweden"
12.98451,55.62021,2023,12,"Sweden"
12.99216,55.61406,2023,12,"Sweden"
12.99118,55.61584,2023,12,"Sweden"
12.9907,55.61691,2023,12,"Sweden"
12.99011,55.61795,2023,12,"Sweden"
12.92479,55.59062,2023,12,"Sweden"
12.92399,55.58968,2023,12,"Sweden"
12.92367,55.58928,2023,12,"Sweden"
12.91873,55.58644,2023,12,"Sweden"
