"Longitude","Latitude","Year","Month","Country"
3.8,51.5,2024,6,"Netherlands"
3.8,51.55,2024,7,"Netherlands"
-5.117955,58.398861,2024,7,"United Kingdom of Great Britain and Northern Ireland"
3.806391,51.548796,2024,8,"Netherlands"
5.129767,60.103638,2024,8,"Norway"
18.948973,69.642631,2024,10,"Norway"
5.200975,43.489109,2023,2,"France"
6.39705,42.98886,2023,4,"France"
3.85,51.5,2023,7,"Netherlands"
3.8,51.5,2023,7,"Netherlands"
11.52662,58.22306,2023,7,"Sweden"
11.52611,58.22417,2023,7,"Sweden"
11.52662,58.223,2023,7,"Sweden"
11.46554,58.20889,2023,7,"Sweden"
11.45631,58.20182,2023,7,"Sweden"
11.52569,58.224,2023,7,"Sweden"
14.466043,67.271561,2023,8,"Norway"
3.8111,51.547224,2023,8,"Netherlands"
1.61667,50.71667,2023,8,"France"
11.58475,58.22643,2023,8,"Sweden"
11.28423,58.4576,2023,8,"Sweden"
4.918986,60.493653,2023,8,"Norway"
5.972422,58.412158,2023,8,"Norway"
5.972422,58.412158,2023,8,"Norway"
14.467377,67.272425,2023,8,"Norway"
14.724894,67.323558,2023,9,"Norway"
14.639899,67.262698,2023,9,"Norway"
4.5,52.45,2022,5,"Netherlands"
4.5,52.45,2022,5,"Netherlands"
4.5,52.45,2022,5,"Netherlands"
3.85,51.5,2022,6,"Netherlands"
3.8,51.5,2022,6,"Netherlands"
3.8,51.5,2022,6,"Netherlands"
3.75,51.55,2022,7,"Netherlands"
3.75,51.5,2022,7,"Netherlands"
11.32729,58.36547,2022,7,"Sweden"
9.511317,58.850941,2022,7,"Norway"
5.586937,59.034461,2022,7,"Norway"
7.687531,58.071802,2022,7,"Norway"
6.674447,58.250222,2022,7,"Norway"
7.600673,58.004962,2022,7,"Norway"
7.986903,58.115748,2022,7,"Norway"
4.85,52.4,2022,8,"Netherlands"
-5.12306,48.45194,2022,8,"France"
-5.12886,48.4481,2022,8,"France"
-5.12319,48.45186,2022,8,"France"
4.961234,60.320349,2022,8,"Norway"
7.602927,58.010868,2022,8,"Norway"
8.035897,58.1446,2022,8,"Norway"
5.581278,59.015667,2022,8,"Norway"
5.241742,59.434561,2022,8,"Norway"
9.509332,58.851949,2022,8,"Norway"
8.520628,58.24826,2022,8,"Norway"
5.735716,58.975188,2022,8,"Norway"
5.244032,59.43458,2022,8,"Norway"
5.602092,58.982415,2022,8,"Norway"
9.409889,58.794228,2022,8,"Norway"
7.998024,58.108231,2022,8,"Norway"
6.977134,58.029238,2022,8,"Norway"
6.977341,58.029109,2022,8,"Norway"
5.302414,59.352478,2022,8,"Norway"
6.977341,58.029109,2022,8,"Norway"
10.842755,59.095769,2022,9,"Norway"
5.243799,59.433881,2022,9,"Norway"
3.8,51.5,2021,6,"Netherlands"
4.01,51.71,2021,6,"Netherlands"
11.70652,58.07823,2021,6,"Sweden"
3.75,51.55,2021,7,"Netherlands"
11.80204,58.08349,2021,7,"Sweden"
11.64006,58.07702,2021,7,"Sweden"
11.51551,58.21571,2021,7,"Sweden"
11.51453,58.2158,2021,7,"Sweden"
11.51546,58.21574,2021,7,"Sweden"
11.51546,58.21574,2021,7,"Sweden"
11.73801,58.07332,2021,7,"Sweden"
11.79205,58.06416,2021,7,"Sweden"
11.70605,58.08437,2021,7,"Sweden"
8.988112,58.573812,2021,7,"Norway"
6.555815,58.240989,2021,7,"Norway"
5.397833,59.275368,2021,7,"Norway"
8.289177,58.17979,2021,7,"Norway"
5.37188,59.323818,2021,7,"Norway"
10.113701,59.026903,2021,7,"Norway"
6.555932,58.240781,2021,7,"Norway"
3.8,51.5,2021,8,"Netherlands"
2.472718,39.517847,2021,8,"Spain"
3.8,51.6,2021,8,"Netherlands"
11.44814,58.20018,2021,8,"Sweden"
5.212555,60.317306,2021,8,"Norway"
5.473579,59.753212,2021,8,"Norway"
4.84748,60.58986,2021,8,"Norway"
5.212591,60.317288,2021,8,"Norway"
5.386406,60.13421,2021,8,"Norway"
4.80693,60.81257,2021,9,"Norway"
5.759216,59.037918,2021,9,"Norway"
8.762302,58.425232,2021,9,"Norway"
9.202827,58.721499,2021,9,"Norway"
16.1335,69.323342,2020,1,"Norway"
5.228567,43.464267,2020,6,"France"
3.75,51.5,2020,6,"Netherlands"
3.8,51.5,2020,7,"Netherlands"
3.821,51.547,2020,7,"Netherlands"
11.8296,58.1433,2020,7,"Sweden"
11.52646,58.2233,2020,7,"Sweden"
11.8296,58.1433,2020,7,"Sweden"
11.52646,58.2233,2020,7,"Sweden"
5.050706,61.897271,2020,7,"Norway"
5.909109,58.442152,2020,7,"Norway"
6.243067,58.330867,2020,7,"Norway"
3.75,51.5,2020,8,"Netherlands"
5.909037,58.442048,2020,8,"Norway"
8.859697,58.444103,2020,8,"Norway"
5.657212,59.033209,2020,8,"Norway"
16.133428,69.323335,2020,8,"Norway"
11.253429,63.732538,2020,8,"Norway"
4.846043,60.530001,2020,8,"Norway"
10.595431,63.441449,2020,9,"Norway"
11.4826,58.09534,2019,6,"Sweden"
3.8,51.55,2019,7,"Netherlands"
11.8296,58.1433,2019,7,"Sweden"
11.8296,58.1433,2019,7,"Sweden"
5.43903,58.94792,2019,7,"Norway"
5.466734,59.750859,2019,7,"Norway"
5.474261,59.752859,2019,7,"Norway"
5.663402,59.037821,2019,8,"Norway"
5.510742,59.215881,2019,8,"Norway"
5.539901,59.700109,2019,8,"Norway"
5.452253,58.950511,2019,8,"Norway"
5.240412,59.424332,2019,8,"Norway"
5.653511,59.011968,2019,8,"Norway"
9.202827,58.721499,2019,9,"Norway"
5.302683,59.35425,2019,9,"Norway"
11.38982,58.15473,2019,10,"Sweden"
11.38995,58.15472,2019,10,"Sweden"
5.776042,59.164519,2018,4,"Norway"
11.79374,58.02039,2018,6,"Sweden"
11.79161,58.01837,2018,6,"Sweden"
3.75,51.5,2018,7,"Netherlands"
3.9,51.5,2018,7,"Netherlands"
2.95987,51.23019,2018,7,"Belgium"
