"Longitude","Latitude","Year","Month","Country"
3.6,51.55,2025,1,"Netherlands"
3.6,51.55,2025,1,"Netherlands"
3.6,51.55,2024,3,"Netherlands"
5.030882,43.54549,2024,4,"France"
5.030882,43.54549,2024,4,"France"
5.030882,43.54549,2024,4,"France"
5.030882,43.54549,2024,4,"France"
5.030882,43.54549,2024,4,"France"
5.030882,43.54549,2024,4,"France"
5.030882,43.54549,2024,4,"France"
5.020062,43.470603,2024,4,"France"
5.116433,43.405751,2024,4,"France"
5.116433,43.405751,2024,4,"France"
5.116433,43.405751,2024,4,"France"
5.116433,43.405751,2024,4,"France"
3.942921,51.73499,2024,4,"Netherlands"
3.95,51.7,2024,5,"Netherlands"
3.81152,51.54677,2024,6,"Netherlands"
3.81152,51.54677,2024,6,"Netherlands"
3.81152,51.54677,2024,7,"Netherlands"
3.995443,51.711472,2024,7,"Netherlands"
3.996674,51.711845,2024,7,"Netherlands"
3.868487,51.779032,2024,7,"Netherlands"
3.95,51.7,2024,7,"Netherlands"
4.002183,51.707058,2024,7,"Netherlands"
5.13665,43.401669,2024,8,"France"
5.13665,43.401669,2024,8,"France"
5.13665,43.401669,2024,8,"France"
3.809918,51.548829,2024,8,"Netherlands"
3.162885,42.410525,2024,8,"Spain"
4.05,51.7,2024,8,"Netherlands"
4,51.75,2024,8,"Netherlands"
5.060845,43.526063,2024,9,"France"
5.060845,43.526063,2024,9,"France"
5.060845,43.526063,2024,9,"France"
5.060845,43.526063,2024,9,"France"
5.060845,43.526063,2024,9,"France"
-2.50815,47.30611,2024,9,"France"
3.81152,51.54677,2024,9,"Netherlands"
5.195468,43.438547,2024,10,"France"
5.195468,43.438547,2024,10,"France"
5.195468,43.438547,2024,10,"France"
5.195468,43.438547,2024,10,"France"
5.196042,43.43798,2024,10,"France"
3.65,51.55,2024,11,"Netherlands"
3.65,51.55,2024,11,"Netherlands"
3.6,51.55,2023,1,"Netherlands"
5.200975,43.489109,2023,2,"France"
5.200975,43.489109,2023,2,"France"
5.200975,43.489109,2023,2,"France"
4.950269,43.442902,2023,3,"France"
3.70003,43.424697,2023,3,"France"
3.700432,43.424852,2023,3,"France"
5.225813,43.458338,2023,3,"France"
5.225813,43.458338,2023,3,"France"
3.69986,43.425,2023,3,"France"
3.69986,43.425,2023,3,"France"
5.00191,43.477669,2023,4,"France"
5.00191,43.477669,2023,4,"France"
5.00191,43.477669,2023,4,"France"
5.00191,43.477669,2023,4,"France"
5.00191,43.477669,2023,4,"France"
5.00191,43.477669,2023,4,"France"
5.00191,43.477669,2023,4,"France"
5.00191,43.477669,2023,4,"France"
5.00191,43.477669,2023,4,"France"
5.00191,43.477669,2023,4,"France"
3.85,51.75,2023,4,"Netherlands"
3.85,51.75,2023,5,"Netherlands"
3.85,51.75,2023,5,"Netherlands"
3.9,51.7,2023,5,"Netherlands"
3.9,51.7,2023,5,"Netherlands"
3.996209,51.711716,2023,5,"Netherlands"
4.007767,43.567579,2023,6,"France"
3.912165,43.543343,2023,6,"France"
3.995657,51.711457,2023,6,"Netherlands"
3.912083,43.541806,2023,6,"France"
4.002183,51.707058,2023,6,"Netherlands"
4.002183,51.707058,2023,6,"Netherlands"
3.996209,51.711716,2023,7,"Netherlands"
3.995657,51.711457,2023,7,"Netherlands"
4.000801,51.708413,2023,7,"Netherlands"
4.000801,51.708413,2023,7,"Netherlands"
3.9,51.75,2023,7,"Netherlands"
3.9,51.75,2023,7,"Netherlands"
3.9,51.75,2023,7,"Netherlands"
