"Longitude","Latitude","Year","Month","Country"
4.25,52.1,2025,1,"Netherlands"
5,52.95,2025,1,"Netherlands"
3.65,51.6,2025,1,"Netherlands"
3.65,51.6,2025,1,"Netherlands"
1.29175,51.943164,2025,2,"United Kingdom of Great Britain and Northern Ireland"
8.595038,55.180144,2025,2,"Denmark"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
4.75,53,2025,2,"Netherlands"
10.888406,53.958674,2025,2,"Germany"
4,51.5,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
4.05,51.5,2025,2,"Netherlands"
4.75,53,2025,2,"Netherlands"
3.85,51.3,2025,2,"Netherlands"
3.85,51.3,2025,2,"Netherlands"
3.85,51.3,2025,2,"Netherlands"
3.85,51.3,2025,2,"Netherlands"
3.85,51.3,2025,2,"Netherlands"
3.85,51.3,2025,2,"Netherlands"
3.85,51.3,2025,2,"Netherlands"
3.85,51.3,2025,2,"Netherlands"
3.85,51.3,2025,2,"Netherlands"
3.85,51.3,2025,2,"Netherlands"
3.85,51.3,2025,2,"Netherlands"
3.85,51.3,2025,2,"Netherlands"
3.85,51.3,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
7.05,53.25,2025,2,"Netherlands"
7.05,53.25,2025,2,"Netherlands"
4.85,53.1,2025,2,"Netherlands"
8.48595,54.680428,2025,2,"Germany"
8.573775,54.691113,2025,2,"Germany"
-1.663121,43.383324,2025,3,"France"
4,51.5,2025,3,"Netherlands"
3.85,51.75,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.7,51.4,2025,3,"Netherlands"
3.75,51.65,2025,3,"Netherlands"
-16.740543,28.088383,2025,3,"Spain"
3.7,51.4,2025,3,"Netherlands"
4.30094,51.26931,2025,3,"Belgium"
4.30042,51.26915,2025,3,"Belgium"
4.30094,51.26931,2025,3,"Belgium"
11.93306,57.39181,2025,3,"Sweden"
4,51.5,2025,4,"Netherlands"
3.9,51.5,2025,4,"Netherlands"
2.91888,51.2378,2025,4,"Belgium"
2.91888,51.2378,2025,4,"Belgium"
11.81079,58.04504,2025,4,"Sweden"
1.29077,51.946281,2024,1,"United Kingdom of Great Britain and Northern Ireland"
1.291016,51.945084,2024,1,"United Kingdom of Great Britain and Northern Ireland"
1.29097,51.942768,2024,1,"United Kingdom of Great Britain and Northern Ireland"
4.574702,52.468788,2024,1,"Netherlands"
3.6,51.35,2024,1,"Netherlands"
3.7,51.4,2024,1,"Netherlands"
3.7,51.4,2024,1,"Netherlands"
3.7,51.4,2024,1,"Netherlands"
3.95,51.5,2024,1,"Netherlands"
3.95,51.5,2024,1,"Netherlands"
1.29077,51.946281,2024,1,"United Kingdom of Great Britain and Northern Ireland"
1.291016,51.945084,2024,1,"United Kingdom of Great Britain and Northern Ireland"
1.29097,51.942768,2024,1,"United Kingdom of Great Britain and Northern Ireland"
4.34306,51.24757,2024,1,"Belgium"
2.85882,51.20989,2024,1,"Belgium"
2.94584,51.22341,2024,1,"Belgium"
4.24747,51.35941,2024,1,"Belgium"
3.924089,51.45131,2024,2,"Netherlands"
9.742339,55.525198,2024,2,"Denmark"
3.7,51.4,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
6.05,53.4,2024,2,"Netherlands"
4.3,51.5,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
3.85,51.3,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
3.7,51.4,2024,2,"Netherlands"
4,51.6,2024,2,"Netherlands"
3.75,51.65,2024,2,"Netherlands"
12.444222,54.398566,2024,3,"Germany"
12.454401,54.406902,2024,3,"Germany"
1.291439,51.943206,2024,3,"United Kingdom of Great Britain and Northern Ireland"
1.291469,51.943331,2024,3,"United Kingdom of Great Britain and Northern Ireland"
3.908662,51.628697,2024,3,"Netherlands"
4.15,51.5,2024,3,"Netherlands"
3.9,51.45,2024,3,"Netherlands"
3.95,51.5,2024,3,"Netherlands"
3.95,51.5,2024,3,"Netherlands"
9.678516,54.819233,2024,3,"Germany"
3.7,51.4,2024,3,"Netherlands"
4.05,51.6,2024,3,"Netherlands"
4.05,51.6,2024,3,"Netherlands"
4.1,51.5,2024,3,"Netherlands"
4,51.5,2024,3,"Netherlands"
6.15,53.45,2024,3,"Netherlands"
6.15,53.45,2024,3,"Netherlands"
3.85,51.7,2024,3,"Netherlands"
1.291439,51.943206,2024,3,"United Kingdom of Great Britain and Northern Ireland"
1.291469,51.943331,2024,3,"United Kingdom of Great Britain and Northern Ireland"
3.15756,51.32527,2024,3,"Belgium"
1.269138,51.923321,2024,4,"United Kingdom of Great Britain and Northern Ireland"
1.279542,51.930842,2024,4,"United Kingdom of Great Britain and Northern Ireland"
