"Longitude","Latitude","Year","Month","Country"
12.930149,41.381857,2024,4,"Italy"
12.316763,45.31677,2024,8,"Italy"
11.766961,42.103966,2023,4,"Italy"
4.632,52.684,2023,11,"Netherlands"
3.16,43.106,2021,4,"France"
3.15183,42.50833,2019,12,"France"
4.61,52.58,2017,8,"Netherlands"
-6.018743,57.07674,2016,8,"United Kingdom of Great Britain and Northern Ireland"
-4.152904,50.356512,2016,10,"United Kingdom of Great Britain and Northern Ireland"
-7.13901,57.6216,2015,7,"United Kingdom of Great Britain and Northern Ireland"
-7.121211,57.61789,2015,7,"United Kingdom of Great Britain and Northern Ireland"
3.12533,43.0363,2015,8,"France"
-5.746525,56.8493,2014,7,"United Kingdom of Great Britain and Northern Ireland"
-5.653955,55.98289,2013,4,"United Kingdom of Great Britain and Northern Ireland"
-5.731784,57.27709,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-5.712747,57.27326,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-5.731784,57.27709,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-5.505256,57.26392,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-0.802509,60.75483,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-0.806612,60.62156,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-0.862113,60.64187,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-5.731784,57.27709,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-5.712747,57.27326,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-5.712747,57.27326,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-0.936072,60.58896,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-5.712747,57.27326,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-5.731784,57.27709,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-1.007881,60.61742,2012,9,"United Kingdom of Great Britain and Northern Ireland"
-5.76064,54.71743,2012,9,"United Kingdom of Great Britain and Northern Ireland"
-5.696172,54.727338,2012,9,"United Kingdom of Great Britain and Northern Ireland"
4.71,53,2012,12,"Netherlands"
20.889694,39.036028,2011,7,"Greece"
-5.087,55.54125,2010,9,"United Kingdom of Great Britain and Northern Ireland"
-5.087,55.54125,2010,9,"United Kingdom of Great Britain and Northern Ireland"
20.889694,39.036028,2010,9,"Greece"
20.889694,39.036028,2010,9,"Greece"
20.889694,39.036028,2010,9,"Greece"
3.58704,43.3758,2009,3,"France"
3.58704,43.3758,2009,3,"France"
3.58704,43.3758,2009,3,"France"
3.02387,42.65695,2009,5,"France"
4.62,52.64,2008,12,"Netherlands"
4.764,53.111,2006,8,"Netherlands"
4.62,52.64,2005,2,"Netherlands"
3.709,51.433,2005,2,"Netherlands"
3.47813,43.24415,2005,6,"France"
4.722,53.063,2004,7,"Netherlands"
3.7835,43.39952,2002,NA,"France"
3.78213,43.39003,2001,7,"France"
4.01833,43.52183,2001,NA,"France"
-5.713,57.27283,1999,9,"United Kingdom of Great Britain and Northern Ireland"
-5.713,57.27283,1999,9,"United Kingdom of Great Britain and Northern Ireland"
-5.713,57.27283,1999,9,"United Kingdom of Great Britain and Northern Ireland"
-1.380977,50.875706,1994,5,"United Kingdom of Great Britain and Northern Ireland"
-1.380965,50.876605,1994,5,"United Kingdom of Great Britain and Northern Ireland"
-1.380965,50.876605,1994,5,"United Kingdom of Great Britain and Northern Ireland"
-1.380965,50.876605,1994,5,"United Kingdom of Great Britain and Northern Ireland"
-1.380965,50.876605,1994,5,"United Kingdom of Great Britain and Northern Ireland"
-1.378123,50.87659,1994,5,"United Kingdom of Great Britain and Northern Ireland"
-1.376738,50.873885,1994,5,"United Kingdom of Great Britain and Northern Ireland"
-1.380954,50.877504,1994,5,"United Kingdom of Great Britain and Northern Ireland"
-1.378135,50.875691,1994,5,"United Kingdom of Great Britain and Northern Ireland"
-1.380965,50.876605,1994,5,"United Kingdom of Great Britain and Northern Ireland"
-1.380965,50.876605,1993,4,"United Kingdom of Great Britain and Northern Ireland"
-5.141903,56.68349,1990,4,"United Kingdom of Great Britain and Northern Ireland"
-5.026452,50.208406,1990,9,"United Kingdom of Great Britain and Northern Ireland"
-5.026452,50.208406,1990,9,"United Kingdom of Great Britain and Northern Ireland"
-5.046809,50.153899,1990,9,"United Kingdom of Great Britain and Northern Ireland"
-5.046809,50.153899,1990,9,"United Kingdom of Great Britain and Northern Ireland"
-5.026452,50.208406,1990,9,"United Kingdom of Great Britain and Northern Ireland"
0.610972,49.428797,NA,NA,"France"
9.828028,44.079912,2022,7,"Italy"
9.828028,44.079912,2022,7,"Italy"
9.828028,44.079912,2022,7,"Italy"
9.835624,44.067702,2022,7,"Italy"
9.835624,44.067702,2022,7,"Italy"
9.835624,44.067702,2022,7,"Italy"
9.828028,44.079912,2022,7,"Italy"
9.828028,44.079912,2022,7,"Italy"
9.835624,44.067702,2022,7,"Italy"
9.835624,44.067702,2022,7,"Italy"
23.651063,37.931814,2021,6,"Greece"
23.651063,37.931814,2021,6,"Greece"
23.651063,37.931814,2021,6,"Greece"
25.136721,35.343157,2020,11,"Greece"
25.136721,35.343157,2020,11,"Greece"
25.136721,35.343157,2020,11,"Greece"
-5.696167,54.727333,2012,9,"United Kingdom of Great Britain and Northern Ireland"
13.5673,45.5188,2018,NA,"Slovenia"
13.5673,45.5188,2018,NA,"Slovenia"
13.5673,45.5188,2018,NA,"Slovenia"
