"Longitude","Latitude","Year","Month","Country"
4.4,52.2,2023,11,"Netherlands"
-1.07739,49.39504,2021,2,"France"
0.29525,49.7539,2021,3,"France"
0.29525,49.7539,2021,3,"France"
0.29525,49.7539,2021,3,"France"
0.29525,49.7539,2021,3,"France"
0.29525,49.7539,2021,3,"France"
5.233251,60.353219,2021,4,"Norway"
5.153566,60.444795,2021,4,"Norway"
-1.62998,49.06568,2021,5,"France"
5.270221,60.394858,2020,4,"Norway"
5.87892,59.17115,2020,8,"Norway"
5.87882,59.17178,2020,8,"Norway"
0.29525,49.7539,2019,2,"France"
0.29525,49.7539,2019,2,"France"
5.46189,60.174219,2019,4,"Norway"
5.270221,60.394858,2019,4,"Norway"
5.387171,59.215679,2019,8,"Norway"
5.7649,60.187433,2019,8,"Norway"
5.270221,60.394858,2019,10,"Norway"
5.270221,60.394858,2018,4,"Norway"
5.273956,60.464901,2018,4,"Norway"
5.273956,60.464901,2018,10,"Norway"
5.270221,60.394858,2018,10,"Norway"
-1.57279,49.66929,2018,NA,"France"
3.13253,47.33133,2016,2,"France"
3.13018,47.33117,2016,2,"France"
3.13253,47.33133,2016,2,"France"
3.13542,47.33152,2016,2,"France"
3.88258,47.79177,2016,2,"France"
2.93448,47.5258,2016,2,"France"
3.88413,47.79177,2016,2,"France"
3.96793,47.72847,2016,2,"France"
2.93448,47.5258,2016,2,"France"
3.13542,47.33152,2016,2,"France"
3.13253,47.33133,2016,2,"France"
3.88413,47.79177,2016,2,"France"
4.3653,48.31355,2016,2,"France"
2.93448,47.5258,2016,2,"France"
3.88258,47.79177,2016,2,"France"
0.981538,51.387027,2016,4,"United Kingdom of Great Britain and Northern Ireland"
0.864867,51.360259,2016,4,"United Kingdom of Great Britain and Northern Ireland"
0.864867,51.360259,2016,4,"United Kingdom of Great Britain and Northern Ireland"
0.864867,51.360259,2016,4,"United Kingdom of Great Britain and Northern Ireland"
-5.048295,50.177249,2016,4,"United Kingdom of Great Britain and Northern Ireland"
0.962623,51.427981,2016,4,"United Kingdom of Great Britain and Northern Ireland"
-1.10333,44.6775,2016,4,"France"
0.981538,51.387027,2016,4,"United Kingdom of Great Britain and Northern Ireland"
0.981538,51.387027,2016,4,"United Kingdom of Great Britain and Northern Ireland"
0.962623,51.427981,2016,4,"United Kingdom of Great Britain and Northern Ireland"
-7.224129,55.06666,2016,4,"United Kingdom of Great Britain and Northern Ireland"
0.864867,51.360259,2016,4,"United Kingdom of Great Britain and Northern Ireland"
0.864867,51.360259,2016,4,"United Kingdom of Great Britain and Northern Ireland"
0.981538,51.387027,2016,4,"United Kingdom of Great Britain and Northern Ireland"
-5.609617,54.46206,2016,5,"United Kingdom of Great Britain and Northern Ireland"
-5.609617,54.46206,2016,5,"United Kingdom of Great Britain and Northern Ireland"
-6.192327,54.07155,2016,5,"United Kingdom of Great Britain and Northern Ireland"
-3.529669,50.430239,2016,5,"United Kingdom of Great Britain and Northern Ireland"
-3.456263,50.561588,2016,5,"United Kingdom of Great Britain and Northern Ireland"
-3.529669,50.430239,2016,5,"United Kingdom of Great Britain and Northern Ireland"
-5.609617,54.46206,2016,5,"United Kingdom of Great Britain and Northern Ireland"
-5.609617,54.46206,2016,5,"United Kingdom of Great Britain and Northern Ireland"
1.83723,50.96963,2016,6,"France"
-4.13075,50.364115,2016,10,"United Kingdom of Great Britain and Northern Ireland"
-4.13075,50.364115,2016,10,"United Kingdom of Great Britain and Northern Ireland"
-9.506624,51.683896,2016,NA,"Ireland"
-3.13253,47.33133,2015,3,"France"
-3.28108,47.6451,2015,3,"France"
-4.37117,48.32195,2015,3,"France"
-3.13253,47.33133,2015,3,"France"
-3.13253,47.33133,2015,3,"France"
-3.13253,47.33133,2015,3,"France"
-1.10333,44.6775,2015,3,"France"
-3.13253,47.33133,2015,3,"France"
-3.88413,47.79177,2015,3,"France"
-3.88413,47.79177,2015,3,"France"
-3.88413,47.79177,2015,3,"France"
-3.13253,47.33133,2015,3,"France"
-3.88413,47.79177,2015,3,"France"
-4.37117,48.32195,2015,3,"France"
-2.93448,47.5258,2015,3,"France"
-2.93448,47.5258,2015,3,"France"
-5.747294,54.71626,2015,5,"United Kingdom of Great Britain and Northern Ireland"
-5.747294,54.71626,2015,5,"United Kingdom of Great Britain and Northern Ireland"
-4.37117,48.32195,2014,2,"France"
-3.05637,47.48307,2014,2,"France"
-3.13253,47.33133,2014,2,"France"
-3.13253,47.33133,2014,2,"France"
-4.37117,48.32195,2014,2,"France"
-3.88413,47.79177,2014,3,"France"
-3.0211,48.82348,2014,3,"France"
-1.83883,48.87603,2014,4,"France"
-5.076446,55.53871,2014,9,"United Kingdom of Great Britain and Northern Ireland"
-1.57465,50.677835,2014,9,"United Kingdom of Great Britain and Northern Ireland"
-2.93448,47.5258,2013,2,"France"
-2.93448,47.5258,2013,2,"France"
-3.88413,47.79177,2013,2,"France"
-3.13253,47.33133,2013,2,"France"
-2.93448,47.5258,2013,2,"France"
-3.88413,47.79177,2013,2,"France"
-3.13018,47.33117,2013,2,"France"
-3.88258,47.79177,2013,2,"France"
-3.88413,47.79177,2013,2,"France"
-3.13542,47.33152,2013,2,"France"
-2.93448,47.5258,2013,2,"France"
-3.13542,47.33152,2013,2,"France"
-2.93448,47.5258,2013,2,"France"
-3.13253,47.33133,2013,2,"France"
-3.13018,47.33117,2013,2,"France"
-3.88258,47.79177,2013,2,"France"
-3.88413,47.79177,2013,2,"France"
-3.13253,47.33133,2013,2,"France"
-3.13018,47.33117,2013,2,"France"
-2.93448,47.5258,2013,2,"France"
-3.13018,47.33117,2013,2,"France"
-2.93448,47.5258,2013,2,"France"
-3.13253,47.33133,2013,2,"France"
-2.93448,47.5258,2013,2,"France"
-5.653955,55.98289,2013,4,"United Kingdom of Great Britain and Northern Ireland"
-5.653955,55.98289,2013,4,"United Kingdom of Great Britain and Northern Ireland"
-5.599414,56.03285,2013,4,"United Kingdom of Great Britain and Northern Ireland"
-5.599414,56.03285,2013,4,"United Kingdom of Great Britain and Northern Ireland"
-5.653955,55.98289,2013,4,"United Kingdom of Great Britain and Northern Ireland"
-5.599414,56.03285,2013,4,"United Kingdom of Great Britain and Northern Ireland"
-5.599414,56.03285,2013,4,"United Kingdom of Great Britain and Northern Ireland"
-5.653955,55.98289,2013,4,"United Kingdom of Great Britain and Northern Ireland"
-5.653955,55.98289,2013,4,"United Kingdom of Great Britain and Northern Ireland"
-1.368199,50.874738,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-1.352452,50.780229,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-1.427282,50.808498,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-3.163534,54.066752,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-1.368199,50.874738,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-1.368199,50.874738,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-0.909647,50.79132,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-0.936577,50.792468,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-1.368199,50.874738,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-0.937935,50.795178,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-1.368199,50.874738,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-0.937976,50.79338,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-0.944339,50.825812,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-1.024134,50.812118,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-1.368199,50.874738,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-1.028429,50.810355,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-0.941927,50.806905,2013,6,"United Kingdom of Great Britain and Northern Ireland"
-1.188634,50.738738,2012,2,"United Kingdom of Great Britain and Northern Ireland"
-2.93448,47.5258,2012,3,"France"
-3.13018,47.33117,2012,3,"France"
-3.88577,47.79158,2012,3,"France"
-3.13542,47.33152,2012,3,"France"
-3.13253,47.33133,2012,3,"France"
-3.13542,47.33152,2012,3,"France"
-3.13018,47.33117,2012,3,"France"
-2.93448,47.5258,2012,3,"France"
-3.88577,47.79158,2012,3,"France"
-4.00032,47.73497,2012,3,"France"
-3.13542,47.33152,2012,3,"France"
-3.13542,47.33152,2012,3,"France"
-4.37117,48.32195,2012,3,"France"
-2.93448,47.5258,2012,3,"France"
-4.37117,48.32195,2012,3,"France"
-3.13018,47.33117,2012,3,"France"
-2.93448,47.5258,2012,3,"France"
-3.13253,47.33133,2012,3,"France"
-2.93448,47.5258,2012,3,"France"
-4.00032,47.73497,2012,3,"France"
-6.129758,54.03452,2012,4,"Ireland"
-6.129401,54.03324,2012,4,"Ireland"
-6.099456,54.03765,2012,4,"United Kingdom of Great Britain and Northern Ireland"
0.651455,51.421047,2012,4,"United Kingdom of Great Britain and Northern Ireland"
-3.95113,48.71232,2012,4,"France"
-3.0211,48.8235,2012,4,"France"
-6.129526,54.0338,2012,4,"Ireland"
1.1289,45.57647,2012,4,"France"
-1.50508,49.679,2012,5,"France"
1.845,50.97,2012,6,"France"
1.845,50.97,2012,6,"France"
1.845,50.97,2012,6,"France"
1.845,50.97,2012,6,"France"
-4.646152,51.206202,2012,7,"United Kingdom of Great Britain and Northern Ireland"
-4.646152,51.206202,2012,7,"United Kingdom of Great Britain and Northern Ireland"
-4.664014,51.193205,2012,7,"United Kingdom of Great Britain and Northern Ireland"
-4.647582,51.20617,2012,7,"United Kingdom of Great Britain and Northern Ireland"
-5.809978,54.70976,2012,9,"United Kingdom of Great Britain and Northern Ireland"
-5.644625,54.39238,2012,9,"United Kingdom of Great Britain and Northern Ireland"
-5.545786,54.38005,2012,9,"United Kingdom of Great Britain and Northern Ireland"
-5.603793,54.26154,2012,9,"United Kingdom of Great Britain and Northern Ireland"
-6.254029,54.10019,2012,9,"United Kingdom of Great Britain and Northern Ireland"
-5.640966,54.41439,2012,9,"United Kingdom of Great Britain and Northern Ireland"
1.01218,45.43244,2012,10,"France"
1.01218,45.43244,2012,10,"France"
1.01218,45.43244,2012,10,"France"
-4.3653,48.31355,2011,3,"France"
-3.13253,47.33133,2011,3,"France"
-4.142707,50.348605,2011,3,"United Kingdom of Great Britain and Northern Ireland"
-3.13542,47.33152,2011,3,"France"
-4.184055,50.361327,2011,3,"United Kingdom of Great Britain and Northern Ireland"
-4.215105,50.394019,2011,3,"United Kingdom of Great Britain and Northern Ireland"
-4.18984,50.364816,2011,3,"United Kingdom of Great Britain and Northern Ireland"
-3.590388,50.393449,2011,3,"United Kingdom of Great Britain and Northern Ireland"
-3.13253,47.33133,2011,3,"France"
-3.88413,47.79177,2011,3,"France"
-4.189304,50.383715,2011,3,"United Kingdom of Great Britain and Northern Ireland"
-3.0203,48.82348,2011,3,"France"
-4.37117,48.32195,2011,3,"France"
-2.93448,47.5258,2011,3,"France"
-3.01943,48.82352,2011,3,"France"
-4.38765,48.32039,2011,3,"France"
-1.98213,48.69127,2011,3,"France"
-4.231806,50.390102,2011,3,"United Kingdom of Great Britain and Northern Ireland"
-4.00032,47.73497,2011,3,"France"
-3.590388,50.393449,2011,3,"United Kingdom of Great Britain and Northern Ireland"
-3.88413,47.79177,2011,3,"France"
-2.93448,47.5258,2011,3,"France"
-3.88577,47.79158,2011,3,"France"
-4.00032,47.73497,2011,3,"France"
-3.88258,47.79177,2011,3,"France"
-4.189923,50.366613,2011,3,"United Kingdom of Great Britain and Northern Ireland"
-3.590388,50.393449,2011,3,"United Kingdom of Great Britain and Northern Ireland"
-3.13018,47.33117,2011,3,"France"
-3.33045,47.70142,2011,4,"France"
-3.590388,50.393449,2011,4,"United Kingdom of Great Britain and Northern Ireland"
-1.368199,50.874738,2011,5,"United Kingdom of Great Britain and Northern Ireland"
-4.38135,47.78647,2011,5,"France"
-4.12112,47.81568,2011,5,"France"
-4.16643,47.7702,2011,5,"France"
-4.20617,47.75657,2011,5,"France"
-1.368199,50.874738,2011,5,"United Kingdom of Great Britain and Northern Ireland"
-4.37137,48.33093,2011,11,"France"
-4.37137,48.33093,2011,11,"France"
-4.61092,48.60584,2010,2,"France"
-3.01943,48.82352,2010,3,"France"
-3.01943,48.82352,2010,3,"France"
-3.0203,48.82348,2010,3,"France"
-4.38765,48.32039,2010,4,"France"
-3.88413,47.79177,2010,4,"France"
-4.38765,48.32039,2010,4,"France"
-4.3653,48.31355,2010,4,"France"
-5.032855,50.176754,2010,4,"United Kingdom of Great Britain and Northern Ireland"
-5.032798,50.175856,2010,4,"United Kingdom of Great Britain and Northern Ireland"
-3.13253,47.33133,2010,4,"France"
-3.13542,47.33152,2010,4,"France"
-3.33512,47.70265,2010,4,"France"
-4.37117,48.32195,2010,4,"France"
-2.93448,47.5258,2010,4,"France"
-4.3653,48.31355,2010,4,"France"
-3.88258,47.79177,2010,4,"France"
-4.3653,48.31355,2010,4,"France"
-5.048295,50.177249,2010,4,"United Kingdom of Great Britain and Northern Ireland"
-4.37117,48.32195,2010,4,"France"
-3.88577,47.79158,2010,4,"France"
-5.092079,50.096027,2010,4,"United Kingdom of Great Britain and Northern Ireland"
-5.042102,50.190006,2010,4,"United Kingdom of Great Britain and Northern Ireland"
-3.33045,47.70142,2010,4,"France"
-2.86983,47.52915,2010,4,"France"
-5.609651,54.46209,2010,5,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2010,5,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2010,5,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2010,5,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2010,5,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2010,5,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2010,5,"United Kingdom of Great Britain and Northern Ireland"
-6.192327,54.07155,2010,5,"United Kingdom of Great Britain and Northern Ireland"
-6.192327,54.07155,2010,5,"United Kingdom of Great Britain and Northern Ireland"
-4.417355,52.829383,2010,7,"United Kingdom of Great Britain and Northern Ireland"
-5.08119,55.54842,2010,8,"United Kingdom of Great Britain and Northern Ireland"
-3.40156,47.64542,2010,8,"France"
-3.87404,47.79655,2010,8,"France"
-3.85724,47.79491,2010,8,"France"
-3.41999,47.64054,2010,8,"France"
-2.93448,47.5258,2009,2,"France"
-2.93448,47.5258,2009,2,"France"
-2.93448,47.5258,2009,2,"France"
-2.93448,47.5258,2009,2,"France"
-2.90715,48.78729,2009,2,"France"
-2.93448,47.5258,2009,2,"France"
-3.88258,47.79177,2009,2,"France"
-3.88577,47.79158,2009,2,"France"
-3.88413,47.79177,2009,2,"France"
-4.3653,48.31355,2009,2,"France"
-2.93448,47.5258,2009,2,"France"
-3.96793,47.72847,2009,2,"France"
-3.88413,47.79177,2009,2,"France"
-3.13542,47.33152,2009,2,"France"
-4.3653,48.31355,2009,2,"France"
-4.00032,47.73497,2009,2,"France"
-2.93448,47.5258,2009,2,"France"
-3.96793,47.72847,2009,2,"France"
-2.93448,47.5258,2009,2,"France"
-3.88577,47.79158,2009,2,"France"
-3.88577,47.79158,2009,2,"France"
5.20467,43.4604,2009,4,"France"
5.20467,43.4604,2009,4,"France"
5.20467,43.4604,2009,4,"France"
3.01587,43.05096,2009,5,"France"
-5.609651,54.46209,2009,5,"United Kingdom of Great Britain and Northern Ireland"
3.01587,43.05096,2009,5,"France"
3.00553,43.07779,2009,5,"France"
-5.609651,54.46209,2009,5,"United Kingdom of Great Britain and Northern Ireland"
4.8106,43.35156,2009,5,"France"
3.00553,43.07779,2009,5,"France"
-5.609651,54.46209,2009,5,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2009,5,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2009,5,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2009,5,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2009,5,"United Kingdom of Great Britain and Northern Ireland"
3.00553,43.07779,2009,5,"France"
-5.609651,54.46209,2009,5,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2009,5,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2009,5,"United Kingdom of Great Britain and Northern Ireland"
-5.768767,54.81775,2009,6,"United Kingdom of Great Britain and Northern Ireland"
-5.780664,54.82755,2009,6,"United Kingdom of Great Britain and Northern Ireland"
-5.744958,54.81494,2009,6,"United Kingdom of Great Britain and Northern Ireland"
-5.768767,54.81775,2009,6,"United Kingdom of Great Britain and Northern Ireland"
-5.744958,54.81494,2009,6,"United Kingdom of Great Britain and Northern Ireland"
-5.780664,54.82755,2009,6,"United Kingdom of Great Britain and Northern Ireland"
-3.177238,58.83933,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.184381,58.845551,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.177238,58.83933,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.177238,58.83933,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.180794,58.841992,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.173592,58.833974,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.173592,58.833974,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.177238,58.83933,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.177238,58.83933,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.180794,58.841992,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.180794,58.841992,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.177208,58.838432,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.180794,58.841992,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.180794,58.841992,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.184381,58.845551,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.177208,58.838432,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.180794,58.841992,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.180794,58.841992,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.177238,58.83933,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.180794,58.841992,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.180794,58.841992,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.184381,58.845551,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.173592,58.833974,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.177208,58.838432,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.177238,58.83933,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.184381,58.845551,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.177208,58.838432,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.173592,58.833974,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.177238,58.83933,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.173592,58.833974,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.180794,58.841992,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.177208,58.838432,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.184381,58.845551,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.177238,58.83933,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-3.177238,58.83933,2009,7,"United Kingdom of Great Britain and Northern Ireland"
-5.76064,54.71743,2009,9,"United Kingdom of Great Britain and Northern Ireland"
-5.237946,51.740887,2009,9,"United Kingdom of Great Britain and Northern Ireland"
-5.76064,54.71743,2009,9,"United Kingdom of Great Britain and Northern Ireland"
-5.234797,51.737376,2009,9,"United Kingdom of Great Britain and Northern Ireland"
-5.237946,51.740887,2009,9,"United Kingdom of Great Britain and Northern Ireland"
-5.76064,54.71743,2009,9,"United Kingdom of Great Britain and Northern Ireland"
-5.76064,54.71743,2009,9,"United Kingdom of Great Britain and Northern Ireland"
-5.76064,54.71743,2009,9,"United Kingdom of Great Britain and Northern Ireland"
-5.76064,54.71743,2009,9,"United Kingdom of Great Britain and Northern Ireland"
2.997933,51.276299,2009,10,"Belgium"
3.1972,51.33582,2009,10,"Belgium"
-5.805681,54.66822,2008,2,"United Kingdom of Great Britain and Northern Ireland"
-5.805681,54.66822,2008,2,"United Kingdom of Great Britain and Northern Ireland"
-5.805681,54.66822,2008,2,"United Kingdom of Great Britain and Northern Ireland"
-5.805681,54.66822,2008,2,"United Kingdom of Great Britain and Northern Ireland"
-5.805681,54.66822,2008,2,"United Kingdom of Great Britain and Northern Ireland"
-3.13253,47.33133,2008,3,"France"
-3.88413,47.79177,2008,3,"France"
-2.93448,47.5258,2008,3,"France"
-3.13253,47.33133,2008,3,"France"
-3.96793,47.72847,2008,3,"France"
-3.13253,47.33133,2008,3,"France"
-2.93448,47.5258,2008,3,"France"
-3.13018,47.33117,2008,3,"France"
-3.13542,47.33152,2008,3,"France"
-1.19316,44.68583,2008,3,"France"
-2.93448,47.5258,2008,3,"France"
-2.93448,47.5258,2008,3,"France"
-2.93448,47.5258,2008,3,"France"
-3.13018,47.33117,2008,3,"France"
-3.88413,47.79177,2008,3,"France"
-2.93448,47.5258,2008,3,"France"
-1.66167,48.64195,2008,3,"France"
-3.13542,47.33152,2008,3,"France"
-3.13018,47.33117,2008,3,"France"
-2.93448,47.5258,2008,3,"France"
-1.10333,44.6775,2008,3,"France"
-2.93448,47.5258,2008,3,"France"
-2.93448,47.5258,2008,3,"France"
-3.13542,47.33152,2008,3,"France"
-5.713159,54.84175,2008,4,"United Kingdom of Great Britain and Northern Ireland"
-5.713159,54.84175,2008,4,"United Kingdom of Great Britain and Northern Ireland"
-4.197779,50.384454,2008,4,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2008,4,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2008,4,"United Kingdom of Great Britain and Northern Ireland"
-5.891784,54.62421,2008,4,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2008,4,"United Kingdom of Great Britain and Northern Ireland"
-7.224149,55.06669,2008,4,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2008,4,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2008,4,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2008,4,"United Kingdom of Great Britain and Northern Ireland"
-5.891784,54.62421,2008,4,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2008,4,"United Kingdom of Great Britain and Northern Ireland"
-7.224149,55.06669,2008,4,"United Kingdom of Great Britain and Northern Ireland"
-5.609651,54.46209,2008,4,"United Kingdom of Great Britain and Northern Ireland"
-0.933982,60.67224,2008,5,"United Kingdom of Great Britain and Northern Ireland"
-1.380965,50.876605,2008,5,"United Kingdom of Great Britain and Northern Ireland"
-3.33512,47.70265,2008,5,"France"
-0.933982,60.67224,2008,5,"United Kingdom of Great Britain and Northern Ireland"
-3.33045,47.70142,2008,5,"France"
-0.933982,60.67224,2008,5,"United Kingdom of Great Britain and Northern Ireland"
-3.33045,47.70142,2008,5,"France"
-3.33512,47.70265,2008,5,"France"
-3.32937,47.70352,2008,5,"France"
-1.380965,50.876605,2008,5,"United Kingdom of Great Britain and Northern Ireland"
-3.32937,47.70352,2008,5,"France"
-3.0211,48.8235,2008,5,"France"
-7.011918,55.19181,2008,5,"Ireland"
-3.32937,47.70352,2008,5,"France"
-0.933982,60.67224,2008,5,"United Kingdom of Great Britain and Northern Ireland"
-0.933982,60.67224,2008,5,"United Kingdom of Great Britain and Northern Ireland"
-7.011918,55.19181,2008,5,"Ireland"
-1.380965,50.876605,2008,5,"United Kingdom of Great Britain and Northern Ireland"
-7.011918,55.19181,2008,5,"Ireland"
-7.011918,55.19181,2008,5,"Ireland"
-7.011918,55.19181,2008,5,"Ireland"
-7.011918,55.19181,2008,5,"Ireland"
-1.380965,50.876605,2008,5,"United Kingdom of Great Britain and Northern Ireland"
-3.33045,47.70142,2008,5,"France"
-5.543344,54.35048,2008,6,"United Kingdom of Great Britain and Northern Ireland"
-5.543344,54.35048,2008,6,"United Kingdom of Great Britain and Northern Ireland"
-5.543344,54.35048,2008,6,"United Kingdom of Great Britain and Northern Ireland"
