"Longitude","Latitude","Year","Month","Country"
22.016399,60.136148,2023,5,"Finland"
11.663487,57.962392,2023,9,"Sweden"
11.544314,57.990571,2023,9,"Sweden"
24.879586,60.146007,2018,12,"Finland"
22.140932,60.343454,2017,6,"Finland"
22.106844,60.414458,2014,10,"Finland"
11.661925,58.114256,NA,NA,"Sweden"
4.95,52.95,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
5,52.6,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
5,52.6,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
5.65,51.55,2025,1,"Netherlands"
5.65,51.55,2025,1,"Netherlands"
4.95,52.95,2025,1,"Netherlands"
6.1,52,2025,1,"Netherlands"
4.44621,51.0601,2025,1,"Belgium"
4.65,52.05,2025,2,"Netherlands"
4.65,52.05,2025,2,"Netherlands"
4.65,52.05,2025,2,"Netherlands"
4.65,52.05,2025,2,"Netherlands"
3.6,51.5,2025,2,"Netherlands"
6.4,51.85,2025,2,"Netherlands"
6.4,51.85,2025,2,"Netherlands"
5.15,52.05,2025,2,"Netherlands"
5.75,53,2025,2,"Netherlands"
5.15,52.05,2025,2,"Netherlands"
5.2,52.4,2025,2,"Netherlands"
5.65,51.85,2025,2,"Netherlands"
5.65,51.85,2025,2,"Netherlands"
6.1,52,2025,2,"Netherlands"
4.44644,51.05898,2025,2,"Belgium"
3.28057,51.25236,2025,2,"Belgium"
3.22734,51.19397,2025,2,"Belgium"
4.30051,51.2694,2025,2,"Belgium"
30.341633,46.480599,2025,3,"Ukraine"
4.3,51.75,2025,3,"Netherlands"
4.85,52.4,2025,3,"Netherlands"
6,51.1,2025,3,"Netherlands"
6.05,51.1,2025,3,"Netherlands"
4.45,52.15,2025,3,"Netherlands"
5.85,51.95,2025,3,"Netherlands"
