"Longitude","Latitude","Year","Month","Country"
-0.32,39.45,2020,7,"Spain"
-0.31,39.44,2020,7,"Spain"
2.483333,41.55,2020,NA,"Spain"
2.483333,41.55,2019,NA,"Spain"
2.483333,41.55,2018,NA,"Spain"
2.483333,41.55,2017,NA,"Spain"
2.491944,41.551944,2016,NA,"Spain"
2.491944,41.551944,2015,NA,"Spain"
2.491944,41.551944,2014,NA,"Spain"
-8.675278,37.092778,2013,NA,"Portugal"
-8.675278,37.092778,2011,9,"Portugal"
2.491111,41.551944,2010,NA,"Spain"
13.534167,43.616667,2008,9,"Italy"
13.534167,43.616667,2007,NA,"Italy"
8.941389,44.375,2005,7,"Italy"
9.0075,44.385278,2005,7,"Italy"
0.44,40.4,2004,3,"Spain"
-0.33,39.42,2004,5,"Spain"
16.901944,41.165833,2004,9,"Italy"
-0.69,37.97,2003,7,"Spain"
-0.15,38.54,2003,7,"Spain"
-0.15,38.54,2003,7,"Spain"
16.902222,41.166111,2003,8,"Italy"
-0.15,38.54,2003,9,"Spain"
22.820158,39.274181,2003,10,"Greece"
0.08,40.04,2003,11,"Spain"
0.08,40.04,2003,11,"Spain"
-0.69,37.97,2002,7,"Spain"
10.102778,44.004444,2001,6,"Italy"
10.102778,44.004444,2000,6,"Italy"
10.102778,44.004722,1998,8,"Italy"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,8,"France"
-1.64,43.41,2021,9,"France"
3.169,42.487,2017,5,"France"
3.169,42.487,2017,5,"France"
15.1648,37.5653,2014,9,"Italy"
7.31,43.69,2011,7,"France"
2.7996,41.6686,2009,10,"Spain"
2.7994,41.6663,2009,10,"Spain"
2.7962,41.6666,2009,10,"Spain"
7.43,43.75,NA,NA,"Monaco"
13.6,45.14,NA,NA,"Croatia"
13.9,44.8,NA,NA,"Croatia"
13.65,45.07,NA,NA,"Croatia"
13.63,45.1,NA,NA,"Croatia"
13.72,45,NA,NA,"Croatia"
13.58,45.2,NA,NA,"Croatia"
18.12,42.62,NA,NA,"Croatia"
18.12,42.62,NA,NA,"Croatia"
18.1,42.64,NA,NA,"Croatia"
18.1,42.64,NA,NA,"Croatia"
