"Longitude","Latitude","Year","Month","Country"
23.20336,59.922728,2020,6,"Finland"
1.6763,41.2,2020,9,"Spain"
24.442601,59.934438,2019,5,"Finland"
23.677022,59.898023,2019,NA,"Finland"
2.8076,41.6774,2018,1,"Spain"
3.2194,41.9368,2018,5,"Spain"
1.6726,41.1981,2018,6,"Spain"
3.2173,41.9247,2018,8,"Spain"
3.2172,41.9248,2018,8,"Spain"
1.6729,41.1973,2018,12,"Spain"
3.2164,41.9191,2018,12,"Spain"
1.4285,41.1496,2017,4,"Spain"
1.4147,41.1435,2017,6,"Spain"
-6.3873,36.7677,2017,7,"Spain"
-6.3873,36.7677,2017,7,"Spain"
3.1589,41.8595,2017,8,"Spain"
2.9492,41.7311,2017,8,"Spain"
2.8076,41.6774,2017,11,"Spain"
1.6542,41.1954,2016,5,"Spain"
3.3693,39.5562,2016,8,"Spain"
-8.7829,42.3957,2016,8,"Spain"
-1.0736,37.584,2016,9,"Spain"
0.0987,38.672,2016,10,"Spain"
2.5331,39.486,2015,6,"Spain"
-6.2678,36.5815,2015,8,"Spain"
1.394,38.8398,2015,8,"Spain"
1.6726,41.198,2014,5,"Spain"
2.59,39.534,2014,7,"Spain"
2.4577,39.5321,2014,8,"Spain"
1.652,41.1956,2014,8,"Spain"
3.1859,42.3518,2014,9,"Spain"
8.3905,38.9918,2014,9,"Italy"
-0.7371,37.6835,2013,7,"Spain"
-0.6936,37.6345,2013,7,"Spain"
1.6726,41.198,2013,7,"Spain"
-0.6935,37.6344,2013,7,"Spain"
-0.7402,37.67,2013,8,"Spain"
-0.6995,37.6337,2013,10,"Spain"
25.391212,60.25234,2012,5,"Finland"
2.4715,39.462,2012,6,"Spain"
1.4136,41.1431,2004,8,"Spain"
11.157375,42.605164,2025,1,"Italy"
-2.807625,48.592886,2025,1,"France"
-5.055947,50.147742,2025,1,"United Kingdom of Great Britain and Northern Ireland"
-4.010359,48.724582,2025,1,"France"
19.088347,42.102265,2025,1,"Montenegro"
11.152649,42.644961,2025,1,"Italy"
-9.166369,38.682396,2025,1,"Portugal"
-5.065164,50.1449,2025,2,"United Kingdom of Great Britain and Northern Ireland"
-5.068565,50.142473,2025,2,"United Kingdom of Great Britain and Northern Ireland"
-9.361837,38.688747,2025,2,"Portugal"
0.47002,40.462688,2025,2,"Spain"
0.031412,38.631675,2025,2,"Spain"
-4.164947,53.221064,2025,2,"United Kingdom of Great Britain and Northern Ireland"
-4.12591,50.35591,2025,2,"United Kingdom of Great Britain and Northern Ireland"
13.835538,44.850842,2025,2,"Croatia"
13.813689,44.860199,2025,2,"Croatia"
13.834118,44.850432,2025,2,"Croatia"
0.031585,38.631874,2025,2,"Spain"
0.031401,38.631611,2025,2,"Spain"
-4.16379,53.220989,2025,2,"United Kingdom of Great Britain and Northern Ireland"
3.2152,39.740919,2025,2,"Spain"
-2.484772,48.641163,2025,2,"France"
-15.436988,28.139514,2025,2,"Spain"
-4.12735,50.356819,2025,3,"United Kingdom of Great Britain and Northern Ireland"
-3.584485,48.782873,2025,3,"France"
-2.783381,56.065175,2025,3,"United Kingdom of Great Britain and Northern Ireland"
