"Longitude","Latitude","Year","Month","Country"
-2.246114,48.639871,2025,4,"France"
-2.246243,48.639935,2025,4,"France"
-2.11367,49.1743,2024,2,"Jersey"
3.21224,51.27029,2024,2,"Belgium"
3.9,51.7,2024,4,"Netherlands"
-5.651375,54.49358,2024,7,"United Kingdom of Great Britain and Northern Ireland"
-5.67325,54.665437,2024,7,"United Kingdom of Great Britain and Northern Ireland"
-5.651308,54.493603,2024,7,"United Kingdom of Great Britain and Northern Ireland"
-5.651272,54.493592,2024,7,"United Kingdom of Great Britain and Northern Ireland"
-5.651375,54.49358,2024,7,"United Kingdom of Great Britain and Northern Ireland"
-5.628553,54.415491,2024,7,"United Kingdom of Great Britain and Northern Ireland"
-5.67325,54.665437,2024,7,"United Kingdom of Great Britain and Northern Ireland"
-5.651272,54.493592,2024,7,"United Kingdom of Great Britain and Northern Ireland"
-5.628553,54.415491,2024,7,"United Kingdom of Great Britain and Northern Ireland"
-5.651308,54.493603,2024,7,"United Kingdom of Great Britain and Northern Ireland"
-2.529831,47.38697,2024,9,"France"
-1.979144,48.568796,2023,5,"France"
-0.2702,49.34041,2023,6,"France"
-2.175458,49.169857,2023,7,"Jersey"
-0.2702,49.34041,2023,7,"France"
3.75,51.65,2023,8,"Netherlands"
-2.52363,47.28644,2023,8,"France"
-1.72389,49.67972,2023,8,"France"
3.35626,51.35787,2023,8,"Belgium"
3.35646,51.35793,2023,8,"Belgium"
-4.115608,51.211832,2023,9,"United Kingdom of Great Britain and Northern Ireland"
-5.649472,54.491112,2023,9,"United Kingdom of Great Britain and Northern Ireland"
-2.01798,48.59619,2022,2,"France"
-1.98165,48.57114,2022,2,"France"
4.921123,43.421291,2022,3,"France"
4.917733,43.422662,2022,3,"France"
-2.53153,47.36521,2022,5,"France"
3.20088,51.33329,2022,5,"Belgium"
-2.53168,47.36425,2022,6,"France"
-3.583153,48.78329,2022,7,"France"
-2.54824,47.29383,2022,7,"France"
-2.02022,48.60343,2022,7,"France"
-4.64344,48.30466,2022,7,"France"
-4.132024,50.365078,2022,8,"United Kingdom of Great Britain and Northern Ireland"
3.2022,51.33329,2022,8,"Belgium"
-5.649673,54.491313,2022,9,"United Kingdom of Great Britain and Northern Ireland"
-3.101542,47.487381,2022,9,"France"
-3.101542,47.487381,2022,9,"France"
-3.101542,47.487381,2022,9,"France"
-5.649673,54.491313,2022,9,"United Kingdom of Great Britain and Northern Ireland"
-4.677659,51.696857,2022,10,"United Kingdom of Great Britain and Northern Ireland"
