"Longitude","Latitude","Year","Month","Country"
2.926554,51.239066,2025,1,"Belgium"
8.595128,54.345377,2025,1,"Germany"
0.518868,52.96803,2025,1,"United Kingdom of Great Britain and Northern Ireland"
2.584767,51.103134,2025,1,"Belgium"
3.100855,51.309478,2025,1,"Belgium"
4.322545,52.143061,2025,1,"Netherlands"
4.323863,52.143932,2025,1,"Netherlands"
4.327997,52.147218,2025,1,"Netherlands"
2.908017,51.231764,2025,1,"Belgium"
4.438928,52.258808,2025,1,"Netherlands"
4.437758,52.257572,2025,1,"Netherlands"
2.517225,51.080819,2025,1,"France"
4.7,52.95,2025,1,"Netherlands"
2.441558,51.062558,2025,1,"France"
3.6,51.4,2025,1,"Netherlands"
3.75,51.7,2025,1,"Netherlands"
4.55,52.45,2025,1,"Netherlands"
4.5,52.35,2025,1,"Netherlands"
5.8,53.45,2025,1,"Netherlands"
6.685328,53.609156,2025,1,"Germany"
6.698913,53.567778,2025,1,"Germany"
0.329961,53.253341,2025,1,"United Kingdom of Great Britain and Northern Ireland"
2.470216,51.068596,2025,1,"France"
8.314018,54.649192,2025,1,"Germany"
6.6599,53.58187,2025,1,"Germany"
4.8,53,2025,1,"Netherlands"
4.2,52.05,2025,1,"Netherlands"
4.8,53,2025,1,"Netherlands"
8.669219,54.265254,2025,1,"Germany"
4.8,53,2025,1,"Netherlands"
7.102243,53.683599,2025,1,"Germany"
7.589874,53.758938,2025,1,"Germany"
7.434212,53.73125,2025,1,"Germany"
7.374938,53.731267,2025,1,"Germany"
6.883161,53.667294,2025,1,"Germany"
6.883161,53.667294,2025,1,"Germany"
6.883161,53.667294,2025,1,"Germany"
5.05,53.3,2025,1,"Netherlands"
4.8,53.15,2025,1,"Netherlands"
4.8,53.15,2025,1,"Netherlands"
4.75,53.1,2025,1,"Netherlands"
4.4,52.2,2025,1,"Netherlands"
4.35,52.2,2025,1,"Netherlands"
7.363865,53.725142,2025,1,"Germany"
4.5,52.35,2025,1,"Netherlands"
4.55,52.45,2025,1,"Netherlands"
4.8,53,2025,1,"Netherlands"
4.35,52.2,2025,1,"Netherlands"
3.75,51.7,2025,1,"Netherlands"
6.951285,53.678186,2025,1,"Germany"
3.21358,51.27135,2025,1,"Belgium"
3.23307,51.34327,2025,1,"Belgium"
2.6632,51.11141,2025,1,"Belgium"
2.68753,51.13947,2025,1,"Belgium"
2.67538,51.13325,2025,1,"Belgium"
2.54654,51.08946,2025,1,"Belgium"
2.92664,51.23973,2025,1,"Belgium"
2.7194,51.15399,2025,1,"Belgium"
2.9326,51.24113,2025,1,"Belgium"
2.93583,51.24181,2025,1,"Belgium"
3.17897,51.33347,2025,1,"Belgium"
2.57274,51.09868,2025,1,"Belgium"
2.93081,51.23927,2025,1,"Belgium"
2.93031,51.24044,2025,1,"Belgium"
3.03448,51.28138,2025,1,"Belgium"
3.03447,51.28139,2025,1,"Belgium"
2.93786,51.24396,2025,1,"Belgium"
3.23023,51.34344,2025,1,"Belgium"
3.09322,51.06601,2025,1,"Belgium"
3.22622,51.34448,2025,1,"Belgium"
2.86254,51.20968,2025,1,"Belgium"
2.94611,51.24499,2025,1,"Belgium"
2.92755,51.23868,2025,1,"Belgium"
2.74973,51.16214,2025,1,"Belgium"
2.7499,51.16203,2025,1,"Belgium"
2.68448,51.13905,2025,1,"Belgium"
2.93028,51.23932,2025,1,"Belgium"
2.93402,51.24046,2025,1,"Belgium"
2.9342,51.24054,2025,1,"Belgium"
2.9282,51.23868,2025,1,"Belgium"
2.92802,51.2386,2025,1,"Belgium"
2.93434,51.24086,2025,1,"Belgium"
3.14759,51.3222,2025,1,"Belgium"
3.11496,51.31565,2025,1,"Belgium"
3.12137,51.31757,2025,1,"Belgium"
3.11391,51.31357,2025,1,"Belgium"
3.11496,51.31401,2025,1,"Belgium"
3.12542,51.31671,2025,1,"Belgium"
2.63206,51.12282,2025,1,"Belgium"
2.56192,51.09583,2025,1,"Belgium"
2.68502,51.13939,2025,1,"Belgium"
2.63595,51.12432,2025,1,"Belgium"
2.92811,51.2392,2025,1,"Belgium"
2.61078,51.11373,2025,1,"Belgium"
2.61025,51.11359,2025,1,"Belgium"
2.56786,51.0968,2025,1,"Belgium"
2.93982,51.24313,2025,1,"Belgium"
2.5648,51.09613,2025,1,"Belgium"
2.9957,51.26442,2025,1,"Belgium"
2.94512,51.24447,2025,1,"Belgium"
2.93642,51.24119,2025,1,"Belgium"
8.288941,54.875854,2025,1,"Germany"
8.516609,54.680965,2025,1,"Germany"
6.957585,53.673428,2025,1,"Germany"
7.085786,53.68819,2025,1,"Germany"
8.543953,54.67971,2025,1,"Germany"
8.288879,54.874588,2025,1,"Germany"
4.405586,52.222453,2025,2,"Netherlands"
4.552143,52.460098,2025,2,"Netherlands"
4.564699,52.46788,2025,2,"Netherlands"
4.415558,52.229892,2025,2,"Netherlands"
0.813604,52.976579,2025,2,"United Kingdom of Great Britain and Northern Ireland"
4.341932,52.158404,2025,2,"Netherlands"
4.45,52.3,2025,2,"Netherlands"
4.55,52.45,2025,2,"Netherlands"
7.413813,53.734967,2025,2,"Germany"
4.7,52.9,2025,2,"Netherlands"
8.18685,55.530127,2025,2,"Denmark"
6.674535,53.575348,2025,2,"Germany"
4.8,53.15,2025,2,"Netherlands"
4.15,52.05,2025,2,"Netherlands"
5.4,53.15,2025,2,"Netherlands"
4.55,52.45,2025,2,"Netherlands"
4.7,52.9,2025,2,"Netherlands"
3.55,51.55,2025,2,"Netherlands"
3.65,51.7,2025,2,"Netherlands"
3.65,51.65,2025,2,"Netherlands"
3.5,51.55,2025,2,"Netherlands"
3.5,51.55,2025,2,"Netherlands"
3.45,51.55,2025,2,"Netherlands"
3.9,51.8,2025,2,"Netherlands"
5.2,53.35,2025,2,"Netherlands"
4.4,52.2,2025,2,"Netherlands"
4.3,52.15,2025,2,"Netherlands"
2.448327,51.06257,2025,2,"France"
2.375337,51.050842,2025,2,"France"
7.884772,53.794353,2025,2,"Germany"
2.486167,51.072055,2025,2,"France"
2.485733,51.071922,2025,2,"France"
5.3,53.4,2025,2,"Netherlands"
4.45,52.3,2025,2,"Netherlands"
7.374965,53.731556,2025,2,"Germany"
3.75,51.7,2025,2,"Netherlands"
5.9,53.45,2025,2,"Netherlands"
5,53.3,2025,2,"Netherlands"
6.1,53.45,2025,2,"Netherlands"
4.55,52.45,2025,2,"Netherlands"
4.7,52.9,2025,2,"Netherlands"
2.487116,51.072724,2025,2,"France"
3.7,51.4,2025,2,"Netherlands"
3.7,51.4,2025,2,"Netherlands"
3.5,51.55,2025,2,"Netherlands"
4.55,52.45,2025,2,"Netherlands"
4.4,52.2,2025,2,"Netherlands"
4.75,53.1,2025,2,"Netherlands"
7.05,53.25,2025,2,"Netherlands"
4.65,52.75,2025,2,"Netherlands"
