"Longitude","Latitude","Year","Month","Country"
22.835087,40.642681,2024,11,"Greece"
-1.834122,38.210561,2021,4,"Spain"
-1.166818,37.989327,2020,11,"Spain"
-2.156496,47.278676,2016,NA,"France"
4.894304,52.517557,2008,4,"Netherlands"
4.934806,52.87648,2006,9,"Netherlands"
4.909562,52.867691,2006,9,"Netherlands"
-1.944529,46.697777,1996,NA,"France"
-2.035119,48.625858,NA,NA,"France"
-0.744618,45.303189,NA,NA,"France"
-2.957123,47.605581,NA,NA,"France"
-2.201003,47.270269,NA,NA,"France"
-2.055863,47.029362,NA,NA,"France"
0.3,41.47,2022,7,"Spain"
0.56,41.03,2022,8,"Spain"
0.89,41.84,2021,5,"Spain"
0.55,41.21,2021,9,"Spain"
0.56,40.94,2021,9,"Spain"
1.73,41.85,2020,6,"Spain"
1.85,41.77,2020,6,"Spain"
0.56,41.03,2020,7,"Spain"
0.67,41.12,2020,7,"Spain"
0.55,41.21,2020,7,"Spain"
0.55,41.21,2020,7,"Spain"
0.55,41.21,2020,7,"Spain"
0.55,41.3,2019,8,"Spain"
0.55,41.3,2019,8,"Spain"
0.55,41.21,2019,8,"Spain"
0.55,41.21,2019,8,"Spain"
0.55,41.21,2019,8,"Spain"
0.65,41.66,2019,8,"Spain"
0.65,41.66,2019,8,"Spain"
0.67,41.12,2019,8,"Spain"
0.56,40.94,2019,8,"Spain"
0.56,40.94,2019,8,"Spain"
0.56,41.03,2019,8,"Spain"
0.56,40.85,2019,8,"Spain"
0.65,41.66,2018,8,"Spain"
0.65,41.66,2018,8,"Spain"
0.56,40.94,2018,9,"Spain"
0.56,40.94,2018,9,"Spain"
0.56,41.03,2018,9,"Spain"
0.56,41.03,2018,9,"Spain"
0.56,40.85,2018,9,"Spain"
0.55,41.3,2018,9,"Spain"
0.55,41.3,2018,9,"Spain"
0.55,41.21,2018,9,"Spain"
0.55,41.21,2018,9,"Spain"
0.67,41.12,2018,9,"Spain"
0.55,41.21,2017,9,"Spain"
0.55,41.21,2017,9,"Spain"
0.67,41.12,2017,9,"Spain"
0.55,41.21,2017,9,"Spain"
0.55,41.21,2016,9,"Spain"
0.55,41.21,2016,9,"Spain"
1.36,42.3,2016,9,"Spain"
0.55,41.21,2015,8,"Spain"
0.55,41.21,2015,8,"Spain"
0.44,40.93,2015,8,"Spain"
0.67,41.12,2015,8,"Spain"
0.55,41.21,2014,9,"Spain"
0.55,41.21,2014,9,"Spain"
0.56,40.94,2014,9,"Spain"
0.44,40.93,2014,9,"Spain"
0.67,41.12,2014,9,"Spain"
0.67,41.12,2014,9,"Spain"
0.44,40.93,2013,8,"Spain"
0.67,41.12,2013,8,"Spain"
0.55,41.21,2013,8,"Spain"
0.66,41.57,2013,8,"Spain"
1.85,41.68,2011,6,"Spain"
1.86,41.59,2011,6,"Spain"
0.44,40.93,2011,7,"Spain"
1.97,41.77,2010,6,"Spain"
1.85,41.77,2010,6,"Spain"
1.85,41.77,2010,6,"Spain"
0.66,41.57,2010,6,"Spain"
1.97,41.77,2009,6,"Spain"
1.98,41.5,2008,6,"Spain"
0.89,41.84,2008,6,"Spain"
0.65,41.66,2008,6,"Spain"
0.66,41.57,2008,6,"Spain"
0.57,40.76,2008,8,"Spain"
0.57,40.67,2008,8,"Spain"
1.85,41.77,2007,6,"Spain"
1.73,41.76,2007,6,"Spain"
1.85,41.68,2007,6,"Spain"
1.85,41.68,2007,6,"Spain"
1.98,41.5,2007,6,"Spain"
2.33,41.95,2007,6,"Spain"
0.77,41.84,2007,8,"Spain"
1,41.93,2007,8,"Spain"
0.56,40.94,2006,9,"Spain"
0.56,40.85,2005,7,"Spain"
0.56,40.94,2005,7,"Spain"
0.44,40.93,2005,7,"Spain"
0.55,41.21,2003,8,"Spain"
0.56,40.94,2003,8,"Spain"
0.42,41.47,2002,8,"Spain"
0.77,41.75,2002,8,"Spain"
0.57,40.67,2002,9,"Spain"
0.55,41.21,2002,9,"Spain"
0.54,41.57,2002,NA,"Spain"
0.98,42.65,1946,3,"Spain"
0.55,41.21,NA,NA,"Spain"
0.44,40.93,NA,NA,"Spain"
0.56,41.03,NA,NA,"Spain"
0.67,41.12,NA,NA,"Spain"
0.55,41.21,NA,NA,"Spain"
