"Longitude","Latitude","Year","Month","Country"
26.850751,60.435983,2023,11,"Finland"
21.975704,60.244624,2019,6,"Finland"
-1.113351,52.673138,2025,1,"United Kingdom of Great Britain and Northern Ireland"
19.242366,50.150826,2025,1,"Poland"
-0.146967,51.008994,2025,1,"United Kingdom of Great Britain and Northern Ireland"
13.805233,52.247433,2025,1,"Germany"
5,52.6,2025,1,"Netherlands"
5,52.6,2025,1,"Netherlands"
5,52.6,2025,1,"Netherlands"
5.79872,51.09374,2025,1,"Belgium"
12.80954,55.37082,2025,1,"Sweden"
1.518604,43.52851,2025,2,"France"
1.599599,43.550777,2025,2,"France"
-2.688481,48.48225,2025,2,"France"
-3.467982,50.964749,2025,2,"United Kingdom of Great Britain and Northern Ireland"
18.105891,50.412744,2025,2,"Poland"
5,52.9,2025,2,"Netherlands"
5.55,52.3,2025,2,"Netherlands"
5.55,52.3,2025,2,"Netherlands"
5.55,52.3,2025,2,"Netherlands"
5.55,52.3,2025,2,"Netherlands"
5.55,52.3,2025,2,"Netherlands"
6.97167,51.193447,2025,2,"Germany"
4.6539,50.79396,2025,2,"Belgium"
18.9701,54.351215,2025,3,"Poland"
16.018667,53.585731,2025,3,"Poland"
10.367346,52.069624,2025,3,"Germany"
5,52.6,2025,3,"Netherlands"
8.304121,49.03517,2025,3,"Germany"
8.304093,49.035179,2025,3,"Germany"
8.303738,49.032037,2025,3,"Germany"
5,51.8,2025,3,"Netherlands"
5.9,50.8,2025,3,"Netherlands"
5.9,50.8,2025,3,"Netherlands"
13.05731,55.68402,2025,3,"Sweden"
12.95631,55.47874,2025,4,"Sweden"
30.759118,46.406083,2024,1,"Ukraine"
4.910772,45.525812,2024,1,"France"
-4.119879,50.383471,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-4.119897,50.383479,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-4.119947,50.383513,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-4.119947,50.383513,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-4.119947,50.383513,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-4.119947,50.383513,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-4.119947,50.383513,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-4.119952,50.38348,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-4.11996,50.383488,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-4.119942,50.383492,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-4.119912,50.383502,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-4.119925,50.383493,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-4.119918,50.383503,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-4.119928,50.383532,2024,1,"United Kingdom of Great Britain and Northern Ireland"
17.416041,54.438597,2024,1,"Poland"
5.3,52.15,2024,1,"Netherlands"
10.810853,53.263244,2024,1,"Germany"
5.05,52.85,2024,1,"Netherlands"
4.9,52.85,2024,1,"Netherlands"
-1.116363,52.670464,2024,1,"United Kingdom of Great Britain and Northern Ireland"
7.432075,46.937588,2024,1,"Switzerland"
-0.688119,52.649417,2024,2,"United Kingdom of Great Britain and Northern Ireland"
-4.119148,50.385643,2024,2,"United Kingdom of Great Britain and Northern Ireland"
-4.119447,50.385605,2024,2,"United Kingdom of Great Britain and Northern Ireland"
-2.542585,51.486349,2024,2,"United Kingdom of Great Britain and Northern Ireland"
5,52.9,2024,2,"Netherlands"
4.9,52.85,2024,2,"Netherlands"
5,52.6,2024,2,"Netherlands"
5,52.6,2024,2,"Netherlands"
5,52.6,2024,2,"Netherlands"
5.05,52.85,2024,2,"Netherlands"
12.877352,47.829976,2024,2,"Germany"
7.01117,47.01775,2024,2,"Switzerland"
5.72906,58.799637,2024,2,"Norway"
5.731784,58.783224,2024,2,"Norway"
3.31759,50.83917,2024,2,"Belgium"
3.31416,51.3603,2024,2,"Belgium"
4.27999,50.85947,2024,2,"Belgium"
7.022917,51.4258,2024,2,"Germany"
6.998369,51.544415,2024,2,"Germany"
9.078648,47.377921,2024,3,"Switzerland"
4.561822,52.452768,2024,3,"Netherlands"
-2.006821,48.48011,2024,3,"France"
9.919245,51.53561,2024,3,"Germany"
5.9,50.8,2024,3,"Netherlands"
-3.772625,51.58615,2024,3,"United Kingdom of Great Britain and Northern Ireland"
4.9,51.8,2024,3,"Netherlands"
5.2,51.95,2024,3,"Netherlands"
4.25,51.45,2024,3,"Netherlands"
5.8,51.7,2024,3,"Netherlands"
13.017643,47.846451,2024,3,"Austria"
13.02,47.85,2024,3,"Austria"
5.2,51.95,2024,3,"Netherlands"
4.8739,50.43585,2024,3,"Belgium"
6.891766,51.56057,2024,3,"Germany"
-3.84622,48.636662,2024,4,"France"
