"Longitude","Latitude","Year","Month","Country"
-5.67267,54.665562,2024,7,"United Kingdom of Great Britain and Northern Ireland"
-5.67267,54.665562,2024,7,"United Kingdom of Great Britain and Northern Ireland"
-6.239275,55.206659,2023,6,"United Kingdom of Great Britain and Northern Ireland"
-5.952096,54.969554,2023,6,"United Kingdom of Great Britain and Northern Ireland"
-6.658107,55.207101,2023,7,"United Kingdom of Great Britain and Northern Ireland"
-6.190804,54.051718,2023,8,"Ireland"
-5.812919,54.71053,2023,9,"United Kingdom of Great Britain and Northern Ireland"
-5.67026,54.664343,2023,9,"United Kingdom of Great Britain and Northern Ireland"
-6.239711,55.206688,2023,9,"United Kingdom of Great Britain and Northern Ireland"
-5.812919,54.71053,2023,11,"United Kingdom of Great Britain and Northern Ireland"
5.575178,58.932872,2022,8,"Norway"
5.574558,58.932556,2022,8,"Norway"
5.741034,58.975378,2022,9,"Norway"
5.983966,58.434008,2022,9,"Norway"
5.744861,58.972206,2022,9,"Norway"
5.598445,58.930679,2022,9,"Norway"
5.979447,58.447544,2022,9,"Norway"
4.985812,60.657783,2021,3,"Norway"
5.007299,60.639382,2021,3,"Norway"
-6.239027,55.206535,2021,9,"United Kingdom of Great Britain and Northern Ireland"
-6.239744,55.206691,2021,9,"United Kingdom of Great Britain and Northern Ireland"
-6.239027,55.206535,2021,9,"United Kingdom of Great Britain and Northern Ireland"
9.12126,58.644583,2019,8,"Norway"
8.623809,58.33929,2019,8,"Norway"
8.512085,58.265931,2019,8,"Norway"
8.954029,58.62538,2019,8,"Norway"
9.024664,58.583651,2019,8,"Norway"
9.238508,58.720799,2019,8,"Norway"
8.580761,58.323429,2019,8,"Norway"
6.280428,62.436879,2018,6,"Norway"
6.339366,62.436937,2018,6,"Norway"
5.607311,62.340875,2018,6,"Norway"
5.640198,62.341129,2018,6,"Norway"
6.036274,62.368456,2018,6,"Norway"
6.164302,62.4632,2018,6,"Norway"
6.116458,62.469072,2018,6,"Norway"
6.289357,62.435819,2018,6,"Norway"
5.640198,62.341129,2018,6,"Norway"
6.06944,62.349627,2018,6,"Norway"
5.897952,62.251369,2018,6,"Norway"
4.62,52.64,2017,1,"Netherlands"
5.360328,59.33285,2017,6,"Norway"
5.297743,59.282697,2017,6,"Norway"
5.288822,59.343144,2017,6,"Norway"
5.547977,59.275506,2017,6,"Norway"
5.29255,59.347981,2017,6,"Norway"
-4.642309,53.32017,2014,6,"United Kingdom of Great Britain and Northern Ireland"
5.746819,59.034489,2014,8,"Norway"
-4.154757,50.366371,2014,10,"United Kingdom of Great Britain and Northern Ireland"
-4.150379,50.362855,2013,9,"United Kingdom of Great Britain and Northern Ireland"
-2.959568,58.987522,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-4.167801,57.68549,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-2.974289,59.323294,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-3.299559,58.959408,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-3.296251,58.963932,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-2.97558,58.999976,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-3.544806,58.610898,2012,8,"United Kingdom of Great Britain and Northern Ireland"
-4.038499,57.683147,2012,8,"United Kingdom of Great Britain and Northern Ireland"
