"Longitude","Latitude","Year","Month","Country"
4.35,52.15,2025,1,"Netherlands"
2.91386,51.23805,2025,3,"Belgium"
4.05,51.95,2024,1,"Netherlands"
4.15,52.05,2024,3,"Netherlands"
3.33445,51.36438,2024,7,"Belgium"
4.5,52.45,2024,10,"Netherlands"
2.8395,51.19902,2024,10,"Belgium"
3.0713,51.30011,2024,10,"Belgium"
4.2,52.05,2023,1,"Netherlands"
3.05005,51.2877,2023,2,"Belgium"
2.491624,51.075809,2023,3,"France"
3.4,51.5,2023,4,"Netherlands"
3.55,51.4,2023,4,"Netherlands"
3.6,51.55,2023,6,"Netherlands"
2.60237,51.11152,2023,8,"Belgium"
4.45,52.3,2023,12,"Netherlands"
2.76337,51.16723,2022,1,"Belgium"
2.76334,51.1672,2022,1,"Belgium"
2.76305,51.16752,2022,1,"Belgium"
4.09779,51.23579,2022,2,"Belgium"
-3.097743,53.423792,2022,4,"United Kingdom of Great Britain and Northern Ireland"
3.35,51.35,2022,4,"Netherlands"
-3.094819,53.424223,2022,4,"United Kingdom of Great Britain and Northern Ireland"
-3.094819,53.424223,2022,4,"United Kingdom of Great Britain and Northern Ireland"
4.30997,51.24992,2022,5,"Belgium"
2.6064,51.11249,2022,8,"Belgium"
5,52.9,2022,11,"Netherlands"
5,52.9,2022,11,"Netherlands"
5,52.9,2022,11,"Netherlands"
5,52.9,2022,11,"Netherlands"
5,52.9,2022,11,"Netherlands"
3.23472,51.34476,2021,3,"Belgium"
2.91919,51.23771,2021,4,"Belgium"
2.91919,51.23771,2021,4,"Belgium"
2.91919,51.23771,2021,4,"Belgium"
2.91933,51.2376,2021,4,"Belgium"
2.91888,51.2378,2021,4,"Belgium"
2.60443,51.11174,2021,6,"Belgium"
2.61942,51.11739,2021,6,"Belgium"
2.60546,51.11172,2021,6,"Belgium"
2.59249,51.10722,2021,7,"Belgium"
10.394235,59.065156,2021,7,"Norway"
9.820958,58.973012,2021,7,"Norway"
2.62328,51.12025,2021,8,"Belgium"
4.30986,51.2655,2021,8,"Belgium"
4.3008,51.26417,2021,8,"Belgium"
2.60336,51.1111,2021,9,"Belgium"
12.051522,54.764444,2021,10,"Denmark"
3.21352,51.2719,2020,3,"Belgium"
3.06918,51.29622,2020,3,"Belgium"
2.62412,51.11857,2020,5,"Belgium"
2.62602,51.11947,2020,5,"Belgium"
2.59907,51.10963,2020,7,"Belgium"
2.62036,51.11842,2020,7,"Belgium"
2.62036,51.11847,2020,7,"Belgium"
4.4,52.25,2020,8,"Netherlands"
4.28606,51.30243,2020,9,"Belgium"
-3.062079,53.502318,2020,11,"United Kingdom of Great Britain and Northern Ireland"
3.68414,50.52067,2020,12,"Belgium"
3.17536,51.33922,2019,3,"Belgium"
4.39259,51.22444,2019,3,"Belgium"
3.17537,51.3392,2019,3,"Belgium"
3.17537,51.3392,2019,3,"Belgium"
4.9,52.85,2019,4,"Netherlands"
3.20228,51.33325,2019,6,"Belgium"
4.28079,51.29737,2019,8,"Belgium"
2.62475,51.11913,2019,8,"Belgium"
4.35,52.15,2019,10,"Netherlands"
3.1753,51.33943,2018,1,"Belgium"
4,51.95,2018,3,"Netherlands"
4.7,53,2018,4,"Netherlands"
4.25,52.1,2018,5,"Netherlands"
3.20219,51.3331,2018,6,"Belgium"
3.20141,51.33311,2018,6,"Belgium"
3.17628,51.33193,2018,7,"Belgium"
3.20714,51.2946,2017,3,"Belgium"
2.6201,51.11631,2017,5,"Belgium"
4.8,52.4,2016,3,"Netherlands"
3.17644,51.33461,2016,7,"Belgium"
3.17493,51.33546,2016,7,"Belgium"
2.93349,51.24036,2015,3,"Belgium"
3.20637,51.29364,2015,3,"Belgium"
5.4,53.15,2015,6,"Netherlands"
3.17639,51.33215,2015,9,"Belgium"
-2.978857,58.808653,2015,11,"United Kingdom of Great Britain and Northern Ireland"
8.22895,56.76466,2014,4,"Denmark"
2.92568,51.23628,2013,3,"Belgium"
8.22895,56.76466,2013,10,"Denmark"
8.22895,56.76466,2013,11,"Denmark"
8.22895,56.76466,2013,11,"Denmark"
8.22895,56.76466,2013,11,"Denmark"
8.22895,56.76466,2013,12,"Denmark"
19.5204,59.45351,2012,7,"Sweden"
19.5204,59.45351,2012,7,"Sweden"
19.19459,59.39679,2011,10,"Sweden"
-8.56339,57.814811,2010,5,"United Kingdom of Great Britain and Northern Ireland"
-8.56339,57.814811,2010,5,"United Kingdom of Great Britain and Northern Ireland"
2.56419,51.09571,2009,12,"Belgium"
26.679235,60.430446,2008,6,"Finland"
27.192827,60.290115,2008,9,"Finland"
4.082221,51.931715,2007,6,"Netherlands"
4.082221,51.931715,2006,5,"Netherlands"
11.4917,58.29795,1983,NA,"Sweden"
-6.804,61.772,2023,6,"Faroe Islands"
14.3975,56.0311,2019,NA,"Sweden"
14.39738,56.029582,2019,NA,"Sweden"
10.6262,59.662,2018,5,"Norway"
19.5189,59.4537,2012,7,"Sweden"
19.226,59.3858,2011,8,"Sweden"
