"Longitude","Latitude","Year","Month","Country"
24.018036,35.513826,2024,3,"Greece"
26.23509,35.043032,2024,5,"Greece"
24.474533,35.151935,2024,6,"Greece"
23.632797,35.232777,2024,6,"Greece"
25.752084,35.260335,2024,7,"Greece"
25.734282,35.255071,2024,7,"Greece"
23.989996,35.515165,2024,8,"Greece"
23.035353,36.525579,2024,9,"Greece"
24.381702,35.193185,2024,9,"Greece"
24.389448,35.190818,2024,9,"Greece"
24.380951,35.193062,2024,9,"Greece"
24.381959,35.193382,2024,9,"Greece"
24.389545,35.189731,2024,9,"Greece"
24.386465,35.19045,2024,9,"Greece"
26.271414,35.215867,2024,10,"Greece"
24.396227,35.186011,2024,10,"Greece"
24.544656,35.118894,2024,10,"Greece"
24.397682,35.188914,2024,10,"Greece"
24.74826,34.994744,2024,10,"Greece"
24.413319,35.173958,2024,10,"Greece"
22.86006,37.517281,2023,5,"Greece"
23.613336,37.958395,2023,5,"Greece"
24.472859,35.151083,2023,6,"Greece"
24.472859,35.151083,2023,6,"Greece"
23.744741,37.873128,2023,6,"Greece"
22.37827,36.681032,2023,7,"Greece"
26.263687,35.265205,2023,7,"Greece"
26.264232,35.262128,2023,7,"Greece"
23.067545,36.48761,2023,8,"Greece"
22.936334,37.524434,2023,8,"Greece"
23.014199,36.527539,2023,8,"Greece"
25.721817,35.264578,2023,11,"Greece"
24.063147,35.548938,2022,3,"Greece"
26.265485,35.100816,2022,4,"Greece"
22.473113,36.423884,2022,6,"Greece"
22.494949,36.61928,2022,6,"Greece"
22.583888,36.787291,2022,6,"Greece"
23.012883,36.52735,2022,7,"Greece"
22.937772,36.581268,2022,7,"Greece"
26.292346,35.291201,2022,7,"Greece"
26.292389,35.291733,2022,7,"Greece"
22.995257,36.522643,2022,8,"Greece"
22.534091,36.657932,2022,8,"Greece"
22.536349,36.719416,2022,8,"Greece"
23.014241,36.527638,2022,8,"Greece"
24.420815,35.166144,2022,8,"Greece"
26.014299,35.02021,2022,8,"Greece"
26.067898,35.021584,2022,8,"Greece"
26.263161,35.266443,2022,9,"Greece"
24.420442,35.1661,2022,10,"Greece"
26.266966,35.25524,2021,7,"Greece"
24.177246,35.502343,2021,9,"Greece"
23.677641,35.228992,2021,9,"Greece"
22.380211,36.642867,2021,11,"Greece"
23.030143,36.52722,2020,7,"Greece"
22.258901,36.844334,2020,8,"Greece"
25.734695,35.257237,2020,10,"Greece"
25.731707,35.257175,2020,10,"Greece"
25.857808,35.018055,2018,7,"Greece"
26.932751,35.416369,2018,7,"Greece"
24.9596,34.926,2018,7,"Greece"
24.8262,34.9359,2018,8,"Greece"
22.970829,36.472698,2018,9,"Greece"
22.971215,36.471556,2018,9,"Greece"
25.80548,34.999881,2017,9,"Greece"
