"Longitude","Latitude","Year","Month","Country"
8.299356,40.5956,2024,1,"Italy"
5.16454,43.400421,2023,10,"France"
-1.76715,43.34265,2016,12,"France"
4.13253,43.53636,2007,1,"France"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2015,1,"Spain"
-3.651625,40.36501,2014,12,"Spain"
-3.651625,40.36501,2014,12,"Spain"
-3.651625,40.36501,2014,12,"Spain"
-3.651625,40.36501,2014,12,"Spain"
-3.651625,40.36501,2014,12,"Spain"
-3.651625,40.36501,2014,12,"Spain"
-8.36,42.2,2010,3,"Spain"
-8.36,42.2,2010,3,"Spain"
-8.36,42.2,2010,3,"Spain"
-8.36,42.2,2010,3,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
-3.651625,40.36501,NA,NA,"Spain"
