"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Crete_seaway","Crete_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","RavennaM_seaway","RavennaM_geodesic"
43.399824,5.136604,2025,3,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,5.69,2013,1936,2204,708,2171,588
40.559116,-8.758983,2024,3,"Portugal","HUMAN_OBSERVATION",40.55,-8.84999999999999,7.76,3583,3023,3814,1901,3781,1790
36.995899,-7.975131,2024,6,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,3089,2970,3320,2029,3287,1899
37.004527,-7.988183,2024,7,"Portugal","HUMAN_OBSERVATION",36.95,-7.94999999999999,6.96,3089,2968,3320,2031,3287,1900
37.020389,-8.012431,2024,10,"Portugal","HUMAN_OBSERVATION",36.95,-8.04999999999999,8.52,3098,2977,3329,2038,3296,1908
43.52411,3.92994,2023,4,"France","HUMAN_OBSERVATION",43.45,3.95000000000001,8.41,2102,2027,2292,798,2259,683
43.42472,3.7,2023,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.25,2123,2046,2313,825,2280,709
43.42472,3.7,2023,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.25,2123,2046,2313,825,2280,709
43.42472,3.7,2023,5,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.25,2123,2046,2313,825,2280,709
51.33748,4.20502,2023,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5334,2440,5566,947,5533,977
43.42472,3.7,2023,6,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.25,2123,2046,2313,825,2280,709
43.42472,3.7,2023,6,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.25,2123,2046,2313,825,2280,709
43.01827,6.36259,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,1905,1827,2096,639,2063,508
43.4064,6.77364,2023,7,"France","HUMAN_OBSERVATION",43.35,6.75000000000001,6.56,1904,1811,2095,594,2062,466
43.40877,6.84209,2023,7,"France","HUMAN_OBSERVATION",43.35,6.85000000000001,6.57,1899,1804,2089,586,2056,458
40.565436,-8.756697,2023,8,"Portugal","HUMAN_OBSERVATION",40.65,-8.74999999999999,9.43,3595,3015,3827,1889,3794,1778
37.013447,-7.794993,2023,8,"Portugal","HUMAN_OBSERVATION",36.95,-7.74999999999999,8.12,3071,2950,3303,2016,3270,1885
43.399335,5.076908,2023,9,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,8.17,2013,1936,2204,708,2171,588
43.554038,4.017053,2023,10,"France","HUMAN_OBSERVATION",NA,NA,NA,2097,2026,2288,789,2255,675
44.754057,12.24729,2023,11,"Italy","HUMAN_OBSERVATION",44.75,12.35,8.13,1550,1507,131,128,33,33
44.754057,12.24729,2023,11,"Italy","HUMAN_OBSERVATION",44.75,12.35,8.13,1550,1507,131,128,33,33
52.684,4.632,2023,11,"Netherlands","HUMAN_OBSERVATION",52.65,4.55000000000001,6.71,5379,2516,5610,1029,5577,1077
52.76,4.64,2023,11,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5389,2520,5621,1034,5588,1084
43.462337,3.674873,2022,1,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,12.67,2123,2046,2313,825,2280,709
44.64203,-1.23974,2022,1,"France","HUMAN_OBSERVATION",44.65,-1.34999999999999,8.78,4546,2472,4778,1177,4745,1088
43.26841,3.51196,2022,1,"France","HUMAN_OBSERVATION",NA,NA,NA,2128,2054,2318,839,2285,722
52.205,4.39,2022,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5349,2492,5581,1002,5548,1044
44.64203,-1.23974,2022,3,"France","HUMAN_OBSERVATION",44.65,-1.34999999999999,8.78,4546,2472,4778,1177,4745,1088
43.42472,3.7,2022,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.25,2123,2046,2313,825,2280,709
43.42472,3.7,2022,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.25,2123,2046,2313,825,2280,709
48.56514,-4.59284,2022,4,"France","HUMAN_OBSERVATION",48.65,-4.54999999999999,9.96,4581,2842,4813,1415,4780,1374
43.42472,3.7,2022,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.25,2123,2046,2313,825,2280,709
40.950082,19.479998,2022,5,"Albania","HUMAN_OBSERVATION",NA,NA,NA,868,795,728,698,701,701
43.555278,4.022222,2022,5,"France","HUMAN_OBSERVATION",NA,NA,NA,2097,2025,2288,789,2255,675
