"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Bodo_seaway","Bodo_geodesic","Crete_seaway","Crete_geodesic","Gdynia_seaway","Gdynia_geodesic","Getxo_seaway","Getxo_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic","Roscoff_seaway","Roscoff_geodesic","SWC_seaway","SWC_geodesic","TZS_seaway","TZS_geodesic","Toralla_seaway","Toralla_geodesic"
60.170408,24.925127,2024,3,"Finland","MACHINE_OBSERVATION",60.15,25.05,7.28,2110,1676,2725,941,7297,2758,753,742,3334,2656,7529,1797,1347,801,1365,997,7496,1942,7496,1942,2669,2244,1207,814,114,106,3549,3035
60.173105,25.105165,2024,4,"Finland","MACHINE_OBSERVATION",NA,NA,NA,2116,1679,2731,940,7302,2761,756,746,3339,2660,7534,1800,1352,804,1371,1000,7501,1946,7501,1946,2675,2247,1213,817,120,110,3554,3039
60.186887,22.868685,2024,5,"Finland","MACHINE_OBSERVATION",NA,NA,NA,2003,1571,2618,884,7190,2767,686,687,3227,2557,7421,1744,1240,681,1258,882,7389,1887,7389,1887,2562,2134,1100,699,41,44,3441,2929
60.418421,22.248624,2024,5,"Finland","MACHINE_OBSERVATION",60.35,22.25,7.62,1997,1551,2612,854,7184,2788,693,692,3221,2540,7416,1747,1234,649,1252,855,7383,1888,7383,1888,2556,2111,1094,673,89,79,3436,2908
59.945715,20.893008,2024,6,"Åland Islands","MACHINE_OBSERVATION",NA,NA,NA,1913,1463,2528,870,7100,2753,630,627,3136,2453,7331,1678,1149,568,1168,769,7298,1817,7298,1817,2472,2023,1010,586,148,132,3351,2820
60.359437,25.641046,2023,4,"Finland","MACHINE_OBSERVATION",NA,NA,NA,2155,1715,2770,937,7342,2782,791,780,3378,2696,7573,1833,1392,835,1410,1034,7540,1979,7540,1979,2714,2283,1252,851,159,145,3593,3075
60.117492,24.739595,2022,8,"Finland","MACHINE_OBSERVATION",60.05,24.75,7.54,2089,1656,2704,943,7276,2747,734,724,3312,2636,7507,1779,1325,783,1344,978,7474,1924,7474,1924,2648,2224,1186,795,93,87,3527,3015
60.266906,25.836683,2021,3,"Finland","MACHINE_OBSERVATION",NA,NA,NA,2159,1721,2774,951,7346,2772,795,778,3383,2700,7578,1830,1396,845,1414,1042,7545,1977,7545,1977,2718,2289,1256,859,163,152,3598,3080
60.252518,25.742749,2021,9,"Finland","MACHINE_OBSERVATION",60.25,25.85,5.93,2159,1720,2774,953,7346,2770,795,777,3383,2699,7578,1829,1396,846,1414,1042,7545,1975,7545,1975,2718,2289,1256,859,163,152,3598,3080
60.425794,22.088839,2016,6,"Finland","MACHINE_OBSERVATION",60.35,22.05,8.7,1991,1541,2605,850,7177,2789,689,688,3214,2531,7409,1743,1227,639,1246,845,7376,1884,7376,1884,2550,2101,1087,662,95,88,3429,2899
54.819667,9.676942,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,1204,583,1818,1410,6390,2471,622,580,2427,1573,6622,1071,472,460,459,235,6589,1169,6589,1169,1763,1158,345,343,1074,988,2642,1943
53.975686,14.554087,2025,1,"Poland","HUMAN_OBSERVATION",54.05,14.55,8.28,1348,826,1963,1471,6535,2236,325,271,2571,1749,6766,951,584,578,603,470,6733,1079,6733,1079,1907,1413,445,441,841,833,2786,2161
53.975958,14.555333,2025,1,"Poland","HUMAN_OBSERVATION",54.05,14.55,8.25,1348,826,1963,1471,6535,2236,325,271,2571,1749,6766,951,584,578,603,470,6733,1079,6733,1079,1907,1413,445,441,841,833,2786,2161
51.27184,3.2136,2025,1,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,9.76,0,0,1963,1881,5233,2499,1576,1096,1269,1004,5464,1006,983,978,760,728,5431,1029,5431,1029,605,588,956,896,2006,1570,1484,1360
56.64586,12.88503,2025,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,1068,867,1683,1185,6255,2542,555,438,2291,1859,6486,1239,291,270,323,236,6453,1357,6453,1357,1627,1435,151,135,984,704,2506,2226
55.54983,12.90754,2025,1,"Sweden","HUMAN_OBSERVATION",55.55,12.85,3.62,1147,795,1762,1307,6334,2434,430,391,2370,1771,6565,1117,383,385,402,279,6532,1235,6532,1235,1706,1374,244,247,859,781,2585,2153
55.3677,12.81148,2025,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,1168,782,1782,1328,6354,2418,419,388,2391,1756,6586,1097,404,404,423,289,6553,1215,6553,1215,1726,1363,265,266,849,797,2606,2140
58.261862,6.814242,2025,1,"Norway","HUMAN_OBSERVATION",58.25,6.75000000000001,3.99,803,802,1248,1079,5971,2886,960,847,2007,1792,6202,1490,319,263,211,204,6169,1583,6169,1583,1343,1274,331,301,1390,961,2222,2087
59.901673,10.632945,2025,1,"Norway","HUMAN_OBSERVATION",59.85,10.55,7.39,Inf,1054,Inf,849,Inf,2922,Inf,775,Inf,2054,Inf,1607,Inf,113,Inf,340,Inf,1718,Inf,1718,Inf,1551,Inf,251,Inf,711,Inf,2364
59.37721,10.4669,2025,1,"Norway","HUMAN_OBSERVATION",NA,NA,NA,1006,1006,1540,902,6187,2878,878,740,2224,2008,6419,1556,69,67,281,288,6386,1666,6386,1666,1559,1510,205,203,1308,722,2439,2322
