"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Crete_seaway","Crete_geodesic","Getxo_seaway","Getxo_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","Plymouth_seaway","Plymouth_geodesic","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic","Roscoff_seaway","Roscoff_geodesic"
43.441772,3.695051,2025,1,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,10.85,3635,890,2123,2046,2802,540,4571,1802,4351,1555,3162,980,2280,709,2280,709,3032,838
43.441772,3.695051,2025,1,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,10.85,3635,890,2123,2046,2802,540,4571,1802,4351,1555,3162,980,2280,709,2280,709,3032,838
43.441772,3.695051,2025,1,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,10.85,3635,890,2123,2046,2802,540,4571,1802,4351,1555,3162,980,2280,709,2280,709,3032,838
43.513782,4.11836,2025,1,"France","HUMAN_OBSERVATION",43.55,4.05000000000001,6.83,3663,870,2097,2023,2830,572,4599,1772,4379,1526,3190,981,2255,673,2255,673,3060,844
48.537126,-1.969881,2025,2,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,13.88,538,479,4787,2672,824,595,1473,1426,1254,1182,245,244,4986,1197,4986,1197,158,141
52.819728,-4.501135,2025,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",52.85,-4.44999999999999,4.81,985,547,5004,3028,1100,1063,1694,1178,1587,975,431,277,5203,1544,5203,1544,504,461
43.424299,3.700209,2025,2,"France","HUMAN_OBSERVATION",43.35,3.75000000000001,9.2,3636,891,2115,2039,2803,548,4572,1800,4352,1553,3163,985,2272,701,2272,701,3033,843
43.428536,4.938376,2025,3,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,8.79,3680,900,2017,1947,2847,646,4616,1778,4396,1535,3207,1043,2175,607,2175,607,3077,911
53.173217,-8.967006,2025,3,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,1277,851,5033,3317,1292,1179,1791,1396,1684,1220,723,456,5231,1831,5231,1831,774,607
54.524845,-5.56892,2025,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,5.94,1163,690,5177,3188,1278,1261,1496,1129,1388,958,609,476,5376,1712,5376,1712,682,659
54.394287,-5.577297,2025,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.45,-5.54999999999999,6.45,1150,679,5164,3177,1265,1249,1508,1130,1400,956,596,464,5363,1701,5363,1701,669,647
