"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Galway_seaway","Galway_geodesic","Toralla_seaway","Toralla_geodesic"
39.938,3.1842,2020,7,"Spain","MACHINE_OBSERVATION",39.95,3.25000000000001,5.77,3099,1777,1874,1041
43.4358,-4.08,2018,7,"Spain","MACHINE_OBSERVATION",NA,NA,NA,1213,1169,567,407
42.0525,3.2093,2017,3,"Spain","MACHINE_OBSERVATION",NA,NA,NA,3251,1575,2026,990
42.1181,3.1581,2017,4,"Spain","MACHINE_OBSERVATION",NA,NA,NA,3264,1567,2038,986
42.1181,3.1581,2017,4,"Spain","MACHINE_OBSERVATION",NA,NA,NA,3264,1567,2038,986
37.9245,12.2787,2017,4,"Italy","MACHINE_OBSERVATION",NA,NA,NA,3792,2401,2567,1853
41.957,3.2323,2017,5,"Spain","MACHINE_OBSERVATION",NA,NA,NA,3240,1585,2015,993
39.7758,2.6655,2017,7,"Spain","MACHINE_OBSERVATION",39.85,2.65000000000001,8.37,3038,1762,1813,996
42.3732,3.1656,2016,4,"Spain","MACHINE_OBSERVATION",42.35,3.25000000000001,7.41,3287,1550,2062,991
41.8482,3.1135,2015,6,"Spain","MACHINE_OBSERVATION",41.75,3.15000000000001,11.34,3216,1601,1991,989
36.225,-5.3138,2014,7,"Spain","MACHINE_OBSERVATION",36.25,-5.24999999999999,6.37,2201,1922,976,730
36.225,-5.3138,2014,7,"Spain","MACHINE_OBSERVATION",36.25,-5.24999999999999,6.37,2201,1922,976,730
42.7122,9.4564,2008,9,"France","MACHINE_OBSERVATION",42.65,9.45000000000001,6.94,3702,1846,2477,1498
43.211503,5.352272,2025,2,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1577,2237,1161
43.374823,-2.549253,2025,2,"Spain","HUMAN_OBSERVATION",43.45,-2.54999999999999,8.37,1266,1212,688,527
36.695645,-2.84977,2025,2,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2421,1916,1195,798
42.464505,-8.941469,2025,2,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1227,1201,28,29
53.150978,-9.136246,2025,2,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,52,42,1280,1215
43.432792,-2.868625,2025,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1255,1204,663,501
36.083049,-5.764399,2025,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2135,1933,910,730
36.083008,-5.76435,2025,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2135,1933,910,730
42.239874,3.205231,2025,3,"Spain","HUMAN_OBSERVATION",42.25,3.15000000000001,4.69,3275,1554,2050,984
42.24093,3.202115,2025,3,"Spain","HUMAN_OBSERVATION",42.25,3.15000000000001,4.41,3275,1554,2050,984
43.186079,5.391441,2025,3,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1581,2229,1164
43.380161,-8.397383,2025,3,"Spain","HUMAN_OBSERVATION",43.45,-8.34999999999999,8.67,1119,1095,200,140
43.211283,5.352117,2025,3,"France","HUMAN_OBSERVATION",NA,NA,NA,3462,1577,2237,1161
43.424336,-2.720665,2025,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1259,1209,672,513
43.205365,5.427243,2025,3,"France","HUMAN_OBSERVATION",43.15,5.45000000000001,6.43,3461,1587,2235,1169
43.329115,5.099967,2025,3,"France","HUMAN_OBSERVATION",43.25,5.05000000000001,9.69,3444,1558,2219,1137
43.176849,5.370761,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
42.251096,3.180829,2025,4,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3275,1556,2050,986
37.897341,-8.798699,2025,4,"Portugal","HUMAN_OBSERVATION",37.85,-8.84999999999999,6.93,1744,1713,519,486
43.177661,5.372465,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
42.440814,3.167605,2025,4,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.85,3299,1541,2073,991
42.440814,3.167605,2025,4,"France","HUMAN_OBSERVATION",42.45,3.25000000000001,6.85,3299,1541,2073,991
43.424299,-2.720751,2025,4,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1259,1209,672,513
43.280333,5.285904,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1567,2231,1156
37.719516,-8.791535,2025,4,"Portugal","HUMAN_OBSERVATION",37.75,-8.84999999999999,6.17,1754,1724,529,497
37.720533,-8.792396,2025,4,"Portugal","HUMAN_OBSERVATION",37.75,-8.84999999999999,6.04,1754,1724,529,497
42.390605,3.161623,2025,4,"Spain","HUMAN_OBSERVATION",42.35,3.25000000000001,8.56,3287,1550,2062,991
43.377832,-8.447163,2025,4,"Spain","HUMAN_OBSERVATION",43.45,-8.44999999999999,8.04,1118,1094,192,138
43.198978,5.229778,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3449,1571,2223,1151
43.26024,5.289194,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.26024,5.289194,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.260982,5.290227,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.260982,5.290227,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.260945,5.290212,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
42.40469,3.157612,2025,4,"Spain","HUMAN_OBSERVATION",42.45,3.25000000000001,9.11,3299,1541,2073,991
42.404881,3.157969,2025,4,"Spain","HUMAN_OBSERVATION",42.45,3.25000000000001,9.08,3299,1541,2073,991
43.260587,5.290313,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.260587,5.290313,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.260587,5.290313,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.260587,5.290313,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.260587,5.290313,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.260587,5.290313,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.175689,5.385778,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1581,2229,1164
43.175689,5.385778,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1581,2229,1164
43.175689,5.385778,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1581,2229,1164
43.176732,5.370311,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
43.260581,5.289684,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.176738,5.370211,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1163
43.264119,5.286708,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
43.264119,5.286708,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,3456,1569,2231,1156
