"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","GulfofPiran_seaway","GulfofPiran_geodesic"
39.5328,2.3888,2020,6,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1132
39.5322,2.3893,2020,6,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1132
39.756,2.6199,2020,6,"Spain","MACHINE_OBSERVATION",39.75,2.55000000000001,6.02,2329,1106
39.8676,3.1489,2020,7,"Spain","MACHINE_OBSERVATION",39.85,3.25000000000001,8.86,2259,1053
39.9381,3.1837,2020,7,"Spain","MACHINE_OBSERVATION",39.95,3.25000000000001,5.81,2262,1046
39.4626,2.4724,2020,7,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2318,1132
39.9205,3.1503,2020,7,"Spain","MACHINE_OBSERVATION",39.95,3.25000000000001,9.12,2262,1046
39.938,3.1837,2020,7,"Spain","MACHINE_OBSERVATION",39.95,3.25000000000001,5.81,2262,1046
39.9381,3.1837,2020,7,"Spain","MACHINE_OBSERVATION",39.95,3.25000000000001,5.81,2262,1046
38.9552,1.2192,2020,7,"Spain","MACHINE_OBSERVATION",38.95,1.15000000000001,6.02,2417,1256
39.9162,4.0299,2020,8,"Spain","MACHINE_OBSERVATION",39.85,4.05000000000001,7.57,2191,1001
39.5733,2.3084,2020,11,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1135
39.929,3.99,2019,6,"Spain","MACHINE_OBSERVATION",39.85,3.95000000000001,9.43,2199,1008
37.099,-1.8464,2019,6,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2707,1589
40.0845,4.0994,2019,7,"Spain","MACHINE_OBSERVATION",40.05,4.15000000000001,5.77,2188,980
39.1151,1.518,2019,7,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2387,1220
36.7487,-3.2685,2019,8,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2849,1711
40.084,4.1001,2019,8,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2188,981
39.536,2.3766,2018,4,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1133
39.536,2.3766,2018,4,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1133
39.536,2.3766,2018,4,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1133
39.5738,2.3079,2018,5,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1135
38.996,1.2851,2018,5,"Spain","MACHINE_OBSERVATION",39.05,1.25000000000001,6.73,2416,1242
39.4621,2.4724,2018,5,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2318,1132
39.755,2.6191,2018,6,"Spain","MACHINE_OBSERVATION",39.75,2.55000000000001,5.94,2329,1106
39.161,2.917,2018,7,"Spain","MACHINE_OBSERVATION",39.15,2.85000000000001,5.91,2275,1130
36.7199,-4.3819,2018,8,"Spain","MACHINE_OBSERVATION",36.65,-4.34999999999999,8.29,2944,1793
36.7199,-4.3821,2018,8,"Spain","MACHINE_OBSERVATION",36.65,-4.34999999999999,8.29,2944,1793
37.2653,-1.754,2018,8,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2692,1571
36.7376,-3.7776,2018,9,"Spain","MACHINE_OBSERVATION",36.75,-3.84999999999999,6.6,2902,1751
36.7307,-3.7121,2018,9,"Spain","MACHINE_OBSERVATION",36.65,-3.74999999999999,9.6,2890,1751
36.7375,-3.7777,2018,9,"Spain","MACHINE_OBSERVATION",36.75,-3.84999999999999,6.6,2902,1751
39.8016,4.282,2018,9,"Spain","MACHINE_OBSERVATION",39.75,4.25000000000001,6.36,2170,996
36.7204,-4.3822,2018,9,"Spain","MACHINE_OBSERVATION",36.65,-4.34999999999999,8.35,2944,1793
36.7208,-3.7289,2017,1,"Spain","MACHINE_OBSERVATION",36.65,-3.74999999999999,8.1,2890,1751
39.529,2.4393,2017,1,"Spain","MACHINE_OBSERVATION",39.55,2.35000000000001,8.01,2330,1134
39.8721,3.1546,2017,1,"Spain","MACHINE_OBSERVATION",39.85,3.25000000000001,8.51,2259,1053
36.7044,-3.4049,2017,2,"Spain","MACHINE_OBSERVATION",36.65,-3.44999999999999,7.27,2863,1731
36.7272,-3.7356,2017,2,"Spain","MACHINE_OBSERVATION",36.65,-3.74999999999999,8.69,2890,1751
39.462,2.4715,2017,4,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2318,1132
39.462,2.4715,2017,5,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2318,1132
39.9409,3.1946,2017,5,"Spain","MACHINE_OBSERVATION",39.95,3.25000000000001,4.84,2262,1046
41.1973,1.6731,2017,5,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2423,1076
39.9433,3.2002,2017,5,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2262,1050
41.1973,1.6731,2017,6,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2423,1076
39.358,3.2204,2017,6,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2245,1091
39.417,3.2655,2017,6,"Spain","MACHINE_OBSERVATION",39.35,3.25000000000001,7.58,2245,1089
39.358,3.2204,2017,6,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2245,1091
39.417,3.2655,2017,6,"Spain","MACHINE_OBSERVATION",39.35,3.25000000000001,7.58,2245,1089
39.417,3.2655,2017,6,"Spain","MACHINE_OBSERVATION",39.35,3.25000000000001,7.58,2245,1089
35.515,12.6316,2017,7,"Italy","MACHINE_OBSERVATION",NA,NA,NA,1487,1114
39.572,2.3103,2017,8,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1135
39.5563,3.3709,2017,11,"Spain","MACHINE_OBSERVATION",39.55,3.45000000000001,6.83,2233,1062
39.462,2.4715,2017,12,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2318,1132
39.539,2.5927,2016,4,"Spain","MACHINE_OBSERVATION",39.55,2.65000000000001,5.07,2306,1114
36.8121,-2.565,2016,4,"Spain","MACHINE_OBSERVATION",36.75,-2.54999999999999,7.04,2786,1662
36.7193,-3.7274,2016,5,"Spain","MACHINE_OBSERVATION",36.65,-3.74999999999999,7.97,2890,1751
36.7258,-3.7253,2016,5,"Spain","MACHINE_OBSERVATION",36.65,-3.74999999999999,8.72,2890,1751
39.595,2.3364,2016,5,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1131
39.359,3.2157,2016,5,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2245,1091
39.534,2.59,2016,6,"Spain","MACHINE_OBSERVATION",39.55,2.65000000000001,5.45,2306,1114
39.534,2.59,2016,6,"Spain","MACHINE_OBSERVATION",39.55,2.65000000000001,5.45,2306,1114
39.536,2.3766,2016,6,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1133
37.6388,-0.6703,2016,7,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2582,1471
39.536,2.3766,2016,7,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1133
39.598,2.3389,2016,7,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1131
39.536,2.3766,2016,7,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1133
39.523,2.466,2016,8,"Spain","MACHINE_OBSERVATION",39.45,2.45000000000001,8.24,2318,1134
39.536,2.3766,2016,8,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1133
37.9239,12.2805,2016,8,"Italy","MACHINE_OBSERVATION",NA,NA,NA,1443,850
39.536,2.3766,2016,8,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1133
39.536,2.3766,2016,9,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1133
39.798,2.6787,2016,9,"Spain","MACHINE_OBSERVATION",39.85,2.65000000000001,6.29,2317,1093
39.535,2.3756,2016,9,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1133
39.535,2.3756,2016,9,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1133
41.0529,8.9366,2016,10,"Italy","MACHINE_OBSERVATION",41.05,8.85000000000001,7.28,1823,627
41.0529,8.9366,2016,10,"Italy","MACHINE_OBSERVATION",41.05,8.85000000000001,7.28,1823,627
39.327,3.1483,2016,10,"Spain","MACHINE_OBSERVATION",39.25,3.15000000000001,8.57,2251,1103
39.462,2.4715,2016,10,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2318,1132
