"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Getxo_seaway","Getxo_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","Plymouth_seaway","Plymouth_geodesic","Roscoff_seaway","Roscoff_geodesic"
50.420518,-3.557176,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.45,-3.44999999999999,8.28,500,475,833,791,5026,1380,78,51,195,196
50.357242,-4.126933,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,569,524,807,785,4991,1423,0,2,180,183
48.631008,-2.470238,2025,1,"France","HUMAN_OBSERVATION",48.65,-2.54999999999999,6.24,545,507,787,591,4982,1270,222,224,121,105
50.831754,-0.279984,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.75,-0.24999999999999,9.34,269,248,1008,850,5203,1179,307,280,349,350
50.420518,-3.557176,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.45,-3.44999999999999,8.28,500,475,833,791,5026,1380,78,51,195,196
50.833619,-0.284075,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.75,-0.24999999999999,9.61,269,248,1008,850,5203,1179,307,280,349,350
51.22991,2.906,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,4.5,25,24,1245,984,5439,1016,544,503,580,564
51.23966,2.92645,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.45,25,24,1245,984,5439,1016,544,503,580,564
51.34454,3.22691,2025,1,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,5.38,0,0,1269,1004,5464,1006,569,526,605,588
51.23864,2.9277,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.56,25,24,1245,984,5439,1016,544,503,580,564
51.31475,3.11377,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,5,1269,1000,5464,1005,569,523,605,584
51.31474,3.11377,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,5,1269,1000,5464,1005,569,523,605,584
51.31472,3.11379,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,5,1269,1000,5464,1005,569,523,605,584
