"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Eilat_seaway","Eilat_geodesic","Getxo_seaway","Getxo_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","Plymouth_seaway","Plymouth_geodesic","Roscoff_seaway","Roscoff_geodesic","Toralla_seaway","Toralla_geodesic"
36.704123,-2.863261,2025,1,"Spain","HUMAN_OBSERVATION",36.65,-2.84999999999999,6.14,2654,1701,19247,3595,1821,743,2810,1690,2181,1528,2051,1344,1195,802
38.580132,-9.201119,2025,3,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1894,1716,19051,4160,1061,742,3576,2028,1421,1369,1291,1202,435,407
39.29,-0.26,2024,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3105,1366,19697,3393,2272,505,2544,1329,2632,1268,2502,1089,1646,789
38.436984,-9.112523,2024,5,"Portugal","HUMAN_OBSERVATION",38.35,-9.14999999999999,10.22,1916,1736,19032,4155,1083,758,3552,2036,1443,1393,1313,1225,457,432
36.41335,-5.159444,2024,7,"Spain","HUMAN_OBSERVATION",36.35,-5.14999999999999,7.1,2448,1793,19042,3801,1614,797,3025,1869,1974,1559,1844,1377,989,724
37.181094,-6.976469,2024,8,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2239,1766,19012,3964,1406,762,3261,1945,1766,1482,1636,1305,780,581
43.556111,4.016667,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,3663,869,20255,3156,2830,570,2288,789,3190,979,3060,842,2204,1054
40.438492,-8.614991,2023,12,"Portugal","HUMAN_OBSERVATION",40.65,-8.74999999999999,26.17,1656,1501,19288,4129,823,561,3827,1889,1183,1138,1053,973,185,175
37.182149,-7.447209,2022,2,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,2195,1783,18987,4006,1361,780,3293,1979,1721,1488,1591,1312,736,572
40.579548,22.833557,2022,2,"Greece","HUMAN_OBSERVATION",NA,NA,NA,5482,1929,22075,1654,4649,2156,1683,932,5009,2356,4879,2295,4024,2635
40.525872,-8.780214,2022,2,"Portugal","HUMAN_OBSERVATION",40.55,-8.84999999999999,6.49,1665,1515,19275,4137,832,574,3814,1901,1192,1151,1062,986,195,187
40.502481,-8.78778,2022,2,"Portugal","HUMAN_OBSERVATION",40.55,-8.84999999999999,7.46,1665,1515,19275,4137,832,574,3814,1901,1192,1151,1062,986,195,187
