"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Plymouth_seaway","Plymouth_geodesic"
51.34913,3.22344,2024,6,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,5.11,569,526
51.36083,3.20807,2024,12,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,4.21,569,526
49.2108,-2.02169,2021,1,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,195,200
49.2104,-2.0223,2021,1,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,195,200
49.2104,-2.0223,2021,1,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,195,200
49.1665,-2.022,2021,2,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,203,204
51.20608,2.84963,2021,7,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,544,503
49.2068,-2.018469,2020,12,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,195,201
50.109625,-5.542911,2018,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.05,-5.54999999999999,6.66,119,106
50.124588,-5.527224,2018,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.05,-5.54999999999999,8.46,119,106
50.109625,-5.542911,2018,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.05,-5.54999999999999,6.66,119,106
54.134678,-10.0689,2018,9,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,787,582
54.143011,-10.066738,2018,9,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,787,582
51.37738,1.45258,2016,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,465,410
50.73008,-1.391399,2015,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.75,-1.44999999999999,4.69,222,196
50.73008,-1.391399,2015,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.75,-1.44999999999999,4.69,222,196
50.725613,-1.397124,2015,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.75,-1.44999999999999,4.61,222,196
50.114436,-5.533878,2019,9,"United Kingdom of Great Britain and Northern Ireland","MATERIAL_SAMPLE",50.05,-5.54999999999999,7.26,119,106
50.114436,-5.533878,2019,9,"United Kingdom of Great Britain and Northern Ireland","MATERIAL_SAMPLE",50.05,-5.54999999999999,7.26,119,106
50.109568,-5.543032,2018,4,"United Kingdom of Great Britain and Northern Ireland","MATERIAL_SAMPLE",50.05,-5.54999999999999,6.65,119,106
50.124531,-5.527345,2018,4,"United Kingdom of Great Britain and Northern Ireland","MATERIAL_SAMPLE",50.05,-5.54999999999999,8.45,119,106
50.124531,-5.527345,2018,4,"United Kingdom of Great Britain and Northern Ireland","MATERIAL_SAMPLE",50.05,-5.54999999999999,8.45,119,106
50.109568,-5.543032,2018,4,"United Kingdom of Great Britain and Northern Ireland","MATERIAL_SAMPLE",50.05,-5.54999999999999,6.65,119,106
50.109568,-5.543032,2018,5,"United Kingdom of Great Britain and Northern Ireland","MATERIAL_SAMPLE",50.05,-5.54999999999999,6.65,119,106
50.109568,-5.543032,2018,5,"United Kingdom of Great Britain and Northern Ireland","MATERIAL_SAMPLE",50.05,-5.54999999999999,6.65,119,106
54.134832,-10.06967,2018,9,"Ireland","MATERIAL_SAMPLE",NA,NA,NA,787,582
54.143164,-10.067507,2018,9,"Ireland","MATERIAL_SAMPLE",NA,NA,NA,787,582
54.143164,-10.067507,2018,9,"Ireland","MATERIAL_SAMPLE",NA,NA,NA,787,582
54.134832,-10.06967,2018,9,"Ireland","MATERIAL_SAMPLE",NA,NA,NA,787,582
50.262335,-3.860005,2017,3,"United Kingdom of Great Britain and Northern Ireland","MATERIAL_SAMPLE",NA,NA,NA,25,24
50.262335,-3.860005,2017,3,"United Kingdom of Great Britain and Northern Ireland","MATERIAL_SAMPLE",NA,NA,NA,25,24
55.23843,-1.537651,2017,9,"United Kingdom of Great Britain and Northern Ireland","MATERIAL_SAMPLE",NA,NA,NA,979,570
55.23843,-1.537651,2017,9,"United Kingdom of Great Britain and Northern Ireland","MATERIAL_SAMPLE",NA,NA,NA,979,570
58.956486,-2.971292,2014,7,"United Kingdom of Great Britain and Northern Ireland","MATERIAL_SAMPLE",59.05,-2.94999999999999,10.48,1229,970
58.956486,-2.971292,2014,7,"United Kingdom of Great Britain and Northern Ireland","MATERIAL_SAMPLE",59.05,-2.94999999999999,10.48,1229,970
