"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Bodo_seaway","Bodo_geodesic","Crete_seaway","Crete_geodesic","Galway_seaway","Galway_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","Koster_seaway","Koster_geodesic","Laeso_seaway","Laeso_geodesic","Plymouth_seaway","Plymouth_geodesic","SWC_seaway","SWC_geodesic","Svalbard_seaway","Svalbard_geodesic","TZS_seaway","TZS_geodesic","Toralla_seaway","Toralla_geodesic"
53.15729,-9.124868,2025,3,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,1268,861,2177,2024,5024,3326,52,43,5256,1844,1778,1406,1773,1362,714,462,1790,1406,3046,2956,2849,2102,1280,1215
54.6232,-5.531522,2025,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.65,-5.44999999999999,6.04,1173,684,1884,1760,5187,3183,516,322,5419,1689,1485,1112,1480,1073,620,485,1497,1116,2787,2749,2556,1810,1438,1403
53.17041,-8.988414,2024,2,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,1277,852,2190,2018,5033,3318,66,52,5264,1836,1791,1397,1786,1354,723,457,1803,1398,3060,2953,2862,2094,1288,1217
53.17028,-8.988948,2024,2,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,1277,852,2190,2018,5033,3318,66,52,5264,1836,1791,1397,1786,1354,723,457,1803,1398,3060,2953,2862,2094,1288,1217
49.581753,-1.261792,2024,3,"France","HUMAN_OBSERVATION",NA,NA,NA,380,370,2263,2161,4878,2663,906,717,5110,1202,1326,1307,1274,1184,247,225,1301,1241,3365,3266,2351,1931,1130,1003
55.314423,-7.340068,2024,4,"Ireland","HUMAN_OBSERVATION",55.35,-7.44999999999999,8.01,1349,833,1817,1759,5322,3332,340,278,5553,1839,1417,1186,1412,1166,795,597,1430,1204,2714,2696,2489,1884,1578,1462
43.467149,-3.773213,2024,4,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1249,1019,3122,2868,4339,2632,1223,1174,4571,1395,2185,1995,2133,1856,786,768,2159,1915,4055,3964,3209,2576,591,432
55.292948,-6.192822,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1254,761,1813,1722,5268,3259,435,325,5499,1766,1413,1118,1408,1093,700,565,1426,1132,2716,2687,2485,1816,1519,1465
55.258625,-6.190375,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1254,759,1813,1725,5268,3257,435,322,5499,1764,1413,1120,1408,1094,700,561,1426,1133,2716,2691,2485,1818,1519,1461
50.147656,-5.056799,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,626,594,2440,2199,4710,2937,625,474,4941,1481,1561,1421,1510,1325,72,69,1536,1379,3344,3240,2586,2085,961,926
55.258625,-6.190375,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1254,759,1813,1725,5268,3257,435,322,5499,1764,1413,1120,1408,1094,700,561,1426,1133,2716,2691,2485,1818,1519,1461
56.45114,12.5443,2024,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,1054,838,1669,1208,6241,2532,1845,1469,6472,1218,283,283,124,124,1577,1296,143,146,2774,2433,964,734,2492,2197
60.063679,5.44062,2024,7,"Norway","HUMAN_OBSERVATION",NA,NA,NA,987,981,991,920,6132,3093,1357,1197,6364,1706,567,347,562,455,1469,1237,580,449,2096,2058,1639,992,2384,2209
60.079729,5.46033,2024,7,"Norway","HUMAN_OBSERVATION",NA,NA,NA,987,983,991,918,6132,3094,1357,1199,6364,1707,567,347,562,455,1469,1240,580,449,2096,2056,1639,991,2384,2211
59.614719,5.52127,2024,7,"Norway","HUMAN_OBSERVATION",59.65,5.35000000000001,10.41,945,934,1031,964,6089,3059,1338,1168,6321,1665,525,339,520,430,1426,1196,537,430,2136,2105,1596,1004,2341,2167
60.822233,5.006639,2024,7,"Norway","HUMAN_OBSERVATION",60.85,4.95000000000001,4.36,1071,1064,894,854,6215,3180,1358,1225,6446,1797,655,409,650,535,1551,1298,668,523,2000,1974,1727,1013,2466,2269
61.463019,5.364201,2024,8,"Norway","HUMAN_OBSERVATION",61.45,5.45000000000001,4.79,1149,1133,859,783,6292,3219,1410,1287,6524,1850,733,425,728,568,1629,1369,745,549,1964,1905,1804,987,2544,2341
58.97153,5.85768,2024,8,"Norway","HUMAN_OBSERVATION",59.05,5.85000000000001,8.75,893,874,1106,1014,6039,2989,1348,1161,6271,1593,467,303,462,370,1376,1159,479,376,2212,2168,1538,988,2291,2128
