"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Plymouth_seaway","Plymouth_geodesic"
43.41729,4.972923,2025,1,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,7.72,3207,1043
43.441772,3.695051,2025,1,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,10.85,3162,980
43.441772,3.695051,2025,1,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,10.85,3162,980
43.513782,4.11836,2025,1,"France","HUMAN_OBSERVATION",43.55,4.05000000000001,6.83,3190,981
40.400782,22.899397,2025,2,"Greece","HUMAN_OBSERVATION",NA,NA,NA,5000,2372
43.424299,3.700209,2025,2,"France","HUMAN_OBSERVATION",43.35,3.75000000000001,9.2,3163,985
43.424299,3.700209,2025,2,"France","HUMAN_OBSERVATION",43.35,3.75000000000001,9.2,3163,985
43.428536,4.938376,2025,3,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,8.79,3207,1043
50.356458,-4.127133,2025,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,0,2
51.22699,2.94429,2025,3,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,7.05,544,503
51.22625,2.94367,2025,3,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,7.04,544,503
49.23398,-2.248399,2025,4,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,185,186
43.424711,3.700322,2025,4,"France","HUMAN_OBSERVATION",43.35,3.75000000000001,9.24,3163,985
54.493746,-5.651586,2025,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,6.26,609,476
48.639821,-2.246017,2025,4,"France","HUMAN_OBSERVATION",NA,NA,NA,235,237
51.26934,3.21353,2025,5,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,10.01,569,526
43.111769,3.122651,2024,3,"France","HUMAN_OBSERVATION",43.05,3.15000000000001,7.23,3127,986
45.434645,12.339233,2024,4,"Italy","HUMAN_OBSERVATION",45.35,12.35,9.46,5026,1351
