"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Crete_seaway","Crete_geodesic","Eilat_seaway","Eilat_geodesic","Getxo_seaway","Getxo_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","Laeso_seaway","Laeso_geodesic","Plymouth_seaway","Plymouth_geodesic","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic","Roscoff_seaway","Roscoff_geodesic"
43.441923,3.695003,2025,1,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,10.86,2123,2046,20227,3177,2802,540,2313,825,4519,1634,3162,980,2280,709,2280,709,3032,838
43.441923,3.695003,2025,1,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,10.86,2123,2046,20227,3177,2802,540,2313,825,4519,1634,3162,980,2280,709,2280,709,3032,838
43.429866,3.694929,2025,2,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.6,2123,2046,20227,3177,2802,540,2313,825,4519,1634,3162,980,2280,709,2280,709,3032,838
43.429866,3.689436,2025,2,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.45,2123,2046,20227,3177,2802,540,2313,825,4519,1634,3162,980,2280,709,2280,709,3032,838
43.424299,3.700209,2025,2,"France","HUMAN_OBSERVATION",43.35,3.75000000000001,9.2,2115,2039,20229,3169,2803,548,2305,817,4520,1632,3163,985,2272,701,2272,701,3033,843
43.411581,3.695379,2025,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,7.78,2123,2046,20227,3177,2802,540,2313,825,4519,1634,3162,980,2280,709,2280,709,3032,838
43.424754,3.700484,2025,4,"France","HUMAN_OBSERVATION",43.35,3.75000000000001,9.24,2115,2039,20229,3169,2803,548,2305,817,4520,1632,3163,985,2272,701,2272,701,3033,843
43.31723,3.55967,2024,1,"France","HUMAN_OBSERVATION",43.25,3.55000000000001,7.52,2128,2051,20215,3181,2789,533,2318,836,4506,1647,3149,985,2285,720,2285,720,3019,841
37.647499,-0.768513,2024,2,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2374,2328,19476,3417,2050,660,2590,1477,3768,2350,2411,1439,2558,1334,2558,1334,2280,1257
37.647499,-0.768513,2024,2,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2374,2328,19476,3417,2050,660,2590,1477,3768,2350,2411,1439,2558,1334,2558,1334,2280,1257
37.798978,-0.800796,2024,2,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2386,2330,19479,3421,2053,643,2596,1469,3771,2335,2414,1422,2563,1326,2563,1326,2283,1240
37.798978,-0.800796,2024,2,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2386,2330,19479,3421,2053,643,2596,1469,3771,2335,2414,1422,2563,1326,2563,1326,2283,1240
37.798978,-0.800796,2024,2,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2386,2330,19479,3421,2053,643,2596,1469,3771,2335,2414,1422,2563,1326,2563,1326,2283,1240
54.665478,-5.672805,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.75,-5.64999999999999,9.52,5204,3199,20875,4280,1305,1283,5436,1706,1467,1081,637,498,5403,1724,5403,1724,709,681
38.511403,-9.17246,2024,5,"Portugal","HUMAN_OBSERVATION",38.55,-9.24999999999999,8,3344,3066,19051,4164,1061,747,3576,2033,2778,2557,1421,1373,3543,1912,3543,1912,1291,1207
54.665478,-5.672805,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.75,-5.64999999999999,9.52,5204,3199,20875,4280,1305,1283,5436,1706,1467,1081,637,498,5403,1724,5403,1724,709,681
49.175746,-2.100143,2024,6,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,4775,2699,20458,3815,812,653,5007,1249,1367,1257,198,199,4974,1219,4974,1219,147,146
53.35,5.15,2024,6,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5463,2540,21145,3590,1500,1265,5695,1062,670,577,800,721,5662,1120,5662,1120,835,820
51.22624,2.94365,2024,7,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,7.04,5208,2509,20890,3595,1245,984,5439,1016,948,858,544,503,5407,1036,5407,1036,580,564
45.309657,12.315671,2024,8,"Italy","HUMAN_OBSERVATION",NA,NA,NA,1595,1549,22091,2651,4666,1240,101,101,6383,1332,5026,1351,105,96,105,96,4896,1292
43.425009,3.699976,2024,8,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.28,2123,2046,20227,3177,2802,540,2313,825,4519,1634,3162,980,2280,709,2280,709,3032,838
45.31677,12.316763,2024,8,"Italy","HUMAN_OBSERVATION",NA,NA,NA,1595,1550,22091,2651,4666,1241,101,100,6383,1331,5026,1351,105,96,105,96,4896,1292
43.420072,3.60323,2024,8,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,8.67,2123,2046,20227,3177,2802,540,2313,825,4519,1634,3162,980,2280,709,2280,709,3032,838
47.544953,-2.893042,2024,8,"France","HUMAN_OBSERVATION",NA,NA,NA,4572,2684,20254,3809,469,468,4803,1280,1761,1437,414,327,4770,1228,4770,1228,274,153
45.413737,12.378612,2024,8,"Italy","HUMAN_OBSERVATION",45.35,12.35,7.44,1595,1550,22091,2651,4666,1243,101,97,6383,1327,5026,1351,105,100,105,100,4896,1293
51.75,3.85,2024,8,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5296,2488,20978,3564,1333,1067,5528,995,869,773,632,582,5495,1028,5495,1028,668,651
44.664317,-1.179646,2024,9,"France","HUMAN_OBSERVATION",44.75,-1.14999999999999,9.82,4565,2460,20247,3590,220,217,4797,1159,2062,1632,715,664,4764,1071,4764,1071,575,491
