"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Laeso_seaway","Laeso_geodesic","Limfjord_seaway","Limfjord_geodesic","RavennaM_seaway","RavennaM_geodesic","SWC_seaway","SWC_geodesic"
51.4,3.7,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,1,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
69.91145,21.6055,2025,1,"Norway","HUMAN_OBSERVATION",NA,NA,NA,2027,1498,1925,1573,7716,2882,2045,1443
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
54.697008,-1.185472,2025,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,895,819,747,687,5780,1497,920,866
51.4,3.7,2025,3,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,3,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,3,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,3,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,3,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
51.4,3.7,2025,3,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,908,812,738,705,5463,1017,935,871
