"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Getxo_seaway","Getxo_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic"
50.795672,0.32781,2023,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1050,867,5245,1144,5212,1144,5212,1144
43.424162,3.70028,2023,6,"France","HUMAN_OBSERVATION",43.35,3.75000000000001,9.18,2803,548,2305,817,2272,701,2272,701
42.104358,11.766632,2023,6,"Italy","HUMAN_OBSERVATION",42.05,11.75,6.21,3249,1217,1682,412,1649,271,1649,271
51.35,3.75,2023,7,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,6.95,1363,1030,5558,967,5525,995,5525,995
51.35,3.75,2023,7,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,6.95,1363,1030,5558,967,5525,995,5525,995
58.8791,-3.15273,2023,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1869,1729,6000,1864,5967,1920,5967,1920
58.88111,-3.14278,2023,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1869,1729,6000,1864,5967,1920,5967,1920
43.404642,5.11317,2023,10,"France","HUMAN_OBSERVATION",NA,NA,NA,2866,659,2204,712,2171,592,2171,592
43.437885,5.19505,2023,11,"France","HUMAN_OBSERVATION",NA,NA,NA,2866,665,2204,705,2171,585,2171,585
43.437885,5.19505,2023,11,"France","HUMAN_OBSERVATION",NA,NA,NA,2866,665,2204,705,2171,585,2171,585
43.46278,5.2275,2023,11,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,6.42,2866,661,2204,708,2171,588,2171,588
51.04325,2.36981,2022,6,"France","HUMAN_OBSERVATION",51.05,2.25000000000001,8.42,1195,945,5390,1039,5357,1053,5357,1053
51.04325,2.36981,2022,9,"France","HUMAN_OBSERVATION",51.05,2.25000000000001,8.42,1195,945,5390,1039,5357,1053,5357,1053
43.413471,3.686044,2022,11,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,7.64,2802,540,2313,825,2280,709,2280,709
43.399566,5.073445,2021,11,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,8.36,2866,661,2204,708,2171,588,2171,588
50.791236,0.324752,2020,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1050,866,5245,1144,5212,1144,5212,1144
43.51769,4.13468,2015,1,"France","HUMAN_OBSERVATION",43.45,4.15000000000001,7.64,2824,580,2276,783,2243,667,2243,667
43.28059,3.51078,2015,6,"France","HUMAN_OBSERVATION",NA,NA,NA,2789,529,2318,838,2285,722,2285,722
43.5551,4.07935,2014,11,"France","HUMAN_OBSERVATION",NA,NA,NA,2830,575,2288,784,2255,670,2255,670
39.420124,23.110369,NA,NA,"Greece","MATERIAL_SAMPLE",NA,NA,NA,4534,2219,1568,1035,1536,1052,1536,1052
39.420124,23.110369,NA,NA,"Greece","MATERIAL_SAMPLE",NA,NA,NA,4534,2219,1568,1035,1536,1052,1536,1052
39.420124,23.110369,NA,NA,"Greece","MATERIAL_SAMPLE",NA,NA,NA,4534,2219,1568,1035,1536,1052,1536,1052
39.420124,23.110369,NA,NA,"Greece","MATERIAL_SAMPLE",NA,NA,NA,4534,2219,1568,1035,1536,1052,1536,1052
39.420124,23.110369,NA,NA,"Greece","MATERIAL_SAMPLE",NA,NA,NA,4534,2219,1568,1035,1536,1052,1536,1052
39.420124,23.110369,NA,NA,"Greece","MATERIAL_SAMPLE",NA,NA,NA,4534,2219,1568,1035,1536,1052,1536,1052
