"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Crete_seaway","Crete_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic"
44.664317,-1.179646,2024,9,"France","HUMAN_OBSERVATION",44.75,-1.14999999999999,9.82,4565,2460,4797,1159
43.510546,4.114081,2022,1,"France","HUMAN_OBSERVATION",43.55,4.05000000000001,6.79,2097,2023,2288,787
43.425053,3.699155,2022,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.25,2123,2046,2313,825
43.510338,4.113631,2022,8,"France","HUMAN_OBSERVATION",43.55,4.05000000000001,6.77,2097,2023,2288,787
53.465,6.755,2021,8,"Netherlands","HUMAN_OBSERVATION",53.55,6.75000000000001,9.47,5566,2481,5797,1019
43.53636,4.13253,2015,5,"France","HUMAN_OBSERVATION",43.55,4.05000000000001,6.83,2097,2023,2288,787
43.5551,4.07935,2014,1,"France","HUMAN_OBSERVATION",NA,NA,NA,2097,2021,2288,784
44.644646,-1.238035,2007,5,"France","HUMAN_OBSERVATION",44.65,-1.34999999999999,8.89,4546,2472,4778,1177
35.343153,25.136605,NA,NA,"Greece","OCCURRENCE",NA,NA,NA,0,0,1560,1494
38.436581,-9.114189,NA,NA,"Portugal","OCCURRENCE",38.35,-9.14999999999999,10.13,3321,3059,3552,2036
