"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Galway_seaway","Galway_geodesic","Getxo_seaway","Getxo_geodesic","Plymouth_seaway","Plymouth_geodesic","Roscoff_seaway","Roscoff_geodesic"
50.35603,-4.126947,2025,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,569,524,689,504,807,785,0,2,180,183
50.35591,-4.12591,2025,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,569,524,689,504,807,785,0,2,180,183
54.635372,-5.8656,2025,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,706,518,298,1295,1273,626,489,699,671
54.681474,-5.879478,2025,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,518,300,1295,1278,626,494,699,677
50.356817,-4.124061,2025,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,569,524,689,504,807,785,0,3,180,183
50.356056,-4.126611,2025,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,569,524,689,504,807,785,0,2,180,183
54.524995,-5.570492,2025,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,5.84,1163,690,527,306,1278,1261,609,476,682,659
54.681474,-5.879478,2025,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,518,300,1295,1278,626,494,699,677
54.635372,-5.8656,2025,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,706,518,298,1295,1273,626,489,699,671
54.524995,-5.570492,2025,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,5.84,1163,690,527,306,1278,1261,609,476,682,659
48.576754,-1.996214,2025,4,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,9.06,538,479,876,744,824,595,245,244,158,141
54.39388,-5.577946,2025,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.45,-5.54999999999999,6.5,1150,679,540,307,1265,1249,596,464,669,647
54.653333,-5.817978,2025,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,705,518,302,1295,1275,626,490,699,673
54.652959,-5.818803,2025,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,705,518,302,1295,1275,626,490,699,673
54.653681,-5.818259,2025,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,705,518,302,1295,1275,626,490,699,673
54.680663,-5.879033,2025,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,518,300,1295,1278,626,494,699,676
50.356173,-4.1275,2024,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,569,524,689,504,807,785,0,2,180,183
49.65641,-1.581658,2024,2,"France","HUMAN_OBSERVATION",49.75,-1.54999999999999,10.66,393,378,869,689,877,721,209,199,212,210
48.53653,-1.969686,2024,2,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,13.95,538,479,876,744,824,595,245,244,158,141
48.618713,-2.157536,2024,2,"France","HUMAN_OBSERVATION",NA,NA,NA,539,487,869,741,817,591,240,242,151,134
48.626661,-2.031924,2024,2,"France","HUMAN_OBSERVATION",NA,NA,NA,538,479,876,747,824,593,245,247,158,143
48.692765,-1.913796,2024,3,"France","HUMAN_OBSERVATION",48.65,-1.84999999999999,6.68,538,467,891,754,839,597,255,254,173,156
54.671801,-5.895607,2024,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,518,298,1295,1278,626,493,699,676
49.578788,-1.264338,2024,3,"France","HUMAN_OBSERVATION",NA,NA,NA,380,370,906,717,915,707,247,225,250,219
50.111484,-5.54095,2024,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.05,-5.54999999999999,6.87,673,631,570,459,776,771,119,106,187,188
54.671801,-5.895607,2024,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,518,298,1295,1278,626,493,699,676
54.52615,-5.567958,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,5.93,1163,690,527,306,1278,1261,609,476,682,659
54.681026,-5.879253,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,518,300,1295,1278,626,494,699,676
54.68057,-5.879795,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,518,300,1295,1278,626,494,699,676
54.653015,-5.818496,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,705,518,302,1295,1275,626,490,699,673
54.653697,-5.818167,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,705,518,302,1295,1275,626,490,699,673
54.52615,-5.567958,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.55,-5.64999999999999,5.93,1163,690,527,306,1278,1261,609,476,682,659
54.68042,-5.880505,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,518,300,1295,1278,626,494,699,676
54.68042,-5.880505,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,518,300,1295,1278,626,494,699,676
54.653015,-5.818496,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,705,518,302,1295,1275,626,490,699,673
54.681026,-5.879253,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,518,300,1295,1278,626,494,699,676
54.653697,-5.818167,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,705,518,302,1295,1275,626,490,699,673
54.68057,-5.879795,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,518,300,1295,1278,626,494,699,676
54.653515,-5.817938,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,705,518,302,1295,1275,626,490,699,673
54.653515,-5.817938,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,705,518,302,1295,1275,626,490,699,673
50.357954,-4.126849,2024,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,569,524,689,504,807,785,0,2,180,183
54.672267,-5.895642,2024,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,518,298,1295,1278,626,493,699,676
54.672267,-5.895642,2024,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,518,298,1295,1278,626,493,699,676
50.357954,-4.126849,2024,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,569,524,689,504,807,785,0,2,180,183
53.191675,-4.209431,2024,11,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.25,-4.04999999999999,12.45,1085,534,697,380,1200,1105,531,321,604,504
50.356117,-4.126814,2024,12,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,569,524,689,504,807,785,0,2,180,183
50.356117,-4.126814,2024,12,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,569,524,689,504,807,785,0,2,180,183
51.55,3.85,2023,1,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,6.92,73,60,1314,950,1340,1052,640,584,675,647
50.356396,-4.126498,2023,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,569,524,689,504,807,785,0,2,180,183
46.05232,-1.38355,2023,2,"France","HUMAN_OBSERVATION",NA,NA,NA,1060,677,1095,1002,331,328,597,522,457,355
47.13777,-2.24322,2023,2,"France","HUMAN_OBSERVATION",NA,NA,NA,937,611,972,865,433,427,474,386,334,218
47.602973,-2.757214,2023,3,"France","HUMAN_OBSERVATION",47.55,-2.84999999999999,9.13,877,606,912,801,469,468,414,328,274,154
49.58541,-1.23751,2023,3,"France","HUMAN_OBSERVATION",NA,NA,NA,380,368,906,718,915,708,247,227,250,221
54.100322,-6.255874,2023,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.05,-6.14999999999999,8.9,1112,696,626,254,1226,1213,558,432,631,612
54.100057,-6.255943,2023,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.05,-6.14999999999999,8.88,1112,696,626,254,1226,1213,558,432,631,612
47.70868,-3.36308,2023,3,"France","HUMAN_OBSERVATION",47.65,-3.34999999999999,6.61,836,625,871,770,482,480,373,308,232,127
54.664551,-5.670856,2023,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.75,-5.64999999999999,9.61,1191,700,501,316,1305,1283,637,498,709,681
54.71053,-5.812919,2023,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.65,-5.84999999999999,7.15,1180,706,518,300,1295,1275,626,490,699,673
49.289921,-1.930931,2023,4,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,470,428,859,701,831,667,200,200,165,162
50.576156,-3.467093,2023,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,504,473,762,525,844,805,89,54,206,210
54.672353,-5.895142,2023,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,710,518,298,1295,1278,626,493,699,676
