"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","Roscoff_seaway","Roscoff_geodesic","Toralla_seaway","Toralla_geodesic"
57.071286,10.044142,2025,1,"Denmark","HUMAN_OBSERVATION",56.95,10.35,22.93,944,780,218,219,199,79,1503,1326,2382,2128
40.525375,-8.780712,2025,1,"Portugal","HUMAN_OBSERVATION",40.55,-8.84999999999999,6.47,1665,1515,2601,2474,2381,2231,1062,986,195,187
51.239115,2.926431,2025,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.46,25,24,1002,998,778,748,580,564,1460,1337
50.850891,0.557098,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.85,0.65000000000001,6.53,194,184,1130,1115,910,870,411,408,1290,1199
53.451752,5.768284,2025,1,"Netherlands","HUMAN_OBSERVATION",53.55,5.75000000000001,11,304,302,687,679,463,428,878,866,1757,1656
50.437536,-3.557044,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.45,-3.44999999999999,7.71,500,475,1436,1322,1216,1092,195,196,1045,1001
50.781182,-1.061693,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,326,302,1262,1189,1042,951,309,311,1180,1119
52.042068,4.174962,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,106,105,884,877,660,626,700,686,1580,1464
52.96444,1.054815,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.05,1.05000000000001,9.53,242,237,906,901,692,668,719,597,1598,1409
55.562904,8.180225,2025,1,"Denmark","HUMAN_OBSERVATION",55.55,8.25000000000001,4.62,582,577,433,408,209,159,1150,1127,2030,1927
55.562904,8.180225,2025,1,"Denmark","HUMAN_OBSERVATION",55.55,8.25000000000001,4.62,582,577,433,408,209,159,1150,1127,2030,1927
51.104384,2.596599,2025,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,50,47,1021,1020,798,771,555,541,1435,1313
50.85108,0.564031,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.85,0.65000000000001,6.04,194,184,1130,1115,910,870,411,408,1290,1199
38.59893,-9.208841,2025,1,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1894,1715,2830,2681,2610,2436,1291,1200,435,405
50.611261,-3.400475,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,507,467,1443,1306,1223,1077,217,215,1068,1019
50.409858,-3.515835,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.45,-3.44999999999999,6.46,500,475,1436,1322,1216,1092,195,196,1045,1001
55.56823,8.079683,2025,1,"Denmark","HUMAN_OBSERVATION",NA,NA,NA,573,572,431,411,208,160,1142,1120,2021,1920
50.36642,-4.13127,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,569,524,1505,1360,1285,1132,180,184,1011,972
40.333136,-8.843854,2025,1,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,1688,1534,2623,2495,2404,2251,1084,1009,217,211
51.391888,0.934925,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",51.45,0.95000000000001,6.55,157,154,1054,1047,836,804,539,465,1419,1263
38.462379,23.5867,2025,1,"Greece","HUMAN_OBSERVATION",38.55,23.55,10.26,5338,2135,6274,2429,6054,2301,4735,2472,3879,2758
42.259283,-8.812204,2025,1,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1480,1359,2416,2306,2196,2066,877,811,8,4
50.927189,0.768951,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.85,0.75000000000001,8.7,187,177,1123,1111,903,866,418,414,1297,1203
50.356872,-4.125222,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,569,524,1505,1360,1285,1133,180,183,1011,972
