"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Plymouth_seaway","Plymouth_geodesic","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic","Roscoff_seaway","Roscoff_geodesic","Toralla_seaway","Toralla_geodesic"
55.460163,11.192457,2024,9,"Denmark","HUMAN_OBSERVATION",NA,NA,NA,1638,1174,6500,1227,6500,1227,1674,1277,2553,2063
59.05966,5.71851,2023,8,"Norway","HUMAN_OBSERVATION",NA,NA,NA,1370,1155,6232,1687,6232,1687,1406,1312,2285,2124
60.423669,4.914171,2023,8,"Norway","HUMAN_OBSERVATION",NA,NA,NA,1507,1256,6369,1845,6369,1845,1543,1421,2422,2228
53.98107,-6.145058,2022,8,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,547,424,5303,1706,5303,1706,619,605,1356,1321
60.423669,4.914171,2022,8,"Norway","HUMAN_OBSERVATION",NA,NA,NA,1507,1256,6369,1845,6369,1845,1543,1421,2422,2228
58.99358,9.808552,2022,8,"Norway","HUMAN_OBSERVATION",NA,NA,NA,1465,1311,6327,1627,6327,1627,1501,1453,2380,2265
58.74279,9.267662,2022,8,"Norway","HUMAN_OBSERVATION",58.75,9.35000000000001,4.82,1430,1274,6292,1604,6292,1604,1465,1416,2345,2228
59.05966,5.71851,2022,9,"Norway","HUMAN_OBSERVATION",NA,NA,NA,1370,1155,6232,1687,6232,1687,1406,1312,2285,2124
58.22833,6.50283,2022,9,"Norway","HUMAN_OBSERVATION",58.25,6.45000000000001,3.92,1299,1114,6161,1588,6161,1588,1335,1263,2214,2076
58.968962,5.878673,2022,9,"Norway","HUMAN_OBSERVATION",58.95,5.95000000000001,4.61,1386,1154,6248,1671,6248,1671,1422,1310,2301,2122
55.91576,-2.157895,2021,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1064,632,5926,1636,5926,1636,1099,810,1979,1595
55.91576,-2.157895,2021,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1064,632,5926,1636,5926,1636,1099,810,1979,1595
