"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Galway_seaway","Galway_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","Plymouth_seaway","Plymouth_geodesic","RavennaM_seaway","RavennaM_geodesic","SWC_seaway","SWC_geodesic","Toralla_seaway","Toralla_geodesic"
51.6,3.65,2025,1,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,5.57,1289,927,938,932,715,682,615,566,5477,1029,911,849,1530,1408
51.5,4,2025,1,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,6.56,1314,950,941,933,718,682,640,584,5502,1007,914,846,1555,1416
52.45,4.55,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1381,966,834,825,610,574,707,648,5569,1059,807,740,1622,1514
51.6,3.65,2025,2,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,5.57,1289,927,938,932,715,682,615,566,5477,1029,911,849,1530,1408
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1275,927,962,955,738,705,601,555,5463,1017,935,871,1516,1388
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1275,927,962,955,738,705,601,555,5463,1017,935,871,1516,1388
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1275,927,962,955,738,705,601,555,5463,1017,935,871,1516,1388
51.55,4,2025,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1320,953,943,931,720,680,646,588,5509,1004,916,844,1562,1418
51.6,3.65,2025,2,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,5.57,1289,927,938,932,715,682,615,566,5477,1029,911,849,1530,1408
51.6,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,6.55,1289,927,938,932,715,682,615,566,5477,1029,911,849,1530,1408
52.6,4.6,2025,2,"Netherlands","HUMAN_OBSERVATION",52.65,4.55000000000001,6.51,1389,962,812,805,588,555,715,655,5577,1077,785,722,1630,1529
51.5,3.9,2025,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1325,948,952,939,729,689,651,580,5513,1005,925,853,1566,1409
53.3,5.05,2025,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1461,986,736,726,512,475,787,713,5650,1119,709,644,1703,1604
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1275,927,962,955,738,705,601,555,5463,1017,935,871,1516,1388
51.5,4.05,2025,2,"Netherlands","HUMAN_OBSERVATION",51.55,4.05000000000001,5.57,1320,957,943,930,720,679,646,591,5509,1002,916,843,1562,1421
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1275,927,962,955,738,705,601,555,5463,1017,935,871,1516,1388
51.5,4,2025,2,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,6.56,1314,950,941,933,718,682,640,584,5502,1007,914,846,1555,1416
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1275,927,962,955,738,705,601,555,5463,1017,935,871,1516,1388
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1275,927,962,955,738,705,601,555,5463,1017,935,871,1516,1388
51.4,3.7,2025,3,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1275,927,962,955,738,705,601,555,5463,1017,935,871,1516,1388
