"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Crete_seaway","Crete_geodesic","Koster_seaway","Koster_geodesic","Laeso_seaway","Laeso_geodesic","Limfjord_seaway","Limfjord_geodesic"
51.2438,3.22091,2025,1,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,12.81,5233,2499,983,978,930,837,760,728
53.025,4.709,2023,2,"Netherlands","HUMAN_OBSERVATION",53.05,4.65000000000001,4.83,5414,2541,767,763,714,624,543,513
47.499634,-3.117199,2022,9,"France","HUMAN_OBSERVATION",NA,NA,NA,4547,2698,1794,1576,1742,1451,1574,1333
47.500587,-3.117692,2022,9,"France","HUMAN_OBSERVATION",NA,NA,NA,4555,2699,1790,1576,1738,1451,1570,1333
58.87767,11.11181,2021,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,6168,2811,0,1,178,181,248,252
53.1,4.7,2020,7,"Netherlands","HUMAN_OBSERVATION",53.15,4.65000000000001,6.49,5422,2549,757,753,703,616,533,504
53.1,4.7,2020,7,"Netherlands","HUMAN_OBSERVATION",53.15,4.65000000000001,6.49,5422,2549,757,753,703,616,533,504
58.87767,11.11181,2020,7,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,6168,2811,0,1,178,181,248,252
51.59,3.66,2019,3,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,6.71,5278,2492,938,932,885,790,715,682
58.87767,11.11181,2019,5,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,6168,2811,0,1,178,181,248,252
52.64,4.62,2018,1,"Netherlands","HUMAN_OBSERVATION",52.65,4.55000000000001,4.86,5379,2516,812,805,758,664,588,555
51.525,4.078,2017,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5310,2460,943,931,890,785,720,680
51.55,3.65,2017,12,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,11.13,5278,2492,938,932,885,790,715,682
52.61,4.61,2017,12,"Netherlands","HUMAN_OBSERVATION",52.65,4.55000000000001,6.02,5379,2516,812,805,758,664,588,555
54.83915,-5.795667,2016,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.95,-5.74999999999999,12.68,5225,3216,1448,1112,1443,1079,1341,949
54.46206,-5.609617,2016,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.45,-5.54999999999999,4.08,5164,3177,1508,1130,1503,1088,1400,956
51.94,3.96,2015,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5310,2495,899,894,846,751,676,643
54.513787,-5.425299,2014,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,5176,3174,1496,1119,1491,1078,1388,946
51.84,3.94,2013,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5307,2490,910,904,856,761,686,654
51.22759,2.90128,2012,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,4.36,5208,2509,1002,998,948,858,778,748
51.83,3.94,2012,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5307,2489,910,905,856,762,686,655
52.81,4.68,2012,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5397,2522,789,785,735,644,565,535
51.778,3.864,2012,6,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5296,2489,923,913,869,770,699,662
51.84,3.94,2011,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5307,2490,910,904,856,761,686,654
51.84,3.94,2011,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5307,2490,910,904,856,761,686,654
51.25547,2.97065,2011,12,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,8.43,5208,2509,1002,998,948,858,778,748
51.525,4.078,2009,10,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5310,2460,943,931,890,785,720,680
51.16535,2.7557,2009,12,"Belgium","HUMAN_OBSERVATION",51.25,2.75000000000001,9.43,5201,2515,1005,1001,951,863,781,752
54.513783,-5.425307,2014,9,"United Kingdom of Great Britain and Northern Ireland","MATERIAL_SAMPLE",NA,NA,NA,5176,3174,1496,1119,1491,1078,1388,946
