"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","RavennaM_seaway","RavennaM_geodesic"
58.00655,11.69999,2023,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,958,922,102,103,214,201,6344,1509
58.00655,11.69999,2023,9,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,958,922,102,103,214,201,6344,1509
59.066669,5.8,2023,10,"Norway","HUMAN_OBSERVATION",NA,NA,NA,893,875,467,306,359,309,6238,1686
51.45,3.7,2019,8,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,10.41,32,30,962,955,738,705,5463,1017
47.83341,-3.94992,2016,7,"France","HUMAN_OBSERVATION",NA,NA,NA,791,645,1726,1578,1507,1338,4734,1312
47.43228,-2.47915,2013,8,"France","HUMAN_OBSERVATION",47.45,-2.54999999999999,5.69,903,599,1839,1559,1619,1314,4780,1200
47.50156,-2.49219,2013,8,"France","HUMAN_OBSERVATION",47.45,-2.54999999999999,7.2,903,599,1839,1559,1619,1314,4780,1200
47.50615,-2.52518,2013,8,"France","HUMAN_OBSERVATION",47.45,-2.54999999999999,6.52,903,599,1839,1559,1619,1314,4780,1200
47.46283,-2.49717,2013,8,"France","HUMAN_OBSERVATION",47.45,-2.54999999999999,4.23,903,599,1839,1559,1619,1314,4780,1200
48.10991,-4.29819,2010,8,"France","HUMAN_OBSERVATION",48.15,-4.34999999999999,5.89,725,647,1661,1566,1441,1328,4739,1348
48.10991,-4.29819,2008,9,"France","HUMAN_OBSERVATION",48.15,-4.34999999999999,5.89,725,647,1661,1566,1441,1328,4739,1348
48.30941,-4.44852,2008,9,"France","HUMAN_OBSERVATION",NA,NA,NA,708,642,1644,1555,1424,1319,4754,1358
47.83341,-3.94992,2008,10,"France","HUMAN_OBSERVATION",NA,NA,NA,791,645,1726,1578,1507,1338,4734,1312
47.83341,-3.94992,2008,10,"France","HUMAN_OBSERVATION",NA,NA,NA,791,645,1726,1578,1507,1338,4734,1312
48.30941,-4.44852,2007,3,"France","HUMAN_OBSERVATION",NA,NA,NA,708,642,1644,1555,1424,1319,4754,1358
45.79981,-1.20527,2004,5,"France","HUMAN_OBSERVATION",NA,NA,NA,1090,696,2026,1673,1806,1424,4786,1076
45.79981,-1.20527,2004,5,"France","HUMAN_OBSERVATION",NA,NA,NA,1090,696,2026,1673,1806,1424,4786,1076
47.83341,-3.94992,2004,9,"France","HUMAN_OBSERVATION",NA,NA,NA,791,645,1726,1578,1507,1338,4734,1312
45.79981,-1.20527,2004,9,"France","HUMAN_OBSERVATION",NA,NA,NA,1090,696,2026,1673,1806,1424,4786,1076
45.79981,-1.20527,2003,6,"France","HUMAN_OBSERVATION",NA,NA,NA,1090,696,2026,1673,1806,1424,4786,1076
45.96864,-1.20844,2003,7,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,4.98,1079,679,2015,1657,1795,1407,4800,1072
45.79981,-1.20527,2003,7,"France","HUMAN_OBSERVATION",NA,NA,NA,1090,696,2026,1673,1806,1424,4786,1076
45.79981,-1.20527,2003,8,"France","HUMAN_OBSERVATION",NA,NA,NA,1090,696,2026,1673,1806,1424,4786,1076
45.79981,-1.20527,2003,8,"France","HUMAN_OBSERVATION",NA,NA,NA,1090,696,2026,1673,1806,1424,4786,1076
45.96864,-1.20844,2003,8,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,4.98,1079,679,2015,1657,1795,1407,4800,1072
45.96864,-1.20844,2003,9,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,4.98,1079,679,2015,1657,1795,1407,4800,1072
45.96864,-1.20844,2003,9,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,4.98,1079,679,2015,1657,1795,1407,4800,1072
45.96864,-1.20844,2003,10,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,4.98,1079,679,2015,1657,1795,1407,4800,1072
45.79981,-1.20527,2003,11,"France","HUMAN_OBSERVATION",NA,NA,NA,1090,696,2026,1673,1806,1424,4786,1076
45.79981,-1.20527,2002,8,"France","HUMAN_OBSERVATION",NA,NA,NA,1090,696,2026,1673,1806,1424,4786,1076
45.96864,-1.20844,2002,10,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,4.98,1079,679,2015,1657,1795,1407,4800,1072
45.79981,-1.20527,2002,10,"France","HUMAN_OBSERVATION",NA,NA,NA,1090,696,2026,1673,1806,1424,4786,1076
45.79981,-1.20527,2001,8,"France","HUMAN_OBSERVATION",NA,NA,NA,1090,696,2026,1673,1806,1424,4786,1076
47.77332,-3.84003,2001,9,"France","HUMAN_OBSERVATION",NA,NA,NA,795,643,1730,1579,1510,1339,4731,1302
48.29283,-4.45889,2001,9,"France","HUMAN_OBSERVATION",48.35,-4.44999999999999,6.4,708,640,1644,1552,1424,1315,4754,1359
49.65042,0.15016,2000,8,"France","HUMAN_OBSERVATION",NA,NA,NA,299,285,1252,1247,1032,1000,5166,1091
46.2703,-1.23785,1999,7,"France","HUMAN_OBSERVATION",NA,NA,NA,1051,650,1987,1627,1767,1378,4802,1082
46.22998,-1.20011,1999,7,"France","HUMAN_OBSERVATION",NA,NA,NA,1051,653,1987,1630,1767,1381,4802,1079
45.79981,-1.20527,1999,8,"France","HUMAN_OBSERVATION",NA,NA,NA,1090,696,2026,1673,1806,1424,4786,1076
45.79981,-1.20527,1999,8,"France","HUMAN_OBSERVATION",NA,NA,NA,1090,696,2026,1673,1806,1424,4786,1076
45.96864,-1.20844,1999,8,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,4.98,1079,679,2015,1657,1795,1407,4800,1072
45.79981,-1.20527,1999,8,"France","HUMAN_OBSERVATION",NA,NA,NA,1090,696,2026,1673,1806,1424,4786,1076
45.96864,-1.20844,1998,5,"France","HUMAN_OBSERVATION",45.95,-1.14999999999999,4.98,1079,679,2015,1657,1795,1407,4800,1072
46.22998,-1.20011,1998,7,"France","HUMAN_OBSERVATION",NA,NA,NA,1051,653,1987,1630,1767,1381,4802,1079
46.05515,-1.13061,1998,7,"France","HUMAN_OBSERVATION",NA,NA,NA,1071,668,2007,1645,1787,1396,4803,1072
