"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Getxo_seaway","Getxo_geodesic","RavennaH_seaway","RavennaH_geodesic"
51.31001,3.09928,2025,2,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,1262,999,5424,1028
43.399824,5.136604,2025,3,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,5.69,2866,661,2171,588
43.399824,5.136604,2025,3,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,5.69,2866,661,2171,588
55.61627,12.99626,2024,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2364,1783,6526,1243
55.6157,12.99781,2024,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2364,1783,6526,1243
55.62468,12.99465,2024,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2364,1784,6526,1244
55.62317,12.99614,2024,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2364,1784,6526,1244
55.62316,12.99448,2024,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2364,1784,6526,1244
51.900376,-8.430028,2024,2,"Ireland","HUMAN_OBSERVATION",51.85,-8.24999999999999,13.58,1026,1024,5041,1731
52.1,4.25,2024,2,"Netherlands","HUMAN_OBSERVATION",52.15,4.25000000000001,5.57,1375,1120,5537,1045
51.5,3.7,2024,3,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.8,1301,1028,5463,1017
55.60685,12.99391,2024,3,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2364,1782,6526,1242
43.470603,5.020062,2024,4,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,10.75,2866,661,2171,588
44.643956,-1.030298,2024,4,"France","HUMAN_OBSERVATION",44.75,-1.14999999999999,15.14,220,217,4764,1071
45.094754,12.335395,2024,4,"Italy","HUMAN_OBSERVATION",45.15,12.35,6.26,4650,1242,84,78
51.3,3.85,2024,5,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,1363,1030,5525,995
45.489661,13.605026,2024,6,"Slovenia","HUMAN_OBSERVATION",45.55,13.65,7.58,4636,1347,161,160
