"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Koster_seaway","Koster_geodesic"
51.5,3.8,2024,6,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,11.79,941,933
51.55,3.8,2024,7,"Netherlands","HUMAN_OBSERVATION",51.65,3.75000000000001,11.66,936,929
58.398861,-5.117955,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",58.45,-5.14999999999999,5.99,1040,942
51.548796,3.806391,2024,8,"Netherlands","HUMAN_OBSERVATION",51.65,3.85000000000001,11.66,933,926
60.103638,5.129767,2024,8,"Norway","HUMAN_OBSERVATION",NA,NA,NA,577,365
69.642631,18.948973,2024,10,"Norway","HUMAN_OBSERVATION",NA,NA,NA,1884,1257
43.489109,5.200975,2023,2,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,5.99,4635,1764
42.98886,6.39705,2023,4,"France","HUMAN_OBSERVATION",NA,NA,NA,4670,1797
51.5,3.85,2023,7,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,8.89,941,933
51.5,3.8,2023,7,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,11.79,941,933
58.22306,11.52662,2023,7,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,78,77
58.22417,11.52611,2023,7,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,78,77
58.223,11.52662,2023,7,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,78,77
58.20889,11.46554,2023,7,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,73,77
58.20182,11.45631,2023,7,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,73,78
58.224,11.52569,2023,7,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,78,77
67.271561,14.466043,2023,8,"Norway","HUMAN_OBSERVATION",67.25,14.55,4.34,1547,949
51.547224,3.8111,2023,8,"Netherlands","HUMAN_OBSERVATION",51.65,3.85000000000001,11.75,933,926
50.71667,1.61667,2023,8,"France","HUMAN_OBSERVATION",50.75,1.55000000000001,5.99,1096,1091
58.22643,11.58475,2023,8,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,78,78
58.4576,11.28423,2023,8,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,45,48
60.493653,4.918986,2023,8,"Norway","HUMAN_OBSERVATION",NA,NA,NA,611,392
58.412158,5.972422,2023,8,"Norway","HUMAN_OBSERVATION",NA,NA,NA,368,302
58.412158,5.972422,2023,8,"Norway","HUMAN_OBSERVATION",NA,NA,NA,368,302
67.272425,14.467377,2023,8,"Norway","HUMAN_OBSERVATION",67.25,14.55,4.34,1547,949
67.323558,14.724894,2023,9,"Norway","HUMAN_OBSERVATION",67.25,14.65,8.8,1549,950
67.262698,14.639899,2023,9,"Norway","HUMAN_OBSERVATION",NA,NA,NA,1549,951
52.45,4.5,2022,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,834,826
52.45,4.5,2022,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,834,826
52.45,4.5,2022,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,834,826
51.5,3.85,2022,6,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,8.89,941,933
51.5,3.8,2022,6,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,11.79,941,933
51.5,3.8,2022,6,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,11.79,941,933
51.55,3.75,2022,7,"Netherlands","HUMAN_OBSERVATION",51.65,3.75000000000001,11.13,936,929
51.5,3.75,2022,7,"Netherlands","HUMAN_OBSERVATION",51.65,3.75000000000001,16.7,936,929
58.36547,11.32729,2022,7,"Sweden","HUMAN_OBSERVATION",58.35,11.25,4.83,56,59
58.850941,9.511317,2022,7,"Norway","HUMAN_OBSERVATION",NA,NA,NA,92,92
59.034461,5.586937,2022,7,"Norway","HUMAN_OBSERVATION",NA,NA,NA,451,318
58.071802,7.687531,2022,7,"Norway","HUMAN_OBSERVATION",58.05,7.75000000000001,4.41,233,216
58.250222,6.674447,2022,7,"Norway","HUMAN_OBSERVATION",NA,NA,NA,324,267
58.004962,7.600673,2022,7,"Norway","HUMAN_OBSERVATION",57.95,7.65000000000001,6.78,244,227
