"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic"
51.55,3.6,2025,1,"Netherlands","HUMAN_OBSERVATION",51.65,3.55000000000001,11.66,5470,1034,5470,1034
51.55,3.6,2025,1,"Netherlands","HUMAN_OBSERVATION",51.65,3.55000000000001,11.66,5470,1034,5470,1034
43.442707,4.951436,2025,4,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,10.32,2175,607,2175,607
43.442707,4.951436,2025,4,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,10.32,2175,607,2175,607
43.442707,4.951436,2025,4,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,10.32,2175,607,2175,607
51.55,3.6,2024,3,"Netherlands","HUMAN_OBSERVATION",51.65,3.55000000000001,11.66,5470,1034,5470,1034
43.54549,5.030882,2024,4,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,14.34,2171,588,2171,588
43.54549,5.030882,2024,4,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,14.34,2171,588,2171,588
43.54549,5.030882,2024,4,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,14.34,2171,588,2171,588
43.54549,5.030882,2024,4,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,14.34,2171,588,2171,588
43.54549,5.030882,2024,4,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,14.34,2171,588,2171,588
43.54549,5.030882,2024,4,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,14.34,2171,588,2171,588
43.54549,5.030882,2024,4,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,14.34,2171,588,2171,588
43.470603,5.020062,2024,4,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,10.75,2171,588,2171,588
43.405751,5.116433,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,2171,592,2171,592
43.405751,5.116433,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,2171,592,2171,592
43.405751,5.116433,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,2171,592,2171,592
43.405751,5.116433,2024,4,"France","HUMAN_OBSERVATION",NA,NA,NA,2171,592,2171,592
51.73499,3.942921,2024,4,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5502,1022,5502,1022
51.7,3.95,2024,5,"Netherlands","HUMAN_OBSERVATION",51.75,3.95000000000001,5.57,5502,1023,5502,1023
51.54677,3.81152,2024,6,"Netherlands","HUMAN_OBSERVATION",51.65,3.85000000000001,11.8,5491,1020,5491,1020
51.54677,3.81152,2024,6,"Netherlands","HUMAN_OBSERVATION",51.65,3.85000000000001,11.8,5491,1020,5491,1020
51.54677,3.81152,2024,7,"Netherlands","HUMAN_OBSERVATION",51.65,3.85000000000001,11.8,5491,1020,5491,1020
51.711472,3.995443,2024,7,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5502,1018,5502,1018
51.711845,3.996674,2024,7,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5502,1018,5502,1018
51.779032,3.868487,2024,7,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5495,1030,5495,1030
51.7,3.95,2024,7,"Netherlands","HUMAN_OBSERVATION",51.75,3.95000000000001,5.57,5502,1023,5502,1023
51.707058,4.002183,2024,7,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5508,1017,5508,1017
43.401669,5.13665,2024,8,"France","HUMAN_OBSERVATION",NA,NA,NA,2171,591,2171,591
43.401669,5.13665,2024,8,"France","HUMAN_OBSERVATION",NA,NA,NA,2171,591,2171,591
43.401669,5.13665,2024,8,"France","HUMAN_OBSERVATION",NA,NA,NA,2171,591,2171,591
51.548829,3.809918,2024,8,"Netherlands","HUMAN_OBSERVATION",51.65,3.85000000000001,11.6,5491,1020,5491,1020
42.410525,3.162885,2024,8,"Spain","HUMAN_OBSERVATION",42.45,3.25000000000001,8.4,2285,769,2285,769
51.7,4.05,2024,8,"Netherlands","HUMAN_OBSERVATION",51.75,4.05000000000001,5.57,5508,1019,5508,1019
51.75,4,2024,8,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5508,1021,5508,1021
43.526063,5.060845,2024,9,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,11.11,2171,588,2171,588
43.526063,5.060845,2024,9,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,11.11,2171,588,2171,588
43.526063,5.060845,2024,9,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,11.11,2171,588,2171,588
43.526063,5.060845,2024,9,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,11.11,2171,588,2171,588
43.526063,5.060845,2024,9,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,11.11,2171,588,2171,588
47.30611,-2.50815,2024,9,"France","HUMAN_OBSERVATION",NA,NA,NA,4772,1194,4772,1194
51.54677,3.81152,2024,9,"Netherlands","HUMAN_OBSERVATION",51.65,3.85000000000001,11.8,5491,1020,5491,1020
43.438547,5.195468,2024,10,"France","HUMAN_OBSERVATION",NA,NA,NA,2171,585,2171,585
43.438547,5.195468,2024,10,"France","HUMAN_OBSERVATION",NA,NA,NA,2171,585,2171,585
43.438547,5.195468,2024,10,"France","HUMAN_OBSERVATION",NA,NA,NA,2171,585,2171,585
43.438547,5.195468,2024,10,"France","HUMAN_OBSERVATION",NA,NA,NA,2171,585,2171,585
43.43798,5.196042,2024,10,"France","HUMAN_OBSERVATION",NA,NA,NA,2171,585,2171,585
51.55,3.65,2024,11,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,11.13,5477,1029,5477,1029
51.55,3.65,2024,11,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,11.13,5477,1029,5477,1029
51.55,3.6,2023,1,"Netherlands","HUMAN_OBSERVATION",51.65,3.55000000000001,11.66,5470,1034,5470,1034
43.489109,5.200975,2023,2,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,5.99,2171,588,2171,588
43.489109,5.200975,2023,2,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,5.99,2171,588,2171,588
43.489109,5.200975,2023,2,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,5.99,2171,588,2171,588
43.442902,4.950269,2023,3,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,10.34,2175,607,2175,607
43.424697,3.70003,2023,3,"France","HUMAN_OBSERVATION",43.35,3.75000000000001,9.25,2272,701,2272,701
43.424852,3.700432,2023,3,"France","HUMAN_OBSERVATION",43.35,3.75000000000001,9.25,2272,701,2272,701
43.458338,5.225813,2023,3,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,6.2,2171,588,2171,588
43.458338,5.225813,2023,3,"France","HUMAN_OBSERVATION",43.45,5.15000000000001,6.2,2171,588,2171,588
43.425,3.69986,2023,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.27,2280,709,2280,709
43.425,3.69986,2023,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.27,2280,709,2280,709
43.477669,5.00191,2023,4,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,14.82,2175,607,2175,607
43.477669,5.00191,2023,4,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,14.82,2175,607,2175,607
43.477669,5.00191,2023,4,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,14.82,2175,607,2175,607
43.477669,5.00191,2023,4,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,14.82,2175,607,2175,607
43.477669,5.00191,2023,4,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,14.82,2175,607,2175,607
43.477669,5.00191,2023,4,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,14.82,2175,607,2175,607
43.477669,5.00191,2023,4,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,14.82,2175,607,2175,607
43.477669,5.00191,2023,4,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,14.82,2175,607,2175,607
43.477669,5.00191,2023,4,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,14.82,2175,607,2175,607
43.477669,5.00191,2023,4,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,14.82,2175,607,2175,607
51.75,3.85,2023,4,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5495,1028,5495,1028
51.75,3.85,2023,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,5495,1028,5495,1028
