"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Getxo_seaway","Getxo_geodesic"
52.1,4.25,2025,1,"Netherlands","HUMAN_OBSERVATION",52.15,4.25000000000001,5.57,1375,1120
52.95,5,2025,1,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1465,1222
51.6,3.65,2025,1,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,5.57,1315,1051
51.6,3.65,2025,1,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,5.57,1315,1051
51.943164,1.29175,2025,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1009
55.180144,8.595038,2025,2,"Denmark","HUMAN_OBSERVATION",55.15,8.65000000000001,4.85,1802,1560
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
53,4.75,2025,2,"Netherlands","HUMAN_OBSERVATION",53.05,4.65000000000001,8.71,1450,1219
53.958674,10.888406,2025,2,"Germany","HUMAN_OBSERVATION",54.05,10.85,10.47,2501,1563
51.5,4,2025,2,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,6.56,1340,1052
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.5,4.05,2025,2,"Netherlands","HUMAN_OBSERVATION",51.55,4.05000000000001,5.57,1347,1056
53,4.75,2025,2,"Netherlands","HUMAN_OBSERVATION",53.05,4.65000000000001,8.71,1450,1219
51.3,3.85,2025,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,1363,1030
51.3,3.85,2025,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,1363,1030
51.3,3.85,2025,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,1363,1030
51.3,3.85,2025,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,1363,1030
51.3,3.85,2025,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,1363,1030
51.3,3.85,2025,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,1363,1030
51.3,3.85,2025,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,1363,1030
51.3,3.85,2025,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,1363,1030
51.3,3.85,2025,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,1363,1030
51.3,3.85,2025,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,1363,1030
51.3,3.85,2025,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,1363,1030
51.3,3.85,2025,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,1363,1030
51.3,3.85,2025,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,1363,1030
51.4,3.7,2025,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
53.25,7.05,2025,2,"Netherlands","HUMAN_OBSERVATION",53.35,6.95000000000001,12.97,1626,1333
53.25,7.05,2025,2,"Netherlands","HUMAN_OBSERVATION",53.35,6.95000000000001,12.97,1626,1333
53.1,4.85,2025,2,"Netherlands","HUMAN_OBSERVATION",53.15,4.75000000000001,8.69,1463,1232
51.943164,1.29175,2025,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1009
54.680428,8.48595,2025,2,"Germany","HUMAN_OBSERVATION",NA,NA,NA,1758,1512
54.691113,8.573775,2025,2,"Germany","HUMAN_OBSERVATION",NA,NA,NA,1764,1516
43.383324,-1.663121,2025,3,"France","HUMAN_OBSERVATION",43.45,-1.64999999999999,7.5,117,111
51.5,4,2025,3,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,6.56,1340,1052
51.75,3.85,2025,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1333,1067
51.4,3.7,2025,3,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2025,3,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.65,3.75,2025,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1322,1054
28.088383,-16.740543,2025,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2350,2093
51.4,3.7,2025,3,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.26931,4.30094,2025,3,"Belgium","HUMAN_OBSERVATION",51.35,4.25000000000001,9.66,1371,1045
51.26915,4.30042,2025,3,"Belgium","HUMAN_OBSERVATION",51.35,4.25000000000001,9.66,1371,1045
51.26931,4.30094,2025,3,"Belgium","HUMAN_OBSERVATION",51.35,4.25000000000001,9.66,1371,1045
57.39181,11.93306,2025,3,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2197,1882
54.957355,12.45019,2025,4,"Denmark","HUMAN_OBSERVATION",NA,NA,NA,2436,1708
54.957572,12.448808,2025,4,"Denmark","HUMAN_OBSERVATION",NA,NA,NA,2436,1708
51.5,4,2025,4,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,6.56,1340,1052
51.5,3.9,2025,4,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1351,1046
51.4,3.9,2025,4,"Netherlands","HUMAN_OBSERVATION",51.45,3.95000000000001,6.56,1351,1043
