"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Crete_seaway","Crete_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","Koster_seaway","Koster_geodesic","Plymouth_seaway","Plymouth_geodesic","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic","Roscoff_seaway","Roscoff_geodesic"
41.381857,12.930149,2024,4,"Italy","HUMAN_OBSERVATION",NA,NA,NA,4161,1337,1373,1258,1564,463,5097,1950,3688,1654,1531,344,1531,344,3557,1556
45.31677,12.316763,2024,8,"Italy","HUMAN_OBSERVATION",NA,NA,NA,5499,954,1595,1550,101,100,6435,1511,5026,1351,105,96,105,96,4896,1292
42.103966,11.766961,2023,4,"Italy","HUMAN_OBSERVATION",42.05,11.75,6.17,4082,1223,1492,1380,1682,412,5018,1872,3609,1531,1649,271,1649,271,3479,1433
52.684,4.632,2023,11,"Netherlands","HUMAN_OBSERVATION",52.65,4.55000000000001,6.71,174,174,5379,2516,5610,1029,812,805,715,655,5577,1077,5577,1077,751,743
43.106,3.16,2021,4,"France","HUMAN_OBSERVATION",43.05,3.15000000000001,6.29,3600,923,2154,2075,2344,875,4536,1844,3127,986,2312,757,2312,757,2997,837
42.50833,3.15183,2019,12,"France","HUMAN_OBSERVATION",NA,NA,NA,3545,983,2139,2058,2329,899,4480,1902,3072,1037,2297,774,2297,774,2941,885
52.58,4.61,2017,8,"Netherlands","HUMAN_OBSERVATION",52.55,4.55000000000001,5.26,166,165,5375,2509,5606,1021,823,815,711,651,5573,1068,5573,1068,747,737
57.07674,-6.018743,2016,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1217,873,5463,3353,5695,1863,1209,1030,895,757,5662,1899,5662,1899,968,940
50.356512,-4.152904,2016,10,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,569,526,4759,2887,4991,1425,1505,1362,0,1,4958,1404,4958,1404,180,183
57.6216,-7.13901,2015,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",57.65,-7.04999999999999,6.17,1193,962,5533,3440,5765,1951,1185,1071,968,832,5732,1988,5732,1988,1041,1015
57.61789,-7.121211,2015,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",57.65,-7.04999999999999,5.55,1193,962,5533,3440,5765,1951,1185,1071,968,832,5732,1988,5732,1988,1041,1015
43.0363,3.12533,2015,8,"France","HUMAN_OBSERVATION",NA,NA,NA,3600,924,2154,2076,2344,877,4536,1846,3127,986,2312,759,2312,759,2997,837
