"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","location","DistanceType","x","Species"
60.170408,24.925127,2024,3,"Finland","MACHINE_OBSERVATION",60.15,25.05,7.28,"Bodo","seaway",2725,"Amphibalanus_improvisus"
60.173105,25.105165,2024,4,"Finland","MACHINE_OBSERVATION",NA,NA,NA,"Bodo","seaway",2731,"Amphibalanus_improvisus"
60.186887,22.868685,2024,5,"Finland","MACHINE_OBSERVATION",NA,NA,NA,"Bodo","seaway",2618,"Amphibalanus_improvisus"
60.418421,22.248624,2024,5,"Finland","MACHINE_OBSERVATION",60.35,22.25,7.62,"Bodo","seaway",2612,"Amphibalanus_improvisus"
59.945715,20.893008,2024,6,"Åland Islands","MACHINE_OBSERVATION",NA,NA,NA,"Bodo","seaway",2528,"Amphibalanus_improvisus"
60.359437,25.641046,2023,4,"Finland","MACHINE_OBSERVATION",NA,NA,NA,"Bodo","seaway",2770,"Amphibalanus_improvisus"
60.117492,24.739595,2022,8,"Finland","MACHINE_OBSERVATION",60.05,24.75,7.54,"Bodo","seaway",2704,"Amphibalanus_improvisus"
60.266906,25.836683,2021,3,"Finland","MACHINE_OBSERVATION",NA,NA,NA,"Bodo","seaway",2774,"Amphibalanus_improvisus"
60.252518,25.742749,2021,9,"Finland","MACHINE_OBSERVATION",60.25,25.85,5.93,"Bodo","seaway",2774,"Amphibalanus_improvisus"
60.425794,22.088839,2016,6,"Finland","MACHINE_OBSERVATION",60.35,22.05,8.7,"Bodo","seaway",2605,"Amphibalanus_improvisus"
54.819667,9.676942,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,"Bodo","seaway",1818,"Amphibalanus_improvisus"
53.975686,14.554087,2025,1,"Poland","HUMAN_OBSERVATION",54.05,14.55,8.28,"Bodo","seaway",1963,"Amphibalanus_improvisus"
53.975958,14.555333,2025,1,"Poland","HUMAN_OBSERVATION",54.05,14.55,8.25,"Bodo","seaway",1963,"Amphibalanus_improvisus"
51.27184,3.2136,2025,1,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,9.76,"Bodo","seaway",1963,"Amphibalanus_improvisus"
56.64586,12.88503,2025,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,"Bodo","seaway",1683,"Amphibalanus_improvisus"
55.54983,12.90754,2025,1,"Sweden","HUMAN_OBSERVATION",55.55,12.85,3.62,"Bodo","seaway",1762,"Amphibalanus_improvisus"
55.3677,12.81148,2025,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,"Bodo","seaway",1782,"Amphibalanus_improvisus"
58.261862,6.814242,2025,1,"Norway","HUMAN_OBSERVATION",58.25,6.75000000000001,3.99,"Bodo","seaway",1248,"Amphibalanus_improvisus"
59.37721,10.4669,2025,1,"Norway","HUMAN_OBSERVATION",NA,NA,NA,"Bodo","seaway",1540,"Amphibalanus_improvisus"
58.721937,9.239307,2025,1,"Norway","HUMAN_OBSERVATION",58.65,9.25000000000001,8.03,"Bodo","seaway",1431,"Amphibalanus_improvisus"
59.817867,22.902405,2025,2,"Finland","HUMAN_OBSERVATION",NA,NA,NA,"Bodo","seaway",2604,"Amphibalanus_improvisus"
51.3,3.85,2025,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,"Bodo","seaway",1959,"Amphibalanus_improvisus"
56.37574,12.69103,2025,2,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,"Bodo","seaway",1680,"Amphibalanus_improvisus"
56.38053,12.68768,2025,2,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,"Bodo","seaway",1680,"Amphibalanus_improvisus"
55.51054,12.92686,2025,2,"Sweden","HUMAN_OBSERVATION",55.55,12.85,6.54,"Bodo","seaway",1762,"Amphibalanus_improvisus"
