"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","location","DistanceType","x","Species"
36.704123,-2.863261,2025,1,"Spain","HUMAN_OBSERVATION",36.65,-2.84999999999999,6.14,"Eilat","seaway",19247,"Balanus_trigonus"
38.580132,-9.201119,2025,3,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,"Eilat","seaway",19051,"Balanus_trigonus"
39.29,-0.26,2024,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,"Eilat","seaway",19697,"Balanus_trigonus"
38.436984,-9.112523,2024,5,"Portugal","HUMAN_OBSERVATION",38.35,-9.14999999999999,10.22,"Eilat","seaway",19032,"Balanus_trigonus"
36.41335,-5.159444,2024,7,"Spain","HUMAN_OBSERVATION",36.35,-5.14999999999999,7.1,"Eilat","seaway",19042,"Balanus_trigonus"
37.181094,-6.976469,2024,8,"Spain","HUMAN_OBSERVATION",NA,NA,NA,"Eilat","seaway",19012,"Balanus_trigonus"
43.556111,4.016667,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,"Eilat","seaway",20255,"Balanus_trigonus"
40.438492,-8.614991,2023,12,"Portugal","HUMAN_OBSERVATION",40.65,-8.74999999999999,26.17,"Eilat","seaway",19288,"Balanus_trigonus"
37.182149,-7.447209,2022,2,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,"Eilat","seaway",18987,"Balanus_trigonus"
40.579548,22.833557,2022,2,"Greece","HUMAN_OBSERVATION",NA,NA,NA,"Eilat","seaway",22075,"Balanus_trigonus"
40.525872,-8.780214,2022,2,"Portugal","HUMAN_OBSERVATION",40.55,-8.84999999999999,6.49,"Eilat","seaway",19275,"Balanus_trigonus"
40.502481,-8.78778,2022,2,"Portugal","HUMAN_OBSERVATION",40.55,-8.84999999999999,7.46,"Eilat","seaway",19275,"Balanus_trigonus"
40.340985,22.652125,2022,3,"Greece","HUMAN_OBSERVATION",40.35,22.75,8.36,"Eilat","seaway",22060,"Balanus_trigonus"
37.069922,-6.688363,2022,4,"Spain","HUMAN_OBSERVATION",37.05,-6.74999999999999,5.91,"Eilat","seaway",19012,"Balanus_trigonus"
43.46198,6.92321,2022,7,"France","HUMAN_OBSERVATION",NA,NA,NA,"Eilat","seaway",20401,"Balanus_trigonus"
41.280252,2.08397,2022,11,"Spain","HUMAN_OBSERVATION",NA,NA,NA,"Eilat","seaway",19947,"Balanus_trigonus"
40.573333,-8.765833,2022,12,"Portugal","HUMAN_OBSERVATION",40.55,-8.84999999999999,7.58,"Eilat","seaway",19275,"Balanus_trigonus"
53.5,6.32,2021,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,"Eilat","seaway",21217,"Balanus_trigonus"
43.395377,3.604443,2021,4,"France","HUMAN_OBSERVATION",NA,NA,NA,"Eilat","seaway",20227,"Balanus_trigonus"
43.428849,3.645791,2021,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,8.78,"Eilat","seaway",20227,"Balanus_trigonus"
38.470421,-8.888869,2021,7,"Portugal","HUMAN_OBSERVATION",38.45,-8.94999999999999,5.79,"Eilat","seaway",19047,"Balanus_trigonus"
38.464167,-8.880833,2021,7,"Portugal","HUMAN_OBSERVATION",38.45,-8.94999999999999,6.23,"Eilat","seaway",19047,"Balanus_trigonus"
43.425,3.69986,2021,8,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.27,"Eilat","seaway",20227,"Balanus_trigonus"
43.42472,3.7,2021,10,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.25,"Eilat","seaway",20227,"Balanus_trigonus"
