"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","location","DistanceType","x","Species"
39.938,3.1842,2020,7,"Spain","MACHINE_OBSERVATION",39.95,3.25000000000001,5.77,"Galway","seaway",3099,"Asparagopsis_armata"
43.4358,-4.08,2018,7,"Spain","MACHINE_OBSERVATION",NA,NA,NA,"Galway","seaway",1213,"Asparagopsis_armata"
42.0525,3.2093,2017,3,"Spain","MACHINE_OBSERVATION",NA,NA,NA,"Galway","seaway",3251,"Asparagopsis_armata"
42.1181,3.1581,2017,4,"Spain","MACHINE_OBSERVATION",NA,NA,NA,"Galway","seaway",3264,"Asparagopsis_armata"
42.1181,3.1581,2017,4,"Spain","MACHINE_OBSERVATION",NA,NA,NA,"Galway","seaway",3264,"Asparagopsis_armata"
37.9245,12.2787,2017,4,"Italy","MACHINE_OBSERVATION",NA,NA,NA,"Galway","seaway",3792,"Asparagopsis_armata"
41.957,3.2323,2017,5,"Spain","MACHINE_OBSERVATION",NA,NA,NA,"Galway","seaway",3240,"Asparagopsis_armata"
39.7758,2.6655,2017,7,"Spain","MACHINE_OBSERVATION",39.85,2.65000000000001,8.37,"Galway","seaway",3038,"Asparagopsis_armata"
42.3732,3.1656,2016,4,"Spain","MACHINE_OBSERVATION",42.35,3.25000000000001,7.41,"Galway","seaway",3287,"Asparagopsis_armata"
41.8482,3.1135,2015,6,"Spain","MACHINE_OBSERVATION",41.75,3.15000000000001,11.34,"Galway","seaway",3216,"Asparagopsis_armata"
36.225,-5.3138,2014,7,"Spain","MACHINE_OBSERVATION",36.25,-5.24999999999999,6.37,"Galway","seaway",2201,"Asparagopsis_armata"
36.225,-5.3138,2014,7,"Spain","MACHINE_OBSERVATION",36.25,-5.24999999999999,6.37,"Galway","seaway",2201,"Asparagopsis_armata"
42.7122,9.4564,2008,9,"France","MACHINE_OBSERVATION",42.65,9.45000000000001,6.94,"Galway","seaway",3702,"Asparagopsis_armata"
43.211503,5.352272,2025,2,"France","HUMAN_OBSERVATION",NA,NA,NA,"Galway","seaway",3462,"Asparagopsis_armata"
43.374823,-2.549253,2025,2,"Spain","HUMAN_OBSERVATION",43.45,-2.54999999999999,8.37,"Galway","seaway",1266,"Asparagopsis_armata"
36.695645,-2.84977,2025,2,"Spain","HUMAN_OBSERVATION",NA,NA,NA,"Galway","seaway",2421,"Asparagopsis_armata"
42.464505,-8.941469,2025,2,"Spain","HUMAN_OBSERVATION",NA,NA,NA,"Galway","seaway",1227,"Asparagopsis_armata"
53.150978,-9.136246,2025,2,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,"Galway","seaway",52,"Asparagopsis_armata"
43.432792,-2.868625,2025,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,"Galway","seaway",1255,"Asparagopsis_armata"
36.083049,-5.764399,2025,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,"Galway","seaway",2135,"Asparagopsis_armata"
36.083008,-5.76435,2025,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,"Galway","seaway",2135,"Asparagopsis_armata"
42.239874,3.205231,2025,3,"Spain","HUMAN_OBSERVATION",42.25,3.15000000000001,4.69,"Galway","seaway",3275,"Asparagopsis_armata"
42.24093,3.202115,2025,3,"Spain","HUMAN_OBSERVATION",42.25,3.15000000000001,4.41,"Galway","seaway",3275,"Asparagopsis_armata"
43.186079,5.391441,2025,3,"France","HUMAN_OBSERVATION",NA,NA,NA,"Galway","seaway",3455,"Asparagopsis_armata"
43.380161,-8.397383,2025,3,"Spain","HUMAN_OBSERVATION",43.45,-8.34999999999999,8.67,"Galway","seaway",1119,"Asparagopsis_armata"
43.211283,5.352117,2025,3,"France","HUMAN_OBSERVATION",NA,NA,NA,"Galway","seaway",3462,"Asparagopsis_armata"
43.424336,-2.720665,2025,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,"Galway","seaway",1259,"Asparagopsis_armata"
