"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","location","DistanceType","x","Species"
65.54835,22.23633,2023,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",1603,"Acartia_(Acanthacartia)_tonsa"
65.23375,21.62991,2023,1,"Sweden","HUMAN_OBSERVATION",65.15,21.65,9.37,"SWC","seaway",1553,"Acartia_(Acanthacartia)_tonsa"
64.68461,21.22362,2023,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",1505,"Acartia_(Acanthacartia)_tonsa"
65.23375,21.62991,2023,1,"Sweden","HUMAN_OBSERVATION",65.15,21.65,9.37,"SWC","seaway",1553,"Acartia_(Acanthacartia)_tonsa"
59.29732,18.64977,2023,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",874,"Acartia_(Acanthacartia)_tonsa"
58.89918,17.95371,2023,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",818,"Acartia_(Acanthacartia)_tonsa"
59.16755,17.6697,2023,1,"Sweden","HUMAN_OBSERVATION",59.05,17.75,13.87,"SWC","seaway",834,"Acartia_(Acanthacartia)_tonsa"
59.29732,18.64977,2023,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",874,"Acartia_(Acanthacartia)_tonsa"
58.89918,17.95371,2023,1,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",818,"Acartia_(Acanthacartia)_tonsa"
59.16755,17.6697,2023,1,"Sweden","HUMAN_OBSERVATION",59.05,17.75,13.87,"SWC","seaway",834,"Acartia_(Acanthacartia)_tonsa"
65.645,12.71333,2022,8,"Norway","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",1373,"Acartia_(Acanthacartia)_tonsa"
65.69167,12.65,2022,8,"Norway","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",1368,"Acartia_(Acanthacartia)_tonsa"
65.645,12.71333,2022,10,"Norway","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",1373,"Acartia_(Acanthacartia)_tonsa"
65.69167,12.65,2022,10,"Norway","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",1368,"Acartia_(Acanthacartia)_tonsa"
53.593417,8.164766,2019,12,"Germany","HUMAN_OBSERVATION",53.65,8.15000000000001,6.37,"SWC","seaway",616,"Acartia_(Acanthacartia)_tonsa"
54.38347,18.5534,2018,1,"Poland","HUMAN_OBSERVATION",54.45,18.65,9.7,"SWC","seaway",673,"Acartia_(Acanthacartia)_tonsa"
54.38347,18.5534,2018,1,"Poland","HUMAN_OBSERVATION",54.45,18.65,9.7,"SWC","seaway",673,"Acartia_(Acanthacartia)_tonsa"
54.38598,18.66283,2018,1,"Poland","HUMAN_OBSERVATION",54.45,18.65,7.17,"SWC","seaway",673,"Acartia_(Acanthacartia)_tonsa"
54.38598,18.66283,2018,1,"Poland","HUMAN_OBSERVATION",54.45,18.65,7.17,"SWC","seaway",673,"Acartia_(Acanthacartia)_tonsa"
54.40428,18.66648,2018,1,"Poland","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",673,"Acartia_(Acanthacartia)_tonsa"
54.40428,18.66648,2018,1,"Poland","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",673,"Acartia_(Acanthacartia)_tonsa"
54.5455,18.50767,2018,1,"Poland","HUMAN_OBSERVATION",54.65,18.55,11.95,"SWC","seaway",650,"Acartia_(Acanthacartia)_tonsa"
54.5455,18.50767,2018,1,"Poland","HUMAN_OBSERVATION",54.65,18.55,11.95,"SWC","seaway",650,"Acartia_(Acanthacartia)_tonsa"
54.53372,18.52503,2018,1,"Poland","HUMAN_OBSERVATION",54.55,18.65,8.27,"SWC","seaway",663,"Acartia_(Acanthacartia)_tonsa"
54.53372,18.52503,2018,1,"Poland","HUMAN_OBSERVATION",54.55,18.65,8.27,"SWC","seaway",663,"Acartia_(Acanthacartia)_tonsa"
54.5455,18.50767,2018,1,"Poland","HUMAN_OBSERVATION",54.65,18.55,11.95,"SWC","seaway",650,"Acartia_(Acanthacartia)_tonsa"
54.5455,18.50767,2018,1,"Poland","HUMAN_OBSERVATION",54.65,18.55,11.95,"SWC","seaway",650,"Acartia_(Acanthacartia)_tonsa"
54.7959,18.41538,2018,1,"Poland","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",637,"Acartia_(Acanthacartia)_tonsa"
54.7959,18.41538,2018,1,"Poland","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",637,"Acartia_(Acanthacartia)_tonsa"
54.79487,18.41897,2018,1,"Poland","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",637,"Acartia_(Acanthacartia)_tonsa"
54.79487,18.41897,2018,1,"Poland","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",637,"Acartia_(Acanthacartia)_tonsa"
54.79668,18.42112,2018,1,"Poland","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",637,"Acartia_(Acanthacartia)_tonsa"
54.79668,18.42112,2018,1,"Poland","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",637,"Acartia_(Acanthacartia)_tonsa"
54.38347,18.5534,2018,2,"Poland","HUMAN_OBSERVATION",54.45,18.65,9.7,"SWC","seaway",673,"Acartia_(Acanthacartia)_tonsa"
54.38347,18.5534,2018,2,"Poland","HUMAN_OBSERVATION",54.45,18.65,9.7,"SWC","seaway",673,"Acartia_(Acanthacartia)_tonsa"
54.38598,18.66283,2018,2,"Poland","HUMAN_OBSERVATION",54.45,18.65,7.17,"SWC","seaway",673,"Acartia_(Acanthacartia)_tonsa"
54.38598,18.66283,2018,2,"Poland","HUMAN_OBSERVATION",54.45,18.65,7.17,"SWC","seaway",673,"Acartia_(Acanthacartia)_tonsa"
54.40428,18.66648,2018,2,"Poland","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",673,"Acartia_(Acanthacartia)_tonsa"
54.40428,18.66648,2018,2,"Poland","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",673,"Acartia_(Acanthacartia)_tonsa"
54.5455,18.50767,2018,2,"Poland","HUMAN_OBSERVATION",54.65,18.55,11.95,"SWC","seaway",650,"Acartia_(Acanthacartia)_tonsa"
54.5455,18.50767,2018,2,"Poland","HUMAN_OBSERVATION",54.65,18.55,11.95,"SWC","seaway",650,"Acartia_(Acanthacartia)_tonsa"
54.53372,18.52503,2018,2,"Poland","HUMAN_OBSERVATION",54.55,18.65,8.27,"SWC","seaway",663,"Acartia_(Acanthacartia)_tonsa"
54.53372,18.52503,2018,2,"Poland","HUMAN_OBSERVATION",54.55,18.65,8.27,"SWC","seaway",663,"Acartia_(Acanthacartia)_tonsa"
54.5455,18.50767,2018,2,"Poland","HUMAN_OBSERVATION",54.65,18.55,11.95,"SWC","seaway",650,"Acartia_(Acanthacartia)_tonsa"
54.5455,18.50767,2018,2,"Poland","HUMAN_OBSERVATION",54.65,18.55,11.95,"SWC","seaway",650,"Acartia_(Acanthacartia)_tonsa"
54.79487,18.41897,2018,2,"Poland","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",637,"Acartia_(Acanthacartia)_tonsa"
54.79487,18.41897,2018,2,"Poland","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",637,"Acartia_(Acanthacartia)_tonsa"
54.79668,18.42112,2018,2,"Poland","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",637,"Acartia_(Acanthacartia)_tonsa"
54.79668,18.42112,2018,2,"Poland","HUMAN_OBSERVATION",NA,NA,NA,"SWC","seaway",637,"Acartia_(Acanthacartia)_tonsa"
54.5455,18.50767,2018,3,"Poland","HUMAN_OBSERVATION",54.65,18.55,11.95,"SWC","seaway",650,"Acartia_(Acanthacartia)_tonsa"
54.5455,18.50767,2018,3,"Poland","HUMAN_OBSERVATION",54.65,18.55,11.95,"SWC","seaway",650,"Acartia_(Acanthacartia)_tonsa"
